Crop;FAO Item;Item Code FAO;Item Code (CPC)
abaca;Manila fibre (abaca);0809;01929.07
agave;Agave fibres nes;0800;01929.06
alfalfa;;0641;01912
almond;Almonds, with shell;0221;01371
aniseetc;Anise, badian, fennel, coriander;0711;01654
apple;Apples;0515;01341
apricot;Apricots;0526;01343
areca;Areca nuts;0226;01379.01
artichoke;Artichokes;0366;01216
asparagus;Asparagus;0367;01211
avocado;Avocados;0572;01311
bambara;Bambara beans;0203;01708
banana;Bananas;0486;01312
barley;Barley;0044;0115
bean;Beans, dry;0176;01701
beetfor;;0157;01801
berrynes;Berries nes;0558;01355.90
blueberry;Blueberries;0552;01355.01
brazil;Brazil nuts, with shell;0216;01377
broadbean;Broad beans, horse beans, dry;0181;01702
buckwheat;Buckwheat;0089;01192
cabbage;Cabbages and other brassicas;0358;01212
cabbagefor;;0358;01212
canaryseed;Canary seed;0101;01195
carob;Carobs;0461;01356
carrot;Carrots and turnips;0426;01251
carrotfor;;0426;01251
cashew;Cashew nuts, with shell;0217;01372
cashewapple;Cashewapple;0591;01359.02
cassava;Cassava;0125;01520.01
castor;Castor oil seed;0265;01447
cauliflower;Cauliflowers and broccoli;0393;01213
cerealnes;Cereals nes;0108;01199.01
cherry;Cherries;0531;01344.02
chestnut;Chestnut;0220;01373
chickpea;Chick peas;0191;01703
chicory;Chicory roots;0459;01691
chilleetc;Chillies and peppers, green;0401;01231
cinnamon;Cinnamon (cannella);0693;01655
citrusnes;Fruit, citrus nes;0512;01329
clove;Cloves;0698;01656
clover;;0640;01919.03
cocoa;Cocoa, beans;0661;01640
coconut;Coconuts;0249;01460
coffee;Coffee, green;0656;01610
cotton;Seed cotton;0328;01921.01
cowpea;Cow peas, dry;0195;01706
cranberry;Cranberries;0554;01355.02
cucumberetc;Cucumbers and gherkins;0397;01232
currant;Currants;0550;01351.01
date;Dates;0577;01314
eggplant;Eggplants (aubergines);0399;01233
fibrenes;Fibre crops nes;0821;01929.90
fig;Figs;0569;01315
