Crop,clipped_PA_surf,total_surf
apricot,0.0,0.013242376
avocado,162.6057891845703,671.874
bambara,0.0,9.720422
banana,4068.073974609375,20833.24
bean,59.004085540771484,492.52524
broadbean,4.298728942871094,17.607996
cabbagefor,0.0,0.0
cabbage,0.03610346466302872,3.2488093
cassava,21217.595703125,247046.08
castor,0.13051459193229675,0.5699595
cerealnes,240.83045959472656,696.7529
chilleetc,0.26278507709503174,5.466233
cocoa,1196.4703369140625,2909.9102
coconut,0.013455932959914207,0.026911866
coffee,7521.99365234375,15960.825
cotton,3014.75,43435.242
cowpea,0.04135585203766823,8.408745
cucumberetc,1.457697868347168,91.27153
date,8.067343711853027,46.31554
eggplant,1.2480039596557617,5.244085
fornes,11.84201717376709,48.571106
fruitnes,15.647849082946777,104.47112
garlic,0.12331273406744003,0.58783406
grapefruitetc,126.62358856201172,510.70786
greenbean,0.0,0.6163663
groundnut,10057.349609375,113574.56
jutelikefiber,64.74794006347656,295.8752
jute,0.0,0.055836182
kolanut,0.23004181683063507,83.11722
legumenes,0.0,0.0
lemonlime,87.59291076660156,350.561
maizefor,0.0,0.0
maize,11174.8291015625,113745.56
mango,454.3965148925781,1824.3933
melonetc,0.06443870067596436,4.577842
melonseed,33550.02734375,82161.03
millet,874.3409423828125,10292.864
oilpalm,270.0064392089844,876.7083
okra,0.0,5.590147
onion,6.513755798339844,33.65059
orange,1197.3468017578125,4797.763
papaya,3.157647132873535,10.486268
peachetc,0.0,0.012062899
pea,0.6625936031341553,1.5159147
pepper,0.0,0.13837287
pigeonpea,0.210014209151268,1.1413122
pimento,8.186028480529785,53.579765
pineapple,571.1604614257812,2271.1733
plantain,4645.60888671875,29674.271
plum,0.0,0.010621036
popcorn,0.0,0.0
potato,292.36627197265625,1656.135
pulsenes,3649.60693359375,20868.045
pumpkinetc,185.47340393066406,990.19696
rice,1823.2734375,5699.102
rootnes,5.7002363204956055,40.25092
rubber,271.31427001953125,906.27295
sesame,4948.60791015625,25041.54
sisal,154.7065887451172,702.97516
sorghumfor,0.0,0.0
sorghum,3685.599609375,32783.75
soybean,1.1525663137435913,10.308602
stonefruitnes,0.0,0.6041542
sugarcane,1505.572509765625,18842.414
sunflower,19.01907730102539,88.08009
sweetpotato,20.139955520629883,160.42105
taro,4830.71533203125,16626.742
tea,0.6900931000709534,5.315844
tobacco,37.253173828125,556.4441
tomato,5.805376052856445,45.077957
tropicalnes,0.5048196315765381,2.29611
vegetablenes,1050.6666259765625,4810.114
vegfor,3327.203125,10723.21
watermelon,1.4648056030273438,6.782331
wheat,0.3908471465110779,0.74281394
yam,6087.13525390625,60498.207
