Crop,clipped_PA_surf,total_surf
avocado,1985.623046875,8686.606
bambara,3412.868408203125,26016.732
banana,55541.56640625,218617.92
barley,1050.600341796875,1441.2642
bean,294320.9375,476636.03
broadbean,0.0,0.63161373
cabbagefor,0.0,0.0
cabbage,1014.9488525390625,1962.7648
carrotfor,0.0,0.0
carrot,613.5701293945312,633.7039
cashew,1.1826691627502441,20.063086
cassava,1002926.3125,4928120.0
castor,7.054123401641846,102.914894
chickpea,64.72257995605469,124.776764
citrusnes,5.706589221954346,97.600655
cocoa,3168.09619140625,22524.756
coconut,2.6643614768981934,5.770015
coffee,11763.8525390625,74759.125
cotton,13369.865234375,70441.85
cowpea,19520.26953125,160930.19
cucumberetc,27.650531768798828,71.71748
date,0.0,0.36807573
eggplant,0.0,0.10619196
fornes,0.0,1.7970582
fruitnes,2476.73876953125,10596.544
grapefruitetc,130.0027313232422,605.4862
greenbean,300.0166015625,1095.4111
greenonion,5.36167573928833,91.70048
groundnut,95111.578125,485297.62
jutelikefiber,1584.143310546875,7145.9595
legumenes,0.0,0.0
lemonlime,358.60772705078125,705.16425
lettuce,78.481201171875,369.4689
maizefor,0.0,0.0
maize,674023.6875,2727738.0
mango,3918.241455078125,17600.918
melonseed,23407.162109375,102823.48
millet,18298.15234375,67652.06
oilpalm,46960.8125,319663.28
onion,2543.944580078125,10835.211
orange,2908.608642578125,11302.21
papaya,2781.253662109375,12430.793
pea,990.5526733398438,3207.6304
pepper,1.0803413391113281,4.5102997
pigeonpea,3222.517822265625,11019.733
pimento,1669.836181640625,7525.1016
pineapple,2030.9666748046875,8018.434
plantain,314421.375,1111069.0
popcorn,0.0,0.0
potato,17567.46875,23063.54
pulsenes,21958.78515625,99313.65
pumpkinetc,723.1213989257812,2947.8052
pyrethrum,6.663814544677734,6.88699
rice,278394.65625,1305896.8
rootnes,24580.58203125,110559.51
rubber,11679.4951171875,52689.438
sesame,2284.087158203125,11331.125
sisal,0.23432068526744843,4.950261
sorghumfor,0.0,0.0
sorghum,2912.10693359375,10445.678
soybean,10980.30859375,47296.184
spicenes,4.052116394042969,14.990173
sugarcane,16537.806640625,44921.832
sunflower,474.30242919921875,1409.8219
sweetpotato,34553.48046875,105463.35
tangetc,1.4466458559036255,2.8501549
taro,4765.54443359375,18695.152
tea,4722.740234375,9833.128
tobacco,3048.54296875,7873.293
tomato,1966.1385498046875,7131.2314
tropicalnes,24.559715270996094,76.319435
turnipfor,0.0,0.0
vegetablenes,11020.955078125,49052.57
vegfor,24281.333984375,67635.86
wheat,5919.90771484375,8292.175
yam,5099.31201171875,23383.734
