Crop,clipped_PA_surf,total_surf
alfalfa,294.8646240234375,925.8612
aniseetc,29.515687942504883,98.6169
apple,409.14874267578125,1375.0941
apricot,0.0,0.123509735
asparagus,1.109114646911621,84.81696
barley,170272.03125,638953.5
beetfor,5676.70263671875,18971.863
broadbean,5343.8671875,18496.736
cabbagefor,0.0,0.0
cabbage,432.9347839355469,1449.0363
carrotfor,0.0,0.0
carrot,583.7556762695312,1951.1838
cauliflower,275.8962707519531,922.8143
cherry,52.96045684814453,181.23248
clover,10695.2763671875,36343.324
cucumberetc,14.368800163269043,48.53085
currant,212.37136840820312,710.5458
fornes,10685.875,36294.707
gooseberry,0.283904492855072,2.8896205
grassnes,10607.0869140625,36056.832
greenbean,0.10295268148183823,1.031823
greenbroadbean,0.0,0.041939236
greenpea,934.9799194335938,3124.1074
hop,0.0,1.3002174
legumenes,0.0,0.0
lettuce,192.659423828125,645.50806
linseed,990.392822265625,3314.8682
maizefor,10426.6767578125,35426.99
maize,1728.488037109375,5856.761
mixedgrain,0.23924142122268677,2137.1765
mushroom,39.3770637512207,127.469025
mustard,3.2319836616516113,10.920649
oats,26485.84375,61234.777
oilseedfor,17.504701614379883,157.20343
oilseednes,0.0,0.0
onion,400.541259765625,1335.745
peachetc,0.0,0.48283803
pear,89.7407455444336,301.48056
pea,2137.703369140625,7337.7476
plum,24.843399047851562,88.590996
popcorn,0.0,0.0
poppy,0.08605972677469254,0.8752649
potato,25009.8125,58986.965
pulsenes,1377.281982421875,4458.117
rapeseed,25672.92578125,140355.84
rasberry,31.940523147583008,108.04523
rice,0.056337855756282806,0.50348365
ryefor,10620.0068359375,36092.113
rye,31204.421875,107060.234
sourcherry,139.77130126953125,467.36996
soybean,13.722644805908203,58.274193
spinach,0.10329534858465195,81.22675
strawberry,311.0149841308594,1039.8248
sugarbeet,7168.59326171875,31271.648
sunflower,1120.19970703125,3487.4543
tobacco,0.0,2.8399415
tomato,9.401583671569824,31.47276
triticale,1288.350341796875,4003.147
turnipfor,0.0,0.0
vegetablenes,296.4004821777344,996.4954
vegfor,2891.556884765625,9258.315
walnut,0.0,0.33592492
wheat,100494.21875,486718.56
