Crop,clipped_PA_surf,total_surf
alfalfa,2979.015625,3937.637
almond,26432.4609375,34788.414
aniseetc,88.96353149414062,90.36435
apple,24417.552734375,32202.227
apricot,22070.986328125,29185.252
artichoke,4322.86767578125,5702.3647
asparagus,0.078509621322155,0.07850962
avocado,2.8456950187683105,3.1206226
banana,8.236591339111328,10.074347
barley,576944.3125,985488.75
bean,1451.179443359375,1932.0446
beetfor,136.79835510253906,180.32335
berrynes,0.16006243228912354,0.16006243
broadbean,30347.359375,40165.895
cabbagefor,0.0,0.0
cabbage,3017.94677734375,3980.1335
carob,575.0787963867188,758.2467
carrotfor,0.0,0.0
carrot,12766.7724609375,16637.59
castor,0.15254804491996765,0.15254804
cauliflower,6414.96044921875,8467.524
cerealnes,152.01687622070312,152.23743
cherry,3027.435791015625,3872.9512
chickpea,26922.015625,35898.305
chilleetc,16494.927734375,21786.047
citrusnes,400.31768798828125,400.80573
clover,2067.62646484375,2732.9626
cotton,194.70346069335938,297.95062
cucumberetc,3320.629638671875,4380.154
date,65709.0625,114239.484
eggplant,4527.29345703125,5976.671
fig,30542.263671875,37078.72
fornes,58700.39453125,84385.54
fruitnes,9535.3916015625,12561.422
garlic,8706.4248046875,11498.748
grapefruitetc,72.29222106933594,88.81386
grape,42281.0703125,66172.74
greenbean,9316.8017578125,12300.225
greenbroadbean,15454.6982421875,20436.512
greenonion,59.94211959838867,60.05629
greenpea,28779.029296875,37998.45
groundnut,3957.85400390625,4467.2007
legumenes,0.0,0.0
lemonlime,3005.2451171875,3960.2688
lentil,8273.357421875,13946.313
lettuce,11.720437049865723,11.720437
linseed,8.16156005859375,8.16156
lupin,37.47395324707031,41.054737
maizefor,2642.9716796875,3493.4536
maize,225.5960235595703,489.5022
melonetc,36.29808044433594,37.355206
millet,0.41377949714660645,0.50047714
mixedgrass,395.9653015136719,395.9653
oats,42021.19921875,60488.75
oilseedfor,0.0,0.0
oilseednes,0.12617842853069305,0.12617843
olive,239070.421875,424808.16
onion,37449.61328125,47866.406
orange,37444.02734375,44935.81
peachetc,12567.02734375,16574.152
pear,14851.169921875,19618.22
pea,7159.05029296875,9446.408
peppermint,1.7936100959777832,1.9437647
pimento,2734.4658203125,3609.6355
pistachio,135.6041259765625,135.60413
plum,9433.8818359375,12450.506
popcorn,0.0,0.0
potato,80905.25,143284.23
pulsenes,207.86328125,222.78497
pumpkinetc,11356.6611328125,14992.929
quince,1192.783447265625,1574.222
rapeseed,7395.267578125,11731.618
rice,116.00345611572266,169.9404
ryefor,40731.703125,55364.4
rye,2.143118143081665,2.3340123
sesame,0.9211951494216919,0.9918801
sisal,2.447269916534424,2.6670616
sorghumfor,0.0,0.0
sorghum,47.13686752319336,76.02477
soybean,0.31510478258132935,0.33370924
spicenes,17.883142471313477,18.157007
spinach,4.316516876220703,4.316517
stonefruitnes,1683.730224609375,2223.1968
strawberry,3.848525047302246,4.0097437
stringbean,4.562429904937744,4.932843
sugarbeet,31.28909683227539,48.228107
sugarcane,3.815342903137207,3.9452126
sunflower,133.17808532714844,218.0636
sweetpotato,0.18129907548427582,0.1920801
tangetc,10787.65234375,14219.227
tobacco,3665.265869140625,5194.3955
tomato,21765.751953125,26531.254
triticale,213.49009704589844,254.1224
tropicalnes,59.43840408325195,59.438404
turnipfor,0.0,0.0
vegetablenes,20409.21484375,27052.22
vegfor,37294.80859375,58372.797
vetch,167.32919311523438,205.37473
walnut,4.359869003295898,4.7356286
watermelon,45343.07421875,57564.645
wheat,1173966.0,1849165.6
