Crop,clipped_PA_surf,total_surf
alfalfa,5878.73681640625,14270.279
almond,384.80010986328125,482.37817
aniseetc,16568.92578125,27177.562
apple,8284.109375,15607.476
apricot,2092.16259765625,4301.989
artichoke,5348.109375,12646.817
avocado,0.22444121539592743,1.7593907
banana,13232.6640625,21580.863
barley,13476.6396484375,25869.219
bean,12864.0693359375,26384.576
beetfor,0.0,0.0
berrynes,29.65367889404297,47.269886
broadbean,11294.330078125,19714.67
cabbagefor,0.0,0.0
cabbage,9385.20703125,14532.476
carob,0.11291982233524323,0.3417795
carrotfor,0.0,0.0
carrot,3193.77978515625,5247.4043
cauliflower,2012.6287841796875,3301.2417
cherry,1.6610665321350098,2.5004115
chickpea,1014.8990478515625,2158.9255
chilleetc,1069.38232421875,1174.0491
citrusnes,153.89846801757812,253.2545
clover,26572.98828125,50972.062
cotton,28971.71484375,51692.83
cowpea,971.7694091796875,1926.0338
cucumberetc,11996.3447265625,20173.072
date,17941.572265625,41112.496
eggplant,19947.77734375,35397.97
fig,10626.478515625,16598.877
flax,4676.763671875,6877.549
fruitnes,14638.849609375,23921.938
garlic,6060.5322265625,12122.022
grapefruitetc,65.71820068359375,103.99977
grape,22785.916015625,43401.688
greenbean,9243.0791015625,14623.142
greenbroadbean,1419.17626953125,2016.9376
greencorn,0.054285015910863876,0.466192
greenonion,1238.1668701171875,2038.2244
greenpea,9207.9267578125,15311.031
groundnut,21811.802734375,41028.098
jute,524.9970703125,858.6277
legumenes,0.0,0.0
lemonlime,5522.458984375,11297.167
lentil,365.1477355957031,575.0577
lettuce,2662.842041015625,4338.491
linseed,4628.10595703125,7484.1196
lupin,34.96794128417969,96.72403
maizefor,0.0,0.0
maize,599281.6875,1046568.94
mango,36270.7109375,82208.56
melonetc,4735.28857421875,8110.7656
mixedgrass,4.522660255432129,9.195513
nutnes,924.78662109375,1503.2046
oats,0.0642053484916687,0.19930497
oilseedfor,0.0,0.0
oilseednes,0.1408984661102295,0.6763664
okra,2756.48828125,4606.473
olive,22571.544921875,43130.973
onion,31814.396484375,60941.1
orange,40405.20703125,81764.89
peachetc,6351.54931640625,10728.304
pear,2209.847900390625,3620.6582
pea,61.32942581176758,75.92529
persimmon,458.4193115234375,754.22406
pimento,7887.47998046875,12904.658
plum,1037.1922607421875,1222.6647
popcorn,0.0,0.0
poppy,0.15833254158496857,0.32186309
potato,62818.296875,119185.12
pulsenes,1874.503173828125,3068.5156
pumpkinetc,8619.666015625,14585.574
rice,333267.46875,507227.06
rootnes,497.333740234375,816.669
ryefor,0.0,0.0
rye,15669.74609375,25911.438
sesame,12377.20703125,24320.598
sorghumfor,0.0,0.0
sorghum,55190.32421875,126827.664
soybean,1785.44580078125,8347.467
spicenes,0.011729552410542965,0.028103206
spinach,1094.9432373046875,1724.2046
stonefruitnes,70.17740631103516,114.46891
strawberry,6783.74658203125,12559.149
sugarbeet,57939.4296875,96847.83
sugarcane,45734.86328125,83107.75
sunflower,4042.452392578125,8351.75
sweetpotato,5680.83642578125,11069.604
tangetc,16279.6123046875,30097.361
taro,2451.310302734375,3069.5027
tomato,52617.1484375,103765.13
tropicalnes,1101.42041015625,1822.2517
turnipfor,0.0,0.0
vegetablenes,14606.2939453125,23897.438
vegfor,43715.07421875,82920.62
vetch,401.8954162597656,657.4907
walnut,2091.255859375,3439.3652
watermelon,16679.3515625,28688.418
wheat,220297.125,484805.53
