Crop,clipped_PA_surf,total_surf
alfalfa,704.1392822265625,4732.9424
almond,329.4124755859375,836.32837
aniseetc,11.607391357421875,14.767505
apple,1912.1611328125,4688.179
apricot,152.342529296875,350.26657
asparagus,49.00025177001953,102.78926
barley,18366.46875,67595.13
bean,528.7296752929688,1610.6852
beetfor,2345.309814453125,5926.9434
berrynes,684.02685546875,1560.376
broadbean,53.382896423339844,1028.8074
buckwheat,26.193870544433594,48.161453
cabbagefor,0.0,0.0
cabbage,780.9671020507812,1954.8782
canaryseed,56.3165168762207,71.63474
carob,211.83438110351562,538.1854
carrotfor,8.473844528198242,13.2304125
carrot,177.04249572753906,404.0321
cauliflower,52.220458984375,138.30325
cherry,418.2720642089844,1018.1786
chestnut,59.971099853515625,152.97758
chickpea,16.05382537841797,45.247204
chicory,52.49517822265625,133.47296
chilleetc,370.4532775878906,893.95044
clover,8667.1015625,24206.6
cowpea,51.519474029541016,93.69194
cucumberetc,272.2378234863281,736.2833
currant,5.154674053192139,7.119673
fig,270.72613525390625,676.7322
fruitnes,13.384103775024414,18.454475
garlic,169.56085205078125,388.31366
gooseberry,8.947734832763672,11.384584
grape,1957.115966796875,19540.102
grassnes,699.9063720703125,1031.2655
greenbean,442.16961669921875,1124.989
greencorn,688.2635498046875,4668.0137
greenonion,1.2173995971679688,1.5241044
greenpea,374.91058349609375,823.28253
hazelnut,2404.134765625,6401.978
hempseed,2.5257608890533447,3.3811772
hemp,1.7265875339508057,2.3597226
hop,117.53072357177734,164.42517
legumenes,503.1465148925781,683.9596
lentil,8.007903099060059,31.722351
lettuce,216.8860626220703,470.36874
linseed,0.3508177101612091,1.3105112
lupin,0.5053231716156006,1.1469618
maizefor,5151.34375,13039.17
maize,89831.9921875,295528.53
melonetc,40.160850524902344,86.76834
millet,73.0877685546875,200.11452
mixedgrain,930.4381713867188,2680.1797
mixedgrass,259.5235595703125,427.58215
oats,3630.846435546875,11376.614
oilseedfor,0.0,0.0
oilseednes,568.262939453125,5496.541
olive,8911.40625,16785.81
onion,376.622802734375,879.44183
orange,45.317237854003906,97.84725
peachetc,350.3542175292969,859.7821
pear,334.72467041015625,815.90643
pea,99.88838958740234,861.1884
pimento,76.2215576171875,143.34999
plum,1704.9344482421875,4528.2896
popcorn,0.0,0.0
poppy,34.9600944519043,73.62067
potato,2663.38427734375,9646.032
pulsenes,55.67186737060547,241.41084
pumpkinetc,119.2769775390625,253.887
quince,41.0855712890625,100.08566
rapeseed,11983.939453125,46123.086
rasberry,93.2398910522461,209.92531
rice,0.0,0.104158804
ryefor,0.0,0.0
rye,580.8687133789062,993.851
safflower,1.7092868089675903,2.1544418
sorghumfor,0.0,0.0
sorghum,211.05380249023438,521.45306
sourcherry,929.9965209960938,2278.7888
soybean,24652.123046875,79303.08
spicenes,2.137321710586548,2.7039642
spinach,2.439753293991089,3.2547688
strawberry,156.1910858154297,370.20847
sugarbeet,4125.84130859375,11343.723
sunflower,14292.0205078125,42832.508
tangetc,831.1094360351562,2105.7903
tea,0.0,0.0
tobacco,989.1022338867188,3628.7117
tomato,257.2903137207031,606.9979
triticale,2484.330810546875,6853.1455
tropicalnes,0.0,0.0
turnipfor,63.62354278564453,94.25118
vegetablenes,1255.579833984375,3196.06
vegfor,403.2746276855469,1240.0884
vetch,283.9430236816406,710.44244
walnut,2654.9658203125,6707.951
watermelon,274.18743896484375,658.8037
wheat,39154.078125,161874.11
