Crop,clipped_PA_surf,total_surf
apple,6146.318359375,30507.707
barley,10634.0302734375,32847.0
bean,1444.9674072265625,4536.786
buckwheat,585.0073852539062,1520.8611
cabbagefor,0.0,0.0
cabbage,12725.5791015625,32592.688
carrotfor,0.0,0.0
carrot,942.2792358398438,2927.213
cerealnes,2940.8818359375,9107.105
chestnut,10214.5703125,31568.305
chilleetc,6541.0419921875,32420.465
citrusnes,59.07218551635742,182.86682
cotton,4.102068901062012,37.008465
cucumberetc,1589.023681640625,4388.1636
eggplant,87.31306457519531,272.14206
fornes,10997.9208984375,33964.65
fruitnes,9606.9755859375,29856.018
garlic,8063.2431640625,25003.611
ginger,918.791259765625,2851.216
grape,5023.0703125,12228.713
greenonion,4800.70263671875,15041.354
groundnut,876.4464111328125,3647.669
hemp,0.4783700406551361,2.1058652
hop,0.6247942447662354,3.2534585
kiwi,171.05226135253906,531.8249
legumenes,0.0,0.0
lettuce,1190.5604248046875,3538.0266
maizefor,0.0,0.0
maize,4981.49609375,13072.974
melonetc,529.7755737304688,3186.8079
millet,336.67333984375,747.58276
mushroom,52.61480712890625,162.76263
nutnes,2799.66552734375,8680.107
oats,1.5883982181549072,8.280576
oilseedfor,0.0,0.0
oilseednes,11247.275390625,35145.04
onion,4605.9599609375,14338.855
peachetc,8783.953125,19216.184
pear,3212.40869140625,8395.347
persimmon,6012.525390625,20485.17
pineapple,10.24348258972168,31.113228
plum,2427.060546875,6809.462
popcorn,0.0,0.0
potato,7224.2978515625,22417.686
pulsenes,1787.6002197265625,5548.748
pumpkinetc,3135.88623046875,8863.147
rapeseed,348.69244384765625,962.1575
rice,201379.4375,650674.25
ryefor,0.0,0.0
rye,0.010208811610937119,0.07358351
sesame,7765.498046875,21346.715
sorghumfor,0.0,0.0
sorghum,544.890625,1480.0842
soybean,16894.708984375,52700.062
spinach,2073.83837890625,4260.5005
strawberry,1168.8922119140625,5397.3267
sweetpotato,7932.51171875,20901.516
tangetc,7735.88037109375,18355.525
tea,967.7850341796875,1956.3964
tobacco,3718.80908203125,10941.888
tomato,1620.4017333984375,5197.21
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,16358.896484375,51364.094
vegfor,20103.634765625,66162.266
walnut,179.2187042236328,555.55725
watermelon,3472.2685546875,10966.957
wheat,1845.80078125,5069.2812
