Crop,clipped_PA_surf,total_surf
apple,400.6974182128906,1471.1938
barley,24165.8671875,135355.12
bean,0.027383172884583473,0.042667385
beetfor,0.0,0.0
berrynes,20.14496421813965,20.144964
blueberry,8.793710708618164,8.793711
cabbagefor,32.834293365478516,120.75501
cabbage,121.87720489501953,445.65286
carrotfor,0.0,0.0
carrot,399.85906982421875,1467.5032
cauliflower,246.9193572998047,905.4135
cherry,50.978946685791016,187.19719
cucumberetc,22.758745193481445,84.284164
currant,71.93033599853516,264.2578
fornes,1616.564697265625,6021.038
gooseberry,6.171971321105957,22.647776
greenbean,67.51181030273438,162.21928
greenonion,255.0706329345703,936.91626
greenpea,149.27230834960938,547.7914
legumenes,0.0,0.0
lettuce,208.6051483154297,765.3181
linseed,0.15698577463626862,0.26422942
mixedgrain,0.58144211769104,1.1878605
mixedgrass,3530.510498046875,13743.336
oats,14702.1669921875,56965.215
pear,19.524921417236328,72.135
pea,1114.027099609375,1132.6443
plum,107.04743957519531,393.2561
potato,2641.71875,12622.674
rapeseed,739.2755126953125,2973.0776
rasberry,97.6530990600586,358.7169
ryefor,1900.4051513671875,7031.3745
rye,2071.868896484375,7625.673
strawberry,328.3482971191406,1205.3839
sugarbeet,2.750030755996704,11.229464
tomato,9.868165016174316,36.171677
triticale,159.27777099609375,584.8749
turnipfor,63.4384880065918,232.39175
vegetablenes,127.80785369873047,468.3184
vegfor,96.58679962158203,527.2538
wheat,16850.451171875,78647.89
