Crop,clipped_PA_surf,total_surf
areca,5.393347263336182,17.152609
avocado,2.4762158393859863,7.883711
banana,24387.1484375,74914.266
bean,0.956560492515564,3.0124583
cabbagefor,0.0,0.0
cabbage,5.097274303436279,16.211864
carrotfor,0.0,0.0
carrot,1.1747251749038696,3.7483532
cashew,15.011770248413086,47.714195
cassava,6648.958984375,14564.364
castor,0.5614258050918579,1.775514
chilleetc,9.831870079040527,31.255579
cinnamon,4.589696407318115,14.599084
clove,20.606555938720703,65.49107
cocoa,46947.8984375,90459.22
coconut,78665.7109375,181720.28
coffee,16621.39453125,40992.9
cotton,1.3011524677276611,4.1500635
cucumberetc,2.9710888862609863,9.456121
eggplant,2.3920979499816895,7.616435
fruitnes,30375.203125,107962.08
garlic,0.7235208749771118,2.306567
ginger,0.8921995162963867,2.8407586
greenbean,7.911769390106201,22.903227
greencorn,6251.95068359375,23112.936
groundnut,681.3809814453125,1347.3745
jutelikefiber,0.3143884837627411,0.87253165
kapokfiber,15.538010597229004,49.38627
kapokseed,15.538010597229004,49.38627
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,817.7924194335938,2246.074
mango,8.945991516113281,28.440783
nutmeg,15.760692596435547,50.128517
nutnes,2686.358154296875,9665.783
oilpalm,78346.8671875,194053.05
onion,5.147052764892578,16.37003
orange,5.061399459838867,16.097876
papaya,0.7951532602310181,2.5334213
pepper,5.066878795623779,16.115286
pineapple,292.8228454589844,1049.9209
popcorn,0.0,0.0
potato,90.07940673828125,207.67719
pulsenes,1935.1829833984375,6957.6553
pumpkinetc,17.399873733520508,55.63414
pyrethrum,487.21905517578125,1751.4897
rice,343.0544738769531,419.92862
rootnes,6170.67919921875,22680.326
rubber,2478.7744140625,8993.825
sorghumfor,0.0,0.0
sorghum,750.8060302734375,1121.937
soybean,2.1409029960632324,2.140903
spicenes,103.69075775146484,376.21765
spinach,2.0205702781677246,6.435942
sugarcane,3275.390869140625,12424.723
sugarnes,4.475412845611572,14.235963
sweetpotato,49817.3828125,131543.83
taro,8778.744140625,33010.363
tea,1525.086669921875,4102.0176
tobacco,46.13360595703125,89.96022
tomato,19.5489444732666,64.74063
tropicalnes,50.93476486206055,187.13365
turnipfor,0.0,0.0
vanilla,75.2149429321289,239.32182
vegetablenes,3192.14013671875,11619.82
vegfor,6099.03369140625,18119.627
yam,5640.70703125,20239.117
