Crop,clipped_PA_surf,total_surf
alfalfa,766.0980224609375,2190.2017
aniseetc,0.08056051284074783,0.21109712
apple,24.66059112548828,73.391075
apricot,0.06177397444844246,0.11372496
artichoke,0.10498841106891632,0.29928443
avocado,812.33740234375,2378.8147
banana,2611.332763671875,8352.634
barley,0.08952274918556213,0.08952275
bean,25897.994140625,69922.87
broadbean,6435.8779296875,19098.016
buckwheat,0.39402079582214355,3.8492217
cabbagefor,0.0,0.0
cabbage,1.201514482498169,1.2015145
carrotfor,0.0,0.0
carrot,489.15875244140625,1159.6327
cashewapple,6.83756685256958,52.257015
cassava,70952.3359375,178953.39
castor,1830.2313232421875,5259.421
cauliflower,0.2206803411245346,0.22068034
cerealnes,1.8427441120147705,3.4754643
cherry,0.16654038429260254,0.16654038
chestnut,26.7511043548584,26.787394
chickpea,0.2836379110813141,0.2836379
chilleetc,328.8578186035156,947.4331
clover,4.221386909484863,15.625136
cocoa,0.0,0.0
coconut,0.0,0.014018963
coffee,84.75662994384766,284.66965
cotton,3942.1513671875,10895.965
cucumberetc,0.3795458972454071,0.3795459
fibrenes,0.022152865305542946,0.03580224
fig,0.4289994239807129,0.42899942
flax,0.06629625707864761,0.1220123
fornes,44738.47265625,127572.28
fruitnes,650.801025390625,1920.3994
garlic,67.85114288330078,192.65948
grapefruitetc,362.3529968261719,1049.162
grape,138.6027069091797,392.6323
grassnes,176.01931762695312,500.22293
greenbroadbean,0.0,0.0
greencorn,20.522905349731445,20.55121
greenonion,394.40869140625,1127.4757
greenpea,14.195422172546387,15.162855
groundnut,9218.4560546875,24612.703
legumenes,0.0,0.0
lemonlime,218.340087890625,607.61993
lentil,0.09728408604860306,0.26734397
lettuce,1.4720985889434814,1.4720986
linseed,2.091876983642578,7.7244887
maizefor,2.5288643836975098,9.10378
maize,368006.625,1013713.4
mango,1419.1678466796875,4153.763
mate,8789.2119140625,25515.328
melonetc,2693.9013671875,7881.563
millet,0.9063984751701355,3.2799206
nutnes,0.0,0.090393335
oats,16.00114631652832,47.6451
oilpalm,511.9947814941406,15873.39
olive,1.0414574146270752,3.7285137
onion,1811.3980712890625,5289.6436
orange,2726.05712890625,7860.956
papaya,364.1919250488281,1058.2279
peachetc,66.0164566040039,181.04443
pear,8.55119800567627,26.98106
pea,1878.0478515625,5547.411
pimento,0.07259425520896912,0.17986515
pineapple,2162.749267578125,6401.6367
plantain,0.6030030250549316,0.603003
plum,98.64312744140625,287.0751
popcorn,0.0,0.0
potato,100.88261413574219,239.30197
pumpkinetc,677.8424682617188,1950.7542
quince,0.4249269366264343,0.4493969
quinoa,36.96928787231445,37.018677
rapeseed,16555.87109375,47523.258
rice,55174.3515625,154339.19
rootnes,27.398605346679688,27.435726
ryefor,0.0,0.0
rye,2.380978584289551,8.472052
sesame,15353.9287109375,46188.703
sorghumfor,3.1955628395080566,11.463975
sorghum,10580.9091796875,30071.016
soybean,1300187.875,3221565.5
spicenes,0.02274436317384243,0.036747042
strawberry,129.8211212158203,381.1077
stringbean,0.12201432883739471,0.42728063
sugarcane,35686.671875,102724.1
sunflower,11027.634765625,30974.844
sweetpotato,1713.36669921875,5051.097
tangetc,737.744384765625,2110.7385
tea,38.888641357421875,130.2602
tobacco,1791.484375,3348.167
tomato,538.615966796875,1324.7189
tropicalnes,860.4534301757812,2519.7642
tung,3032.71875,8826.18
turnipfor,0.0,0.0
vegetablenes,858.2200317382812,2504.473
vegfor,1285.0322265625,3630.0535
walnut,0.08365467190742493,0.23045269
watermelon,7803.216796875,22751.445
wheat,146721.046875,469534.75
yam,0.02618369832634926,0.7391666
