Crop,clipped_PA_surf,total_surf
almond,7.517488479614258,12.724829
aniseetc,5777.443359375,56354.49
apple,23523.640625,219479.11
apricot,1510.6092529296875,12126.124
areca,6.097278594970703,13.173269
artichoke,0.0,0.0
asparagus,9.393553733825684,21.01077
avocado,0.0,0.0
barley,639921.5625,8189916.5
bean,389.68292236328125,3594.5999
beetfor,13.580706596374512,125.56081
berrynes,126.0808334350586,291.71503
blueberry,27.174007415771484,160.34856
broadbean,373.3531188964844,4129.632
buckwheat,76299.3125,814363.5
cabbagefor,0.0,0.0
cabbage,8357.2763671875,75760.45
carrotfor,0.0,0.0
carrot,4970.27783203125,45707.152
cashew,0.056976158171892166,0.2025662
cassava,29.745494842529297,61.841053
castor,24.199535369873047,197.10246
cauliflower,163.85546875,1938.3529
cerealnes,4185.75,39504.477
cherry,1348.7371826171875,10799.474
chestnut,466.1356201171875,4869.3325
chickpea,28848.708984375,310640.2
chicory,0.0,0.55630386
chilleetc,16.189823150634766,64.18017
cinnamon,4.242176055908203,9.299615
citrusnes,8.308670043945312,18.457851
coconut,2.568631649017334,5.33076
coffee,0.674991250038147,1.4199733
cotton,0.4313039779663086,6.5528994
cranberry,4.391571521759033,46.496502
cucumberetc,4776.98388671875,40826.06
currant,8873.4013671875,70084.086
date,0.0,0.0
eggplant,19.324310302734375,44.507893
flax,2357.822998046875,43954.848
fornes,144421.71875,1421301.8
fruitnes,202.47213745117188,1637.5204
garlic,2374.426025390625,21085.871
ginger,2.0030112266540527,4.6997004
gooseberry,1790.19384765625,14500.684
grapefruitetc,4.87511682510376,11.081896
grape,9176.7822265625,71885.8
grassnes,84.27973175048828,197.01312
greenbean,1.5043085813522339,3.8733275
greenbroadbean,0.3489922285079956,1.1509864
greenonion,0.630843997001648,0.6532724
greenpea,2818.745849609375,26436.232
groundnut,4.4436354637146,47.614452
hazelnut,196.10086059570312,883.8868
hempseed,570.853515625,6536.283
hemp,326.0622253417969,3605.4404
hop,7.176478385925293,124.03721
jutelikefiber,2233.17333984375,21457.81
legumenes,0.0,149.40393
lemonlime,4.527763843536377,10.62504
lentil,11293.494140625,119271.92
lettuce,3.1291539669036865,7.019178
linseed,94966.1484375,880651.8
lupin,5193.69775390625,51014.918
maizefor,222092.875,1976645.0
maize,276630.125,2703257.8
mango,1.2048779726028442,2.300676
melonetc,7.581671714782715,20.116539
melonseed,3.193817377090454,6.92819
millet,23904.880859375,359961.9
mixedgrain,16.435911178588867,265.9832
mixedgrass,268827.0625,2098645.0
mushroom,11281.2197265625,24703.318
mustard,17647.3359375,166022.98
nutnes,547.8063354492188,6116.9233
oats,264310.28125,2305382.8
oilpalm,5.341339588165283,11.266227
oilseedfor,0.0,0.0
oilseednes,3343.720947265625,34867.312
olive,1.790626883506775,1.9119911
onion,6921.84033203125,61373.39
orange,5.0369133949279785,11.2094145
papaya,0.0,0.0
peachetc,785.9052734375,6134.12
pear,1120.5152587890625,8996.188
pea,128506.0390625,1251303.6
pepper,1.0900410413742065,2.4120908
persimmon,21.457380294799805,22.966768
pimento,3.926854372024536,8.57762
pineapple,0.08111463487148285,0.1710108
pistachio,1.345241665840149,3.039592
plum,5330.9794921875,42121.305
popcorn,0.0,0.0
potato,119146.078125,1206426.2
pulsenes,247.548583984375,3189.3025
pumpkinetc,4348.03955078125,28722.443
quince,81.80765533447266,651.3023
ramie,12.446466445922852,26.174847
rapeseed,121566.6484375,1421151.1
rasberry,3034.36181640625,24138.113
rice,56366.703125,192064.16
rubber,53.336997985839844,117.084595
ryefor,0.0,0.0
rye,97821.609375,976383.3
safflower,14016.361328125,129168.44
sesame,1.2436695098876953,1.6976036
sisal,0.5766422152519226,1.1960617
sorghumfor,0.0,0.0
sorghum,4372.0595703125,48389.395
sourcherry,5116.51220703125,40463.875
soybean,218337.265625,2614821.8
spicenes,13.309410095214844,16.204218
spinach,5.028840065002441,11.316232
stonefruitnes,0.0,0.808061
strawberry,3947.155517578125,31741.967
sugarbeet,67204.7265625,920009.75
sunflower,586651.125,8327686.5
swedefor,2.826662540435791,42.06283
sweetpotato,18.703908920288086,45.398552
tangetc,122.88223266601562,272.3842
taro,10.904664993286133,23.55548
tea,386.3407897949219,487.30508
tobacco,10.963357925415039,35.449657
tomato,9569.05078125,82733.766
triticale,3611.874267578125,35161.03
tropicalnes,1.5511820316314697,3.2401102
tung,16.86016845703125,36.46366
turnipfor,0.0,0.0
vanilla,0.0,0.0
vegetablenes,20378.525390625,186474.56
vegfor,13717.181640625,103947.28
vetch,10168.455078125,98142.5
walnut,1493.8753662109375,14121.116
watermelon,12107.0009765625,100466.02
wheat,2302571.0,28485592.0
