Crop,clipped_PA_surf,total_surf
alfalfa,15230.8115234375,27734.504
almond,0.2657468020915985,0.6622191
apple,0.1682361513376236,0.6025654
apricot,0.6670637130737305,3.6101718
banana,1.892771601676941,10.506181
barley,39385.8515625,76094.38
bean,0.1230466440320015,0.21801153
broadbean,1.033637523651123,4.791566
cabbagefor,0.0,0.0
cabbage,73.02149963378906,264.16135
carrotfor,0.0,0.0
carrot,807.52197265625,1272.9548
chickpea,21.675376892089844,27.143538
chilleetc,211.246826171875,826.1563
citrusnes,190.27545166015625,352.00143
coffee,67.09309387207031,83.16745
cotton,48.02619171142578,50.122746
cucumberetc,410.6271057128906,711.2592
date,78054.7578125,138876.6
eggplant,2288.472900390625,3988.4187
fig,0.10187224298715591,0.48188928
fornes,16154.275390625,29331.94
fruitnes,20319.875,38857.81
garlic,0.1857168972492218,0.95988464
grape,4201.47802734375,8734.562
grassnes,4.08751916885376,19.559797
greenbean,57.33359909057617,236.86024
groundnut,684.2799682617188,994.8529
legumenes,0.0,0.0
lemonlime,296.57354736328125,1117.2731
lentil,0.3885875344276428,0.59221816
lettuce,57.5143928527832,215.46654
maizefor,0.0,0.0
maize,7752.1640625,13180.526
mango,725.187744140625,2808.552
melonetc,1449.3070068359375,2383.9448
millet,2747.868896484375,5366.5767
okra,1409.32080078125,2361.1528
onion,3550.477783203125,6430.65
orange,2.9158363342285156,14.50789
papaya,0.8513877391815186,4.4073935
peachetc,0.30155161023139954,1.1249466
pear,0.0,0.08132931
pea,0.40555939078330994,1.9361136
popcorn,0.0,0.0
potato,10578.494140625,18818.467
pulsenes,2521.151123046875,4686.8115
pumpkinetc,1278.0157470703125,2326.316
quince,0.013340945355594158,0.12353898
sesame,1991.091064453125,2906.0051
sorghumfor,15.796430587768555,51.96383
sorghum,35355.8046875,56003.508
sweetpotato,0.0,0.016050585
tangetc,0.5134899616241455,2.556598
tobacco,0.0,0.0
tomato,6882.23388671875,12097.457
tropicalnes,0.112795889377594,0.55559796
turnipfor,0.0,0.0
vegetablenes,7420.2333984375,13987.968
vegfor,7465.56298828125,14061.146
watermelon,12807.716796875,22157.139
wheat,43313.45703125,82308.27
