Crop,clipped_PA_surf,total_surf
alfalfa,4263.953125,41910.4
almond,4.767484664916992,11.251563
aniseetc,30.68865394592285,190.49213
apple,4473.634765625,24913.984
apricot,986.8304443359375,5376.6094
artichoke,0.0,0.11898535
asparagus,0.4692351222038269,2.4917598
barley,14458.0849609375,97102.305
bean,1503.5908203125,8692.1
beetfor,1262.8280029296875,6863.7856
berrynes,31.69063949584961,180.86137
blueberry,0.1121843159198761,1.4180151
broadbean,515.5039672851562,8071.9434
buckwheat,0.08472928404808044,1.1218854
cabbagefor,0.0,0.0
cabbage,1389.890380859375,7711.523
canaryseed,1.6824291944503784,21.310898
carob,0.962067723274231,3.2215457
carrotfor,0.0,0.0
carrot,499.9405822753906,2728.3616
cauliflower,0.1082165315747261,1.332212
cerealnes,243.36178588867188,1328.7224
cherry,778.4808349609375,4232.001
chestnut,71.06278228759766,383.78455
chickpea,7.565508842468262,19.95416
chicory,17.334495544433594,101.870575
chilleetc,1811.6390380859375,9962.201
clover,10153.9208984375,57675.84
cowpea,799.9334106445312,4605.0693
cranberry,0.0,0.0
cucumberetc,237.9586181640625,800.9598
currant,0.3195715844631195,4.186935
eggplant,5.384474277496338,19.79105
fig,192.16375732421875,981.8646
flax,0.0,0.0
fornes,0.7285733222961426,7.5693398
fruitnes,294.8990478515625,1873.4601
garlic,259.4110107421875,1419.6333
gooseberry,0.26732930541038513,3.3871837
grape,1207.548583984375,18806.123
grassnes,112.79576873779297,1181.9246
greenbean,2764.46826171875,10955.217
greenbroadbean,0.03638402000069618,0.29783344
greencorn,217.07339477539062,2927.301
greenonion,1.001014232635498,2.1573148
greenpea,1101.0364990234375,6019.667
groundnut,2.0951995849609375,7.6478114
hazelnut,301.8276672363281,1116.0176
hempseed,29.41223907470703,168.52007
hemp,29.463077545166016,168.58893
hop,3.2292423248291016,27.103796
legumenes,1016.775390625,5840.419
lentil,0.19978663325309753,1.0706977
lettuce,5.17676305770874,21.95463
linseed,0.8578348159790039,9.157608
lupin,0.13144776225090027,1.6661028
maizefor,3884.669921875,21538.006
maize,135519.359375,798041.4
melonetc,11.95490550994873,120.230446
millet,4.713630199432373,70.121735
mixedgrain,394.9751281738281,1323.0782
mixedgrass,65.1685562133789,632.4251
mustard,85.94480895996094,803.06915
nutnes,3.716494560241699,4.3514633
oats,1036.789794921875,16234.512
oilseedfor,0.0,0.0
oilseednes,24.115293502807617,1006.6157
olive,0.0,0.0
onion,775.85986328125,4288.3467
orange,87.66326904296875,474.7893
peachetc,1270.336181640625,6922.5757
pear,938.7337646484375,5127.8394
pea,2110.37548828125,11569.264
pimento,628.8929443359375,3463.7417
plum,12157.3486328125,69012.81
popcorn,0.0,0.0
poppy,164.72193908691406,899.02045
potato,6577.12890625,30068.287
pulsenes,37.96202087402344,1584.2802
pumpkinetc,8.047992706298828,77.1257
quince,348.85308837890625,1906.6633
rapeseed,988.330078125,20715.494
rasberry,4117.2294921875,22584.48
rice,2.643726348876953,17.92138
ryefor,0.0,0.0
rye,136.56060791015625,4483.303
safflower,0.05124616622924805,0.64036417
sesame,0.09946510940790176,0.1102669
sorghumfor,0.0,0.0
sorghum,197.4589080810547,2472.7288
sourcherry,3454.333740234375,19161.508
soybean,23454.138671875,221924.47
spicenes,0.7704649567604065,1.9095103
spinach,0.07842585444450378,0.81407005
strawberry,1198.357666015625,6534.47
sugarbeet,7024.74609375,36250.953
sunflower,31517.609375,194338.22
tangetc,4.3848772048950195,14.687649
tobacco,634.42333984375,6307.621
tomato,1348.3214111328125,7436.8486
triticale,1886.646728515625,26669.207
tropicalnes,0.0,0.0
turnipfor,0.5387797951698303,6.825387
vegetablenes,183.17337036132812,616.11505
vegfor,1105.4417724609375,6807.5024
vetch,1524.8056640625,8150.303
walnut,583.2482299804688,3187.098
watermelon,991.892822265625,5445.0386
wheat,85499.0234375,549309.8
