Crop,clipped_PA_surf,total_surf
almond,0.21361759305000305,1.6911845
avocado,0.0,1.2699108
bambara,528.5074462890625,4109.853
banana,746.1272583007812,1789.3506
bean,116346.8125,390488.2
cabbagefor,0.0,0.0
cabbage,22.02334976196289,65.4969
cashew,719.5707397460938,2228.6794
cassava,100614.140625,279748.6
castor,302.82574462890625,900.90173
cerealnes,1346.716796875,4100.4575
chickpea,645.3604125976562,1909.3141
chilleetc,36.59538269042969,157.50174
cocoa,3880.5859375,10402.716
coconut,1350.962890625,3396.2
coffee,12187.3125,37941.562
cotton,34770.22265625,151562.12
cowpea,313.6336669921875,2533.4297
date,1.920735478401184,3.1015563
eggplant,4.09860897064209,11.038031
fonio,4.712653160095215,18.94074
fruitnes,1457.1865234375,3632.7004
ginger,0.05725211277604103,0.09847108
greenbean,4.700605869293213,12.741539
greenonion,0.08637289702892303,0.743685
groundnut,13957.275390625,52914.754
karite,896.3589477539062,2672.4941
kolanut,107.3934326171875,358.44614
legumenes,0.0,0.0
lemonlime,0.0,5.1335063
maizefor,0.0,0.0
maize,215342.0,669832.4
mango,12.340150833129883,21.264866
millet,12911.1123046875,37941.74
nutmeg,10.814729690551758,32.299015
nutnes,22.105178833007812,63.48179
oats,0.0,0.0
oilpalm,27103.32421875,53532.168
oilseedfor,0.0,0.0
oilseednes,0.6452964544296265,2.6489706
okra,156.7496337890625,273.33185
onion,16.262605667114258,36.36592
orange,1073.211181640625,2719.809
pepper,17.93194580078125,33.420223
pimento,1909.8837890625,5976.0703
pineapple,45.641395568847656,122.64443
plantain,407.7822265625,419.97824
popcorn,0.0,0.0
potato,0.01947207935154438,0.17006639
pulsenes,2233.222412109375,6166.033
rice,18527.34765625,81975.01
rootnes,359.0145263671875,1065.2498
rubber,41.452552795410156,111.04267
sesame,1693.6959228515625,5249.6016
sorghumfor,0.0,0.0
sorghum,58082.7109375,289221.12
soybean,979.3162841796875,3258.6472
spicenes,81.87451934814453,244.61484
sugarcane,96.1999740600586,146.7007
sweetpotato,360.1308898925781,867.7273
taro,2374.49658203125,5312.3984
tobacco,1536.720703125,4268.18
tomato,359.93646240234375,923.1678
tropicalnes,0.06111789867281914,0.60494834
vegetablenes,4716.07177734375,16467.395
vegfor,7572.4208984375,24891.906
yam,13435.1904296875,91455.8
