Crop,clipped_PA_surf,total_surf
alfalfa,105.16932678222656,158.82211
almond,456.7437744140625,1493.4031
aniseetc,5.659464359283447,8.6356125
apple,1849.8724365234375,6728.134
apricot,880.4022216796875,3019.0786
artichoke,0.1622399091720581,0.3762855
asparagus,0.0959186777472496,0.14558552
banana,4.144968032836914,6.317761
barley,2207.83544921875,19091.428
bean,10.01453685760498,29.481422
beetfor,0.0,0.0
berrynes,4.347929000854492,6.7124133
broadbean,2.2332510948181152,11.380779
cabbagefor,0.0,0.0
cabbage,1287.9774169921875,4324.7573
carrotfor,0.0,0.0
carrot,632.5510864257812,2105.7058
cauliflower,0.12045792490243912,0.1827955
cerealnes,2.912436008453369,14.443344
cherry,13.17878532409668,46.176537
chickpea,56.02011489868164,84.479675
chilleetc,1.0146743059158325,2.998955
citrusnes,1.2988636493682861,3.033403
cotton,57807.63671875,543101.94
cucumberetc,450.60931396484375,1520.1594
date,38.07354736328125,58.62673
eggplant,1.3134901523590088,2.7618494
fig,8.412480354309082,12.981799
fornes,52.16179656982422,80.90227
fruitnes,28.075998306274414,81.64644
garlic,95.03897094726562,324.98328
grapefruitetc,0.46571195125579834,0.84365153
grape,4450.09130859375,18720.094
greenbean,0.49947595596313477,1.6854062
greenbroadbean,0.1814904659986496,0.5880409
greenpea,0.5994375944137573,2.6713681
groundnut,4.467195510864258,44.05686
hazelnut,3.786560535430908,11.64123
jute,1.286355972290039,6.46479
kiwi,0.18634048104286194,0.28728467
legumenes,0.0,0.0
lemonlime,10.928725242614746,17.621365
lentil,54.53487014770508,79.432625
lettuce,0.59308922290802,1.3372121
linseed,2.305426836013794,10.965003
maizefor,5203.716796875,22458.588
maize,4398.947265625,44182.836
mango,0.22196608781814575,0.34732115
melonetc,15.578130722045898,23.834616
millet,9.268892288208008,14.225168
mixedgrass,12102.70703125,57473.51
nutnes,118.90684509277344,398.0086
oilseedfor,0.0,0.0
oilseednes,0.3564385771751404,1.982597
olive,0.2459837943315506,0.4225368
onion,1080.446533203125,3667.7676
orange,24.168731689453125,36.977684
peachetc,663.4393920898438,2239.405
pear,8.439563751220703,29.229073
pea,2094.069091796875,6992.3535
pimento,1.4166830778121948,6.390136
pistachio,12.719827651977539,24.787899
plum,556.9518432617188,1870.1832
popcorn,0.0,0.0
potato,1763.2049560546875,16769.754
pulsenes,20.078990936279297,50.105453
pumpkinetc,8.806730270385742,13.462999
quince,3.6685972213745117,15.530335
rapeseed,126.22698974609375,233.43893
rice,20166.404296875,127879.04
ryefor,0.0,0.0
rye,0.6317437291145325,3.4058514
safflower,12.587780952453613,59.881187
sesame,16.020156860351562,53.091972
sorghumfor,0.0,0.0
sorghum,0.24270257353782654,0.42491055
sourcherry,4.791092872619629,17.753895
soybean,3.677605628967285,59.595455
spinach,0.05193611979484558,0.0737402
stonefruitnes,7.203691482543945,10.991938
strawberry,1.0141080617904663,3.4906352
sugarbeet,2039.4510498046875,14615.331
sugarcane,0.2153129130601883,0.29020545
sunflower,38.44535827636719,63.66437
tangetc,8.719986915588379,13.424602
tea,6.725870609283447,10.262835
tobacco,47.61737823486328,1548.7511
tomato,3026.78955078125,10657.642
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,597.6116333007812,2008.0637
vegfor,235.2488250732422,1682.3794
walnut,14.64592170715332,33.736084
watermelon,6550.70751953125,25326.926
wheat,92111.6328125,787826.5
