Crop,clipped_PA_surf,total_surf
aniseetc,0.4111045300960541,0.8579842
apple,0.38978978991508484,0.8134277
avocado,13.71088695526123,34.139248
bambara,0.011695846915245056,0.011695847
banana,34109.4296875,129656.25
barley,1.7395976781845093,5.817144
bean,104822.671875,401733.56
berrynes,0.38025832176208496,0.7935029
broadbean,18.82485008239746,44.04546
cabbagefor,0.0,0.0
cabbage,107.656494140625,225.99731
carrotfor,0.0,0.0
carrot,11.356588363647461,23.182775
cashew,20.426422119140625,68.82068
cassava,213449.421875,1215800.4
castor,851.234375,2868.4448
cauliflower,0.04257705807685852,0.12414653
cerealnes,3.427064895629883,13.036772
chickpea,3818.66015625,8378.998
chilleetc,2.0094780921936035,4.1176076
citrusnes,45.04716873168945,94.32634
clove,5.2201128005981445,14.69386
cocoa,17302.01171875,70380.3
coconut,0.0,0.0
coffee,101742.2734375,520470.62
cotton,20734.46484375,93653.45
cowpea,8360.12109375,37396.95
cucumberetc,2.337921380996704,5.496681
date,11.731865882873535,27.209808
eggplant,4.054554462432861,9.471439
fornes,48.7010383605957,115.971436
fruitnes,2284.88427734375,7494.613
garlic,0.9529119729995728,2.1314147
ginger,11.914941787719727,43.795338
grapefruitetc,6.365062713623047,14.03864
grape,0.47504693269729614,1.8005338
greenbean,17.346343994140625,35.66162
greenbroadbean,0.020828649401664734,0.072467044
greencorn,1.3038535118103027,4.9606295
greenpea,19.359928131103516,39.788742
groundnut,67799.6484375,330044.78
jutelikefiber,2.6249003410339355,12.422445
legumenes,0.0,0.0
lemonlime,1.984681248664856,5.018952
lentil,7.127401351928711,14.541853
lettuce,0.2803284227848053,1.0344012
linseed,2.069063663482666,4.2281094
maizefor,0.0,0.0
maize,259471.40625,969643.75
mango,54.25087356567383,129.12527
melonetc,0.33161747455596924,0.7934159
melonseed,27.23369026184082,127.69558
millet,26925.443359375,149304.66
nutmeg,0.6282348036766052,2.202644
nutnes,7.904416084289551,18.142958
oats,9.36981201171875,19.117699
oilpalm,11.128148078918457,3166.4531
oilseedfor,0.0,0.0
oilseednes,9644.3828125,20220.299
okra,2.038750171661377,4.166136
onion,21585.333984375,76614.84
orange,17.46128273010254,47.121487
papaya,22.661056518554688,58.09626
peachetc,0.020908545702695847,0.054306023
pear,1.806309700012207,3.6909254
pea,7563.4638671875,26108.498
pepper,533.1582641601562,1827.4541
pigeonpea,2122.52783203125,44394.215
pimento,1179.499755859375,4023.309
pineapple,87.09627532958984,241.96541
plantain,525080.125,1719420.6
plum,1.8439909219741821,3.7679625
popcorn,0.0,0.0
potato,22441.6796875,47671.54
pulsenes,218.50271606445312,488.0468
pumpkinetc,292.2339782714844,318.5833
pyrethrum,55.657203674316406,90.61888
rice,16234.23046875,64422.18
rootnes,10.116025924682617,27.554203
rubber,10.022717475891113,47.16381
safflower,2.449286460876465,9.317558
sesame,40430.59375,194510.62
sisal,0.28870439529418945,1.0658861
sorghumfor,0.0,0.0
sorghum,65783.6015625,301406.5
soybean,4847.6435546875,51520.742
spicenes,5.636505126953125,10.420344
spinach,4.580623626708984,9.3551445
strawberry,0.04046744480729103,0.10796038
sugarcane,15581.775390625,79365.72
sunflower,61097.796875,272141.66
sweetpotato,80706.1171875,363339.06
tangetc,0.03516733646392822,0.05307311
taro,91.08787536621094,112.72144
tea,7968.67822265625,28582.61
tobacco,5417.625,22050.713
tomato,1682.835693359375,5539.648
tropicalnes,25.609874725341797,48.076366
turnipfor,0.0,0.0
vanilla,98.8720474243164,340.6585
vegetablenes,12962.291015625,47125.83
vegfor,37963.390625,146850.7
watermelon,2.752152442932129,6.202116
wheat,7101.25830078125,15875.131
yam,35.644134521484375,98.9031
