Crop,clipped_PA_surf,total_surf
alfalfa,12864.5703125,17363.08
almond,4266.1064453125,5499.078
apple,1607.14990234375,2088.847
apricot,492.756591796875,700.8295
banana,6198.59375,9400.19
barley,19253.12109375,28754.158
bean,1313.623046875,1574.5587
broadbean,3556.47021484375,4723.9614
cabbagefor,0.0,0.0
cabbage,577.15771484375,824.4161
carrotfor,0.0,0.0
carrot,1162.56005859375,1528.4282
chickpea,12583.6123046875,19614.662
chilleetc,2166.15234375,3168.2812
citrusnes,14.158891677856445,19.088577
coffee,29262.671875,37047.566
cotton,6119.40234375,9627.881
cucumberetc,702.0999755859375,931.2198
date,11104.06640625,15053.1
eggplant,441.40618896484375,597.96375
fig,399.7374572753906,528.5525
fornes,47.30058288574219,55.971256
fruitnes,6552.4375,8548.919
garlic,348.46429443359375,471.3205
grape,9023.3837890625,12266.391
grassnes,10322.845703125,14001.179
greenbean,321.8482360839844,554.8523
groundnut,692.035400390625,1000.3313
legumenes,0.0,0.0
lemonlime,1826.063232421875,2767.815
lentil,7855.9921875,9461.585
lettuce,225.18350219726562,367.15424
maizefor,0.0,0.0
maize,30231.556640625,37119.945
mango,18062.306640625,24637.086
melonetc,2670.98583984375,3548.2896
millet,54944.9921875,83793.62
okra,3223.692626953125,4258.322
onion,11997.2802734375,15717.975
orange,5946.470703125,8138.615
papaya,1236.147216796875,1691.9917
peachetc,2033.8822021484375,2654.83
pear,107.98237609863281,142.13309
pea,1191.53466796875,1586.0835
popcorn,0.0,0.0
potato,13569.837890625,15731.826
pulsenes,7918.716796875,10429.711
pumpkinetc,1148.917724609375,1506.6261
quince,240.6792449951172,314.67657
sesame,14942.3486328125,20164.268
sorghumfor,17930.634765625,24334.508
sorghum,180966.296875,283952.84
sugarcane,0.12118304520845413,0.2855686
sweetpotato,36.815006256103516,41.14982
tangetc,1122.8170166015625,1509.1992
tobacco,7661.51806640625,13625.207
tomato,5309.67529296875,7338.048
tropicalnes,337.94775390625,450.0027
turnipfor,0.0,0.0
vegetablenes,3628.77099609375,4848.8887
vegfor,1468.4710693359375,3033.728
watermelon,7138.599609375,9492.581
wheat,34751.17578125,53094.37
