Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
AFG,4,Bf,390.59244,840.0013,
AFG,4,Ch,4453686.0,12092643.0,149581501.916
AFG,4,Ct,1855664.5,5268365.0,1910657234.009
AFG,4,Dk,105731.97,390565.3,
AFG,4,Gt,2619573.0,7746219.0,363679062.532
AFG,4,Ho,51946.137,172977.95,
AFG,4,Pg,11.17524,35.31682,
AFG,4,Sh,3505916.8,13245412.0,765256592.541
ALB,8,Bf,36.364494,115.64902,
ALB,8,Ch,2203633.0,8554729.0,155531696.93653846
ALB,8,Ct,138118.9,504152.53,574034378.01158
ALB,8,Dk,207355.11,1003687.5,
ALB,8,Gt,249654.73,931509.75,91093184.20085712
ALB,8,Ho,7017.273,30934.459,
ALB,8,Pg,61242.438,171476.19,31353925.68
ALB,8,Sh,516019.3,1917048.2,165502224.03184286
DZA,12,Bf,0.0,0.0,
DZA,12,Ch,100526544.0,133532600.0,1722335151.204
DZA,12,Ct,1540986.0,2145168.0,2984129624.6256
DZA,12,Dk,32727.328125,59867.188,
DZA,12,Gt,2341848.25,5021311.5,853252511.7475
DZA,12,Ho,20868.833984375,42395.973,1499410.686
DZA,12,Pg,1444.8778076171875,5068.444,371756.502
DZA,12,Sh,12309480.0,28096154.0,4627265077.772333
AGO,24,Bf,0.0,0.0,
AGO,24,Ch,14697154.0,35696710.0,531524011.916
AGO,24,Ct,1344942.0,4988371.0,922494112.6824
AGO,24,Dk,60.5864486694336,196.74959,
AGO,24,Gt,1446752.0,4384230.5,102192989.86
AGO,24,Ho,196.7547607421875,1055.3392,
AGO,24,Pg,1095001.125,3139573.5,582943928.7653999
AGO,24,Sh,442408.1875,1120624.4,42734168.73899999
ARG,32,Bf,26714.11,80844.6,
ARG,32,Ch,26131910.0,114767704.0,8498404513.192043
ARG,32,Ct,12046528.0,51433076.0,22275912042.211
ARG,32,Dk,773501.0,2581893.5,21304486.888
ARG,32,Gt,1592894.0,4723624.5,38234347.85657142
ARG,32,Ho,702323.75,2448282.8,108321009.4
ARG,32,Pg,1063500.9,5015117.5,2668078623.0
ARG,32,Sh,4842044.0,14858392.0,299152390.0959
ARM,51,Bf,162.00822,808.8533,
ARM,51,Ch,1258685.4,4050001.8,125682544.52307692
ARM,51,Ct,238700.1,680309.56,643544161.0
ARM,51,Dk,8449.223,24707.127,
ARM,51,Gt,13591.461,33074.94,2140737.251714286
ARM,51,Ho,3600.2827,11348.959,
ARM,51,Pg,40946.203,141098.45,54956415.0
ARM,51,Sh,283937.28,699381.56,103074255.1436
AUS,36,Bf,1138.0294,3966.195,
AUS,36,Ch,32254372.0,88501736.0,4352351388.156905
AUS,36,Ct,6593623.5,27385164.0,17497287127.0
AUS,36,Dk,451030.4,1145785.8,102322049.04
AUS,36,Gt,568714.3,3598219.8,192494952.7444445
AUS,36,Ho,93751.55,271353.47,47366240.58733333
AUS,36,Pg,582395.2,2270200.8,1006049626.6666667
AUS,36,Sh,16970286.0,70861496.0,4679472797.34375
AUT,40,Bf,35.94857,57.01588,0.0
AUT,40,Ch,2404193.0,16388198.0,
AUT,40,Ct,421902.62,1972808.2,4068438411.25
AUT,40,Dk,14713.26,59691.695,
AUT,40,Gt,18803.348,70910.96,39732167.38888889
AUT,40,Ho,25468.39,88915.67,
AUT,40,Pg,469285.72,2847598.5,1101420272.0
AUT,40,Sh,111269.45,350139.03,55979949.1375
AZE,31,Bf,35210.18,242240.88,
AZE,31,Ch,5368809.5,27331344.0,641248576.1104615
AZE,31,Ct,594596.0,2454857.0,1876116751.594
AZE,31,Dk,301.7992,566.58704,
AZE,31,Gt,247354.03,647959.75,2685463.0
AZE,31,Ho,23604.562,73599.484,
AZE,31,Pg,3121.037,5825.0522,1851551.7
AZE,31,Sh,2156402.0,7991286.0,612272301.8825713
BHS,44,Bf,0.0,0.0,
BHS,44,Ch,599540.625,3007001.2,19042142.91156419
BHS,44,Ct,124.22955322265624,726.99164,588803.80995
BHS,44,Dk,0.0,0.0,
BHS,44,Gt,2288.5244140625,14729.117,2367748.303333333
BHS,44,Ho,0.0,0.0,
BHS,44,Pg,772.8392944335938,4877.355,788975.3386666668
BHS,44,Sh,1000.341796875,6462.605,188528.525625
BHR,48,Bf,0.0,0.0,
BHR,48,Ch,0.0,3428000.0,34960784.019459456
BHR,48,Ct,0.0,8945.0,12371472.073375
BHR,48,Dk,0.0,0.0,
BHR,48,Gt,0.0,19151.0,2049275.373
BHR,48,Ho,0.0,0.0,
BHR,48,Pg,0.0,0.0,
