Country Code (ISO3),Crop,Item Code (CPC),clipped_PA_surf,total_surf,yield,price
AFG,alfalfa,01912,122.84049987792967,174.08534,,
AFG,almond,01371,4394.087890625,6001.171,1742.0,
AFG,aniseetc,01654,426.0671691894531,1172.7765,704.0,
AFG,apple,01341,6462.6826171875,9298.334,10556.0,
AFG,apricot,01343,4205.55322265625,5826.899,6378.7,
AFG,artichoke,01216,0.1783218830823898,0.23620692,,
AFG,asparagus,01211,0.1583477407693863,0.21006258,,
AFG,banana,01312,16.80793571472168,17.712723,12687.326315789474,600.6999999999999
AFG,barley,0115,24917.2734375,96544.5,1528.4,862.4
AFG,bean,01701,171.0408935546875,325.16797,1562.73,1180.675
AFG,beetfor,01801,3.5773093700408936,4.4703245,16839.7,965.1
AFG,berrynes,01355.90,469.38275146484375,828.3183,4099.7,
AFG,broadbean,01702,0.9207579493522644,3.6360507,2022.3166666666664,1088.1
AFG,buckwheat,01192,1.1507219076156616,1.4306772,,
AFG,cabbagefor,01212,0.0,0.0,17572.441666666666,277.85
AFG,cabbage,01212,52.52253341674805,83.74726,17572.441666666666,277.85
AFG,carrotfor,01251,0.0,0.0,13045.65,722.1999999999999
AFG,carrot,01251,89.99110412597656,122.267815,13045.65,722.1999999999999
AFG,castor,01447,0.3680588006973266,0.50409776,,
AFG,cauliflower,01213,4.355506420135498,7.919676,,
AFG,cerealnes,01199.01,0.8955807685852051,3.7664943,,
AFG,cherry,01344.02,7.598574638366699,14.866257,,
AFG,chickpea,01703,19.114486694335938,44.082577,,
AFG,chilleetc,01231,1.291283130645752,2.0471659,6726.175,1242.1
AFG,citrusnes,01329,18.087905883789062,42.17724,9147.5,
AFG,cotton,01921.01,19097.556640625,70721.81,1320.6,408.8
AFG,cucumberetc,01232,78.84515380859375,113.18953,14003.34,778.5
AFG,date,01314,49.471527099609375,69.43313,6005.742857142858,1103.2
AFG,eggplant,01233,6.011817932128906,9.852764,13908.78888888889,551.7
AFG,fig,01315,209.01956176757807,366.3661,5929.9,
AFG,fornes,01919.96,485.1381530761719,617.05707,,
AFG,fruitnes,01319,2415.3916015625,3265.7988,,
AFG,garlic,01252,6.31688404083252,11.621388,9704.7,545.1
AFG,grapefruitetc,01321,0.7788588404655457,1.0840821,,
AFG,grape,01330,19716.6640625,28846.172,9825.0,1715.4
AFG,grassnes,01919.91,320.2299499511719,398.69583,,
AFG,greenbean,01241.90,26.47978782653809,34.060677,6485.990909090909,1372.85
AFG,greenbroadbean,01243,0.1785896718502044,0.30553976,,
AFG,greenpea,01242,10.824211120605469,20.96961,4026.9666666666662,827.2
AFG,groundnut,0142,70.79894256591797,120.65146,1034.35,765.4375
AFG,hazelnut,01374,11.989176750183104,16.834112,,
AFG,jutelikefiber,01922.02,0.962797999382019,1.6728994,,
AFG,jute,01922.01,0.3697282373905182,1.604837,,
AFG,kiwi,01352,1.4557913541793823,2.1277158,,
AFG,legumenes,01290.90,0.0,0.0,8995.0,205.2
AFG,lemonlime,01322,16.713626861572266,24.849228,7351.771428571429,1410.2
AFG,lentil,01704,63.7895622253418,91.38467,,
AFG,lettuce,01214,2.2714591026306152,3.3364172,14676.0,354.95
AFG,linseed,01441,5519.41845703125,8397.591,904.3,
AFG,maizefor,0112,261.89923095703125,488.28308,2237.4,488.3
AFG,maize,0112,31681.517578125,143388.0,2237.4,488.3
AFG,mango,01316,10.14709758758545,14.784206,9477.3,849.6833333333334
AFG,melonetc,01229,9325.2861328125,14374.831,10754.8,865.7
AFG,millet,0118,1518.1058349609375,3112.7178,1577.1,516.9125
AFG,mixedgrass,01919.93,345.0854187011719,959.82526,,
AFG,nutnes,01379.90,406.1196594238281,552.1099,838.7,
AFG,oats,0117,1.3455047607421875,1.5589007,,
AFG,oilseedfor,01449.90,0.0,0.0,1045.23,267.7
AFG,oilseednes,01449.90,0.0844119861721992,0.33563802,1045.23,267.7
AFG,okra,01239.01,9.092339515686035,17.45304,6426.614285714286,1075.9499999999998
AFG,olive,01450,556.0947875976562,2190.9854,3503.0,
AFG,onion,01253.02,5237.56494140625,7601.439,17755.2,997.525
AFG,orange,01323,246.18435668945312,380.91556,5814.4,1111.3
AFG,papaya,01317,0.4999621510505676,0.90679085,15320.35,934.6
AFG,peachetc,01345,1813.1580810546875,2480.3652,10085.4,
AFG,pear,01342.01,230.1032257080078,459.91068,8000.0,
AFG,pea,01705,808.051513671875,2942.671,1331.925,3178.1
AFG,pepper,01651,7.076417446136475,9.011294,,
AFG,pimento,01652,27.86557960510254,52.368107,2326.735714285714,3890.7
AFG,pistachio,01375,23.53080940246582,317.62036,1297.2,
AFG,plum,01346,926.3008422851562,1292.3502,8653.9,
AFG,popcorn,0112,0.0,0.0,2237.4,488.3
AFG,potato,01510,8843.3125,51687.855,15875.0,758.8285714285714
AFG,pulsenes,01709.90,14048.0126953125,57149.54,585.1,237.3
AFG,pumpkinetc,01235,18.44235610961914,30.543783,13497.536363636364,406.65
AFG,quince,01342.02,2.0917463302612305,4.2317743,,
AFG,rapeseed,01443,385.3045959472656,537.83105,,
AFG,rice,0113,32028.3984375,151391.34,4625.0,777.86
AFG,rootnes,01599.10,8.949671745300293,16.484615,,
AFG,ryefor,0116,0.0,0.0,,
AFG,rye,0116,2.084108591079712,3.3570914,,
AFG,safflower,01446,27.28151130676269,43.109974,,
AFG,sesame,01444,14446.5634765625,21947.246,858.1,1016.525
AFG,sorghumfor,0114,0.0,0.0,952.7346153846154,537.4100000000001
AFG,sorghum,0114,8.309175491333008,15.0637865,952.7346153846154,537.4100000000001
AFG,sourcherry,01344.01,5.050933837890625,8.916769,,
AFG,soybean,0141,33.46485900878906,37.140472,1589.7,723.55
AFG,spicenes,01699,712.6181030273438,1035.6982,1.4,
AFG,spinach,01215,3.2467777729034424,5.659625,,
AFG,stonefruitnes,01349.20,179.71835327148438,458.76437,7048.9,
AFG,strawberry,01354,0.9888861775398254,1.6314101,,
AFG,sugarbeet,01801,215.3976287841797,649.2134,16839.7,965.1
AFG,sugarcane,01802,659.3239135742188,1681.9014,34248.7,352.2333333333333
AFG,sunflower,01445,336.7655944824219,506.71582,1120.8,
AFG,sweetpotato,01530,3.206427574157715,3.4691129,10542.459090909091,308.7857142857143
AFG,tangetc,01324,26.63796043395996,46.311134,,
AFG,tea,01620,2.2906599044799805,2.9489262,,
AFG,tobacco,01970,0.3582900464534759,0.96663916,1323.095238095238,495.4
AFG,tomato,01234,112.47022247314452,203.6352,14157.226315789472,847.8833333333333
AFG,tropicalnes,01319,25.76547241210937,48.22566,,
AFG,turnipfor,01251,0.0,0.0,13045.65,722.1999999999999
AFG,vegetablenes,01290.90,88.22158813476562,156.2694,8995.0,205.2
AFG,vegfor,01290.90,31522.923828125,156152.44,8995.0,205.2
AFG,walnut,01376,373.564208984375,745.4596,2356.3,
AFG,watermelon,01221,13710.509765625,22069.822,14667.2,722.6500000000001
AFG,wheat,0111,581075.9375,2661830.2,2045.3,854.3
AFG,yam,01540,10.054513931274414,14.840271,8955.561538461538,814.05
ALB,alfalfa,01912,658.79296875,1436.7944,,
ALB,almond,01371,51.18326950073242,93.265366,1912.9333333333332,1890.4
ALB,aniseetc,01654,1.3165004253387451,1.9808774,2647.6833333333334,2607.633333333333
ALB,apple,01341,1569.2249755859375,4421.737,24137.2,557.5
ALB,apricot,01343,183.44891357421875,449.2071,15109.9,893.8
ALB,artichoke,01216,3.594953775405884,5.9393864,13040.042857142858,1184.55
ALB,asparagus,01211,6.503334999084473,11.377085,6458.6,3378.26
ALB,avocado,01311,3.134284019470215,4.511839,8579.74347826087,1368.7307692307693
ALB,banana,01312,0.060494028031826,0.12416933,24929.684375,568.3533333333332
ALB,barley,0115,1282.859130859375,3844.8997,3397.2,396.5
ALB,bean,01701,3738.35107421875,13511.854,1675.5,2328.4
ALB,beetfor,01801,8.50918960571289,11.485676,32250.4,49.31428571428571
ALB,berrynes,01355.90,0.1937185227870941,0.38686073,9544.786666666663,1893.76
ALB,broadbean,01702,80.52833557128906,207.50409,1181.9,937.1625
ALB,cabbagefor,01212,0.0,0.0,33855.8,341.0
ALB,cabbage,01212,812.1593017578125,1347.7461,33855.8,341.0
ALB,carob,01356,28.734451293945312,46.305862,9497.15,1096.6
ALB,carrotfor,01251,0.0,0.0,29486.2,485.2
ALB,carrot,01251,190.87826538085935,311.34314,29486.2,485.2
ALB,cauliflower,01213,63.14657211303711,217.58984,20049.6,1105.0
ALB,cherry,01344.02,897.8092651367188,2406.2695,10682.9,1017.2
ALB,chestnut,01373,730.8240966796875,2091.632,2496.7,1481.0
ALB,chickpea,01703,0.5649571418762207,0.7528403,2318.5941176470587,1051.475
