Crop,clipped_PA_surf,total_surf
alfalfa,300.2208251953125,469.47266
almond,0.300010621547699,0.7568708
aniseetc,1.9434539079666138,2.7112026
apple,930.6671142578125,5731.288
apricot,3.9563100337982178,9.313082
artichoke,1.9683425426483154,4.9134464
asparagus,144.76174926757812,589.0168
barley,7685.0888671875,48430.867
bean,51.53409194946289,198.90114
beetfor,495.7040100097656,3124.8735
berrynes,30.26318359375,127.083664
blueberry,70.36054229736328,126.95994
broadbean,204.40016174316406,1382.8489
buckwheat,5.467711448669434,12.672882
cabbagefor,9.644281387329102,22.316067
cabbage,719.6884765625,4450.6904
carrotfor,0.0,0.0
carrot,846.3009643554688,5021.719
cauliflower,939.0682373046875,5997.0103
cherry,140.5841064453125,900.7029
chestnut,2.292693853378296,5.2407823
chicory,1303.7672119140625,8468.672
chilleetc,44.17251205444336,150.75435
clover,21.61681365966797,42.52771
cucumberetc,18.430416107177734,76.652985
currant,18.76839828491211,88.095535
eggplant,14.080822944641113,25.407764
fig,0.04739537090063095,0.11493535
flax,2927.129150390625,19754.096
fornes,223.91046142578125,261.74112
garlic,3.814382553100586,6.414223
gooseberry,0.30126309394836426,0.52331483
grapefruitetc,0.04100490361452103,0.08710066
grape,402.58905029296875,595.4944
grassnes,130.90786743164062,313.04037
greenbean,1373.04638671875,9139.635
greenbroadbean,17.36800193786621,24.369751
greencorn,2039.1771240234375,12308.895
greenonion,8.226055145263672,12.158606
greenpea,1750.19677734375,11960.736
hazelnut,4.132436752319336,10.899436
hempseed,1.903672456741333,4.454975
hemp,23.948013305664062,74.11276
hop,30.16229248046875,204.40147
kiwi,1.0981391668319702,2.6121016
legumenes,9.921019554138184,22.956587
lentil,0.3736054301261902,1.1430588
lettuce,1764.103759765625,11238.625
linseed,228.24485778808594,426.60318
lupin,1.171892523765564,2.37242
maizefor,5928.36328125,24947.906
maize,7762.14501953125,50112.363
melonetc,4.706583023071289,10.586248
millet,0.04263654351234436,0.1865888
mixedgrain,87.1147232055664,408.94647
mixedgrass,981.8574829101562,2098.8203
mushroom,5.7735395431518555,10.393458
mustard,0.21903687715530396,0.48750567
oats,909.5103149414062,3800.9048
oilseedfor,69.1975326538086,115.50115
oilseednes,0.0,0.0
onion,1299.9190673828125,4695.91
peachetc,3.8693525791168213,9.572076
pear,1583.1802978515625,10261.88
pea,136.04522705078125,936.3858
plum,19.190994262695312,57.23007
popcorn,0.0,0.0
poppy,14.173884391784668,23.067852
potato,10899.9140625,103744.98
pulsenes,884.494873046875,2419.2441
pumpkinetc,430.0111389160156,907.46
quince,12.550823211669922,83.9515
rapeseed,1409.9345703125,8475.509
rasberry,17.00277328491211,123.702614
rice,0.40388721227645874,1.3747474
ryefor,179.00843811035156,432.49005
rye,343.730224609375,983.2338
sorghumfor,3.388172149658203,7.898452
sorghum,3.478055238723755,14.567772
sourcherry,33.730613708496094,144.32417
soybean,60.81299591064453,198.86731
spinach,654.1538696289062,4307.2495
strawberry,244.62112426757812,1577.3186
stringbean,10.340431213378906,23.913872
sugarbeet,3124.509765625,60261.145
sunflower,687.418212890625,5399.1606
tangetc,0.5360592007637024,1.3238375
tobacco,2.591712474822998,32.04419
tomato,123.52881622314453,667.2921
triticale,677.8285522460938,3991.696
turnipfor,0.34771203994750977,0.8446567
vegetablenes,1227.1597900390625,6864.508
vegfor,4703.8212890625,22654.297
walnut,24.028160095214844,122.72506
watermelon,0.10533909499645233,0.18609028
wheat,25571.18359375,209023.36
