Crop,clipped_PA_surf,total_surf
alfalfa,4257.10693359375,14123.223
almond,457.328369140625,1134.1042
aniseetc,8557.720703125,24194.223
apple,1674.275390625,4447.7666
apricot,832.224609375,2247.8887
artichoke,122.40987396240234,181.26306
asparagus,821.6961669921875,2251.8003
avocado,3.947554588317871,4.409136
banana,0.5218884944915771,0.58319336
barley,44743.58984375,129936.984
bean,621.15234375,1604.7496
beetfor,661.3094482421875,1911.3547
berrynes,305.83331298828125,904.6697
blueberry,12.395920753479004,30.296257
broadbean,23.43061065673828,36.164734
cabbagefor,0.0,0.0
cabbage,710.3450317382812,1893.5236
carob,24.945146560668945,31.265215
carrotfor,0.0,0.0
carrot,552.9435424804688,1167.8816
cauliflower,323.7276306152344,605.98065
cerealnes,2596.48486328125,8436.568
cherry,3781.53759765625,10702.754
chestnut,32.093990325927734,39.10115
chickpea,483.79931640625,1437.7709
chicory,0.03878945857286453,0.26969096
chilleetc,1336.6793212890625,3592.4873
clover,376.6686706542969,849.69617
cotton,847.5568237304688,1515.3802
cowpea,16.82149887084961,29.863369
cucumberetc,566.394287109375,1625.7975
currant,95.25387573242188,179.37979
date,1.1772609949111938,1.177261
eggplant,707.4249877929688,1354.6853
fig,48.47454071044922,57.03289
flax,9.240160942077637,24.375278
fornes,6.562517166137695,12.516347
fruitnes,4568.517578125,13667.182
garlic,199.488037109375,535.1247
grapefruitetc,1.8923237323760986,1.9747268
grape,8950.798828125,29256.172
grassnes,21139.70703125,60972.04
greenbean,220.61557006835938,678.24927
greenbroadbean,193.01156616210938,550.84
greencorn,2831.455322265625,10632.553
greenonion,370.2255859375,1059.7546
greenpea,337.3749694824219,956.02484
groundnut,5618.4443359375,8705.832
hazelnut,1142.5594482421875,1149.3337
hempseed,3.7095999717712402,7.289489
hemp,198.79647827148438,689.1903
hop,115.73518371582031,336.17108
kiwi,28.18058204650879,35.384396
legumenes,1363.053955078125,2478.473
lemonlime,29.49578285217285,32.650978
lentil,695.1701049804688,2190.4143
lettuce,73.91548156738281,187.13684
linseed,40.539527893066406,117.71277
lupin,85.17476654052734,86.56093
maizefor,18430.86328125,53429.848
maize,204284.875,619246.2
melonetc,823.7843017578125,1748.2395
melonseed,3.446540355682373,4.2602005
millet,1307.914306640625,3911.7783
mixedgrain,5.482253074645996,6.0367446
mixedgrass,515.98779296875,1002.7125
mustard,1060.58349609375,3122.776
nutnes,275.7293395996094,735.20337
oats,3627.960205078125,8023.458
oilseedfor,0.0,0.0
oilseednes,2370.120849609375,7125.0146
okra,2.4719367027282715,2.4719367
olive,3578.793212890625,4535.162
onion,1130.6273193359375,3134.3398
orange,103.29206848144531,125.429886
peachetc,892.6049194335938,2300.2158
pear,226.40650939941406,576.81714
pea,3945.178466796875,14161.296
pimento,113.8134765625,262.2217
pistachio,99.7097396850586,102.40874
plum,3427.529052734375,9667.02
popcorn,0.0,0.0
poppy,22.289947509765625,30.959656
potato,4446.35302734375,11067.899
pulsenes,2920.957275390625,10684.84
pumpkinetc,694.5968627929688,1913.2693
quince,120.894287109375,341.37268
rapeseed,33829.8359375,124578.03
rasberry,610.057861328125,1797.1661
rice,2968.225830078125,12370.55
ryefor,0.0,0.0
rye,1133.7607421875,4070.6768
sesame,11.855937957763672,11.936977
sorghumfor,1.4545693397521973,1.7937124
sorghum,1124.7064208984375,3345.4521
sourcherry,586.2446899414062,1508.0717
soybean,2603.8115234375,5152.777
spicenes,263.8629150390625,727.2732
spinach,101.33880615234375,231.28003
stonefruitnes,2.2474124431610107,2.7375937
strawberry,340.469482421875,912.9795
stringbean,2.8096513748168945,2.8096514
sugarbeet,585.2241821289062,1953.1615
sunflower,233214.6875,836161.4
tangetc,39.37403106689453,44.519844
tea,6.033123970031738,6.033124
tobacco,1589.39208984375,4283.5244
tomato,1558.20654296875,4136.2354
triticale,18012.134765625,22952.71
tropicalnes,2.8311750888824463,2.831175
turnipfor,0.0,0.0
vegetablenes,6505.9619140625,18710.387
vegfor,511.7437744140625,1261.0088
vetch,185.4744873046875,478.2935
walnut,2667.818359375,7424.074
watermelon,4976.2705078125,10243.679
wheat,358665.5625,1235132.5
