Crop,clipped_PA_surf,total_surf
agave,0.0,0.12191132
aniseetc,0.16822120547294617,0.40366453
apple,1.2734912633895874,2.1353087
avocado,2.0773050785064697,3.031958
banana,2565.745361328125,3196.8096
barley,0.0,0.014067261
bean,5705.43994140625,7003.461
broadbean,4.634645938873291,10.4468775
cabbagefor,0.0,0.0
cabbage,19.817161560058594,47.77594
carrotfor,0.0,0.0
carrot,15.86517333984375,39.271034
cashew,143.66055297851562,340.35654
cassava,53.18844223022461,70.84627
castor,0.0,0.07849983
cauliflower,1.2116657495498657,2.421812
chilleetc,15.194509506225586,57.58908
citrusnes,2.1111505031585693,7.386137
cocoa,299.7503967285156,368.5037
coconut,685.5560302734375,1078.6163
coffee,58.86621856689453,75.9233
cotton,0.0,0.4399331
cucumberetc,15.744730949401855,39.19898
fornes,0.0,1.8383081
fruitnes,475.7559509277344,1256.3724
garlic,0.5563877820968628,0.78524154
grapefruitetc,937.7550048828125,2107.6643
grape,0.4684183597564697,1.0228665
grassnes,0.0,28.107592
greenbean,0.0,25.257797
greenbroadbean,0.1313527524471283,0.33977807
greenonion,25.56561279296875,62.84516
greenpea,0.0,279.06714
groundnut,75.97322845458984,100.59122
jutelikefiber,0.04205809533596039,0.130767
legumenes,0.0,0.0
lemonlime,1.0098493099212646,419.05594
lettuce,0.5701665282249451,1.0508807
maizefor,0.0,6.662197
maize,17856.1953125,26298.373
mango,5.392658233642578,23.00767
melonetc,25.523683547973633,60.830994
mixedgrass,0.0,0.14079435
nutmeg,21.974109649658203,35.91881
nutnes,1.0945435762405396,7.6710753
oilpalm,13.066972732543945,42.76859
okra,2.2039220333099365,5.835457
onion,0.9149485230445862,2.3927696
orange,5352.90966796875,11519.189
papaya,83.40608215332031,219.76761
pea,0.0,554.06726
pepper,0.20913702249526978,0.5987745
pimento,0.0,0.35572568
pineapple,243.46539306640625,480.99072
plantain,268.8932189941406,333.78778
popcorn,0.0,0.0
potato,55.688629150390625,74.476166
pulsenes,0.6507850885391235,1.5887434
pumpkinetc,5.501424312591553,28.734112
rapeseed,0.0,0.05045848
rice,2560.7412109375,3177.2407
rootnes,5.814069747924805,17.449337
rubber,28.19721031188965,40.2538
sesame,11.932061195373535,26.78527
sisal,0.0,1.1371844
sorghumfor,0.0,0.0
sorghum,4320.998046875,5374.949
soybean,3016.182373046875,8276.928
spicenes,0.07135682553052902,0.20152822
strawberry,0.08905486017465591,0.17838636
stringbean,0.0,0.97512174
sugarcane,30073.921875,38644.88
sweetpotato,18.17980194091797,22.059778
tea,0.46449193358421326,0.61777365
tobacco,0.0,0.4661648
tomato,36.446876525878906,81.12242
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,189.30474853515625,491.19702
vegfor,417.4945068359375,733.4147
vetch,0.0,0.73462796
watermelon,53.68269729614258,184.17422
wheat,0.0,0.018385388
yam,19.610549926757812,26.492325
yautia,8.477375030517578,112.06151
