Crop,clipped_PA_surf,total_surf
apricot,50.48977279663086,169.64136
avocado,4625.9638671875,16358.748
bambara,3772.88916015625,43759.24
banana,70501.90625,96138.0
bean,182990.796875,312999.84
cabbagefor,0.0,0.0
cabbage,730.6882934570312,2602.1812
carrotfor,0.0,0.0
carrot,7.640233516693115,37.539196
cashew,58.555667877197266,265.59808
cassava,81290.1328125,343606.06
cerealnes,199.03515625,363.20422
chilleetc,6654.5234375,25971.957
citrusnes,213.7083282470703,1062.2887
cocoa,230066.328125,698023.25
coconut,1298.141357421875,1400.4076
coffee,30821.65234375,119518.69
cotton,22381.447265625,258102.2
cowpea,27988.9140625,242918.5
cucumberetc,72459.4765625,306369.78
date,52.52738952636719,171.48413
eggplant,91.24159240722656,329.00778
fig,3.4819226264953613,27.202263
fruitnes,7179.869140625,25369.443
ginger,2328.893310546875,5670.9062
grapefruitetc,0.046401504427194595,3.3691432
greenbean,220.9405517578125,786.85345
greencorn,55.24919891357422,274.90366
greenonion,3.541384220123291,17.884499
groundnut,51484.58984375,477033.47
jutelikefiber,0.2667354643344879,2.6911304
jute,74.33650207519531,263.47552
karite,102.1466064453125,509.0556
kolanut,25047.646484375,104749.414
legumenes,0.0,0.0
lemonlime,0.043539103120565414,2.3223298
maizefor,0.0,0.0
maize,164399.296875,1227915.6
mango,54.110130310058594,289.70767
melonetc,1417.123291015625,5043.6616
melonseed,27849.271484375,117343.71
millet,9695.146484375,80032.445
nutnes,86.63076782226562,338.25204
oilpalm,66645.734375,167975.6
okra,1009.1494140625,29955.705
onion,2745.47119140625,26329.504
orange,0.2934751510620117,31.47422
papaya,20.241535186767578,100.40072
peachetc,42.90456771850586,144.68842
pepper,78.07884216308594,277.37772
pimento,1189.13525390625,4231.827
pineapple,4105.9453125,8374.669
plantain,139267.03125,321836.78
plum,34.183658599853516,115.115486
popcorn,0.0,0.0
potato,15972.267578125,22925.871
pulsenes,791.3831176757812,3081.2305
pumpkinetc,34577.52734375,144088.19
rice,99128.5390625,301060.12
rootnes,1407.069580078125,5176.529
rubber,14260.98828125,49771.965
sesame,14767.9091796875,53365.207
sisal,0.11332525312900543,4.115509
sorghumfor,0.0,0.0
sorghum,56232.21484375,776138.7
soybean,8895.6328125,16209.941
spicenes,0.9402556419372559,4.769087
stonefruitnes,385.35430908203125,1366.7529
sugarcane,18183.998046875,140076.77
sweetpotato,30831.67578125,96080.555
taro,73864.359375,175016.34
tea,2000.4615478515625,2148.0737
tobacco,592.887939453125,4315.0723
tomato,59341.9296875,126814.41
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,9338.41015625,35468.03
vegfor,31533.984375,85489.02
watermelon,789.9262084960938,2810.123
wheat,288.5289001464844,495.51392
yam,29969.2578125,63921.695
