Crop,clipped_PA_surf,total_surf
agave,13.564140319824219,105.714745
aniseetc,1.039401650428772,2.7841792
apple,14.686473846435547,66.59533
avocado,34.98938751220703,222.53442
banana,3316.79736328125,10719.965
barley,0.0,0.07842402
bean,21903.826171875,155421.52
beetfor,18.497499465942383,111.76489
broadbean,21.920928955078125,59.9404
cabbagefor,0.0,0.0
cabbage,417.992431640625,2411.4277
carrotfor,0.0,0.0
carrot,163.03887939453125,789.7991
cashew,228.27508544921875,1352.8094
cassava,391.14581298828125,3155.451
cauliflower,20.47905158996582,102.76752
chilleetc,268.5597839355469,1395.4557
citrusnes,79.0344009399414,419.90393
cocoa,812.5073852539062,3972.6929
coconut,302.97161865234375,1720.6594
coffee,50748.140625,317671.25
cotton,404.9312744140625,1796.9424
cucumberetc,100.83226013183594,588.36725
eggplant,109.19383239746094,641.4338
fruitnes,978.1651611328125,5627.037
garlic,7.995469093322754,40.584015
grapefruitetc,257.657470703125,1495.2368
grape,5.68389892578125,23.593004
greenbroadbean,1.0106325149536133,2.7069383
groundnut,42.546531677246094,299.79315
jutelikefiber,10.40542984008789,94.60728
legumenes,0.0,0.0
lemonlime,134.42428588867188,788.0431
lettuce,21.272563934326172,119.700645
maizefor,0.0,0.0
maize,56294.125,354717.12
mango,253.27818298339844,1464.6443
melonetc,977.4383544921875,5647.7017
nutmeg,211.98976135253906,1053.6794
nutnes,6.044198989868164,16.023407
oilpalm,22913.43359375,201851.66
okra,0.8519179821014404,2.2808142
olive,11.300102233886719,104.985985
onion,102.40353393554688,586.65765
orange,1583.0775146484375,9138.63
papaya,1.9099116325378418,11.553623
pepper,215.1582794189453,1251.3146
pineapple,330.7900085449219,1899.5817
plantain,2264.822021484375,7800.5386
popcorn,0.0,0.0
potato,587.2354736328125,1801.7378
pulsenes,4.345541000366211,11.51725
pumpkinetc,189.98045349121094,1117.6434
rice,3821.528076171875,16343.647
rootnes,137.5942840576172,805.56067
rubber,33.6031608581543,89.98173
sesame,204.5826416015625,1154.1044
sorghumfor,0.0,0.0
sorghum,2303.138427734375,18229.531
soybean,101.0577392578125,594.3326
spicenes,0.6415910720825195,1.765772
strawberry,0.42132794857025146,1.1641214
sugarbeet,0.0,0.0
sugarcane,9827.9072265625,59866.094
sweetpotato,790.422607421875,3217.5918
tangetc,0.7462527751922607,6.9874296
tea,3.2563045024871826,9.900875
tobacco,457.25238037109375,3456.1582
tomato,253.12257385253906,1401.905
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1002.4268798828125,5779.341
vegfor,872.5181274414062,4564.573
watermelon,191.5619659423828,1115.399
wheat,568.024169921875,2236.2417
yam,0.04041324555873871,0.13014616
yautia,6.521279335021973,61.04492
