Crop,clipped_PA_surf,total_surf
apple,133.17942810058594,687.8783
asparagus,0.0753052607178688,0.36659715
barley,33650.2578125,178478.05
bean,394.80767822265625,2575.251
beetfor,1087.718994140625,5649.585
berrynes,1.8569190502166748,16.821074
broadbean,2501.845703125,12161.963
cabbagefor,205.57699584960938,1063.2484
cabbage,185.32008361816406,960.114
carrotfor,0.0,0.0
carrot,156.13009643554688,805.19
cauliflower,169.7318572998047,874.7564
cucumberetc,0.35158979892730713,6.2035465
currant,3.865055561065674,28.594183
flax,1.4131848812103271,3.8302727
fruitnes,141.47987365722656,735.1652
grape,0.013993079774081707,0.048434284
greenbean,37.83159255981445,196.5369
greenbroadbean,0.18813492357730865,0.540774
greenonion,0.14183460175991058,0.42756128
greenpea,326.23358154296875,1682.8113
hop,3.282658815383911,26.59274
legumenes,0.0,0.0
lettuce,45.565040588378906,236.65833
linseed,8.511872291564941,37.694447
maizefor,11.90493106842041,34.268707
maize,24773.53515625,94898.69
mixedgrain,0.6366521716117859,2.0376878
mixedgrass,9598.6484375,35501.703
oats,1643.892822265625,7289.167
onion,53.59986114501953,277.52643
pear,0.13842368125915527,0.40284634
pea,170.44737243652344,814.286
plum,0.03196348249912262,0.09922389
popcorn,0.0,0.0
potato,2160.3896484375,7904.0986
pulsenes,7.97823429107666,21.352005
rapeseed,1895.90478515625,9129.752
rasberry,3.0598130226135254,24.65859
rice,1.2034865617752075,5.562231
ryefor,0.0,0.0
rye,75.1793441772461,264.56366
soybean,56.79414367675781,231.47171
strawberry,40.66880798339844,210.29846
sugarbeet,171.0179901123047,733.801
sunflower,46.08051681518555,123.79681
tomato,1.6359013319015503,15.108357
triticale,0.030343880876898766,0.24453354
tropicalnes,0.0,0.0
turnipfor,557.6778564453125,2888.7908
vegetablenes,379.3775329589844,1959.674
vegfor,1333.9058837890625,4835.93
wheat,10306.78515625,31835.531
