Crop,clipped_PA_surf,total_surf
alfalfa,38069.546875,165484.97
almond,10648.8515625,52841.37
apple,11121.7705078125,54663.496
apricot,3705.4150390625,17587.602
artichoke,7809.14892578125,38069.965
asparagus,1584.18798828125,7378.492
banana,3.543452501296997,12.947071
barley,62291.63671875,263269.56
bean,1409.1361083984375,6385.1704
beetfor,60.05085372924805,241.89336
berrynes,45.11716842651367,76.24398
blueberry,243.467041015625,1099.4666
broadbean,11194.9931640625,66735.016
buckwheat,5.3472208976745605,6.800018
cabbagefor,1.390010118484497,1.4469457
cabbage,4472.8330078125,21319.764
carob,2526.820556640625,12004.799
carrotfor,2.5528485774993896,3.3499608
carrot,2259.072998046875,10713.977
cauliflower,3264.471923828125,15583.817
cerealnes,7591.9423828125,33663.188
cherry,5992.5234375,28688.254
chestnut,7485.1513671875,35700.27
chickpea,1338.5909423828125,6000.951
chicory,0.03998488932847977,0.03998489
chilleetc,2110.551025390625,10019.753
citrusnes,327.2524108886719,1562.3574
clover,2934.84814453125,13743.546
cucumberetc,439.4447021484375,2089.1294
currant,34.61582946777344,158.86597
eggplant,2002.9019775390625,9495.792
fig,439.9356689453125,2105.0066
flax,55.6756591796875,521.869
fornes,30512.609375,139500.64
fruitnes,2244.14404296875,10665.291
garlic,694.7402954101562,3280.555
gooseberry,0.17705804109573364,0.26234284
grapefruitetc,56.46488952636719,293.47778
grape,157231.5625,671942.0
grassnes,29695.265625,136527.62
greenbean,3750.66162109375,17892.207
greenbroadbean,2212.151123046875,10508.311
greencorn,16709.84375,91877.914
greenonion,0.22367340326309204,0.4507429
greenpea,3358.478759765625,15929.879
hazelnut,16124.890625,79272.516
hempseed,0.21198518574237823,0.21198519
hemp,114.37010192871094,585.1376
hop,18.73530387878418,48.419155
kiwi,5150.4443359375,24480.605
legumenes,29099.0859375,134417.72
lemonlime,5145.1650390625,24805.895
lentil,457.97406005859375,2042.0297
lettuce,6648.19140625,32259.154
linseed,561.8511352539062,2664.7349
lupin,36.243873596191406,571.51184
maizefor,28293.93359375,131190.52
maize,109965.140625,572722.4
melonetc,4929.77099609375,23548.047
millet,1.0369195938110352,1.699799
mixedgrain,14.777385711669922,21.259325
mixedgrass,32067.71875,144939.89
nutnes,787.2534790039062,3745.0857
oats,25570.91015625,92337.86
oilseedfor,20.347518920898438,31.681717
oilseednes,19.468225479125977,61.81817
olive,262193.40625,1058616.9
onion,2789.359619140625,12923.826
orange,16962.427734375,83773.805
peachetc,11859.8037109375,58803.215
pear,5495.61376953125,26706.494
pea,3208.08203125,20728.469
persimmon,509.99169921875,2427.5112
pimento,2.193000555038452,2.8777752
pistachio,683.25634765625,3248.694
plum,2482.7490234375,11788.062
popcorn,0.0,0.0
poppy,1.166327953338623,1.6093812
potato,5844.2099609375,45875.855
pulsenes,5599.00146484375,5855.565
pumpkinetc,4366.1005859375,20161.723
quince,5.340563774108887,31.83907
rapeseed,2286.87841796875,16868.615
rasberry,66.55752563476562,347.96207
rice,41903.390625,227583.31
ryefor,31.024932861328125,32.463207
rye,549.550048828125,3337.0247
sesame,2.70479679107666,16.186098
sorghumfor,1348.4599609375,6404.112
sorghum,9962.4033203125,52347.44
sourcherry,271.65802001953125,1297.0001
soybean,36488.89453125,245314.83
spinach,1286.5843505859375,6107.724
stonefruitnes,90.4182357788086,447.08704
strawberry,975.1607055664062,4628.1045
stringbean,1.4989969730377197,1.559938
sugarbeet,4566.88525390625,27092.17
sunflower,14101.703125,122459.34
sweetpotato,74.1625747680664,433.48523
tangetc,7041.556640625,33930.848
tobacco,2739.210693359375,13117.837
tomato,20172.02734375,99089.4
triticale,846.4065551757812,11080.097
tropicalnes,0.0,0.0
turnipfor,215.34393310546875,985.75085
vegetablenes,20727.015625,101230.8
vegfor,34773.84375,158141.17
vetch,1264.8101806640625,6008.989
walnut,1027.8870849609375,4849.565
watermelon,2813.033935546875,13378.776
wheat,381361.09375,1701837.6
