Crop,clipped_PA_surf,total_surf
alfalfa,351.98651123046875,667.9355
almond,114.5962142944336,426.8092
aniseetc,11.552469253540039,24.853863
apple,13456.787109375,49699.17
apricot,931.3056640625,3567.7144
barley,18035.69140625,62697.27
bean,5085.60595703125,17496.418
beetfor,20.12688446044922,84.566795
berrynes,0.9703670144081116,3.376376
blueberry,0.4229609966278076,0.89355063
buckwheat,179.8744659423828,469.3008
cabbagefor,0.0,0.0
cabbage,697.6035766601562,2535.5964
carrotfor,0.0,0.0
carrot,2152.658203125,5664.793
castor,0.011418990790843964,0.04702986
cauliflower,319.4620056152344,710.85803
cerealnes,8.565539360046387,31.861156
cherry,1046.776123046875,4016.4675
chickpea,167.4705352783203,796.4363
chicory,0.010146867483854294,0.11519499
chilleetc,601.9547729492188,2253.1553
clover,151.6658477783203,293.80438
cranberry,0.0,0.0
cucumberetc,1601.657470703125,6100.486
currant,153.0538787841797,582.8841
eggplant,1024.232666015625,2468.7441
flax,3.683408737182617,15.984549
fornes,56.697166442871094,231.3219
fruitnes,86.18888854980469,316.4344
garlic,1031.985107421875,3957.3955
gooseberry,12.974848747253418,49.21267
grape,28071.16796875,103739.58
grassnes,337.1478271484375,641.93286
greenbean,128.07627868652344,463.6751
greencorn,398.17755126953125,1465.1732
greenpea,489.1025695800781,1852.0115
hazelnut,363.826904296875,1031.3822
hempseed,2.2210917472839355,5.8346376
hemp,2.1809520721435547,6.140298
hop,0.5625195503234863,2.0731897
legumenes,567.1512451171875,1044.3748
lentil,1.576748251914978,8.947147
lettuce,1.5652875900268555,2.0393064
linseed,10.341545104980469,39.35694
maizefor,8850.30859375,32174.992
maize,97889.171875,359660.94
melonetc,1528.261474609375,5127.0146
millet,113.62959289550781,494.64215
mixedgrain,211.37844848632812,776.39575
mixedgrass,954.6094970703125,3270.0388
mustard,26.024085998535156,81.314186
nutnes,52.437862396240234,187.1528
oats,676.3812255859375,1868.4434
oilseedfor,0.0,0.0
oilseednes,7.153322219848633,26.744513
onion,1963.10302734375,7401.86
peachetc,1565.586669921875,5962.5576
pear,634.0193481445312,2421.3203
pea,4753.763671875,14831.337
pimento,32.79582214355469,63.528454
plum,5754.02783203125,21602.104
popcorn,0.0,0.0
poppy,3.4678080081939697,6.714006
potato,17143.541015625,27578.4
pulsenes,8.912921905517578,10.446247
pumpkinetc,1023.6630859375,3971.2148
quince,312.00518798828125,1172.656
rapeseed,5413.4580078125,33299.63
rasberry,256.90087890625,992.14246
rice,9.73481559753418,25.560654
ryefor,0.0,0.0
rye,272.5444641113281,1017.7879
sorghumfor,0.0,0.0
sorghum,1055.7509765625,4722.368
sourcherry,1363.7305908203125,4663.897
soybean,10702.541015625,36036.75
strawberry,472.1860046386719,1804.8926
sugarbeet,4330.25439453125,14562.814
sunflower,90807.6953125,333238.84
tobacco,167.86328125,724.48975
tomato,1491.3515625,5564.9873
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1219.94921875,4540.167
vegfor,1529.418701171875,5577.9536
vetch,46.837677001953125,158.4247
walnut,4705.2216796875,18123.275
watermelon,2843.09619140625,8291.651
wheat,70486.515625,328217.8
