Crop,clipped_PA_surf,total_surf
almond,0.43729427456855774,1.2765772
aniseetc,4.506066799163818,16.084223
apple,117.88098907470703,283.39154
apricot,0.9735201597213745,2.3519769
areca,18523.775390625,66028.83
artichoke,0.05719413608312607,0.09820216
asparagus,27.591543197631836,57.622295
avocado,0.362038254737854,0.8711943
banana,112.56697845458984,352.13455
barley,45.360774993896484,492.4654
bean,933426.4375,3211381.0
beetfor,0.0,0.0
berrynes,0.20188137888908386,0.44695905
broadbean,62.34368133544922,120.14129
buckwheat,56.3992919921875,108.68621
cabbagefor,0.0,0.0
cabbage,44.63566970825195,94.29765
canaryseed,37.73493194580078,82.74855
carrotfor,0.0,0.0
carrot,9.949543952941895,20.84568
cashew,459.7284240722656,1110.4618
cassava,9364.80859375,34303.098
castor,1891.2567138671875,4773.621
cauliflower,9.115802764892578,19.46674
cerealnes,5579.89013671875,20042.324
cherry,0.08320024609565735,0.13817114
chestnut,7.06050968170166,17.782166
chickpea,108643.7734375,367138.06
chilleetc,15.307992935180664,33.252384
cinnamon,2.2460336685180664,5.8685403
citrusnes,7.034918308258057,17.23434
coconut,16355.3984375,46149.16
coffee,3806.878662109375,10937.215
cotton,49306.46875,178034.39
cowpea,33497.734375,118294.016
cucumberetc,45.18821334838867,95.81018
date,0.269688218832016,0.63265747
eggplant,31.866121292114258,69.36565
fibrenes,28.405349731445312,107.38042
fig,0.014088348485529423,0.03273927
flax,6.640317916870117,16.722628
fornes,270.1397399902344,792.0228
fruitnes,99463.59375,354311.7
garlic,7565.3447265625,26988.717
ginger,13.167357444763184,36.28036
grapefruitetc,10.222126960754395,29.19996
grape,5.498276710510254,14.292479
grassnes,57417.62109375,205319.45
greenbean,72.98802185058594,160.4336
greenbroadbean,0.13725227117538452,0.3153686
greencorn,17.36516761779785,38.305565
greenonion,0.21126168966293335,0.5150497
greenpea,11.001640319824219,24.568827
groundnut,273475.21875,1045862.56
hazelnut,0.2574375867843628,0.7593347
hempseed,0.5308821201324463,1.5503945
hemp,10.022672653198242,15.14687
hop,0.28081014752388,0.8617797
jutelikefiber,14.173462867736816,31.407524
jute,64.3743667602539,226.24358
kapokfiber,66.48991394042969,146.09645
kapokseed,20.094722747802734,45.493294
legumenes,0.0,0.0
lemonlime,11.56261157989502,35.13465
lentil,322.7413635253906,1201.308
lettuce,13.08492374420166,28.380295
linseed,40.218109130859375,101.92454
maizefor,0.0,0.0
maize,131578.53125,495270.53
mango,354.5409240722656,839.45715
melonetc,11.977315902709961,39.496395
melonseed,1.6796375513076782,4.493331
millet,27354.494140625,152945.16
mushroom,0.08312328904867172,0.16858613
mustard,11859.720703125,42574.08
nutmeg,0.7873616218566895,42.93303
nutnes,6.688772201538086,15.191648
oats,20.16393280029297,38.809914
oilpalm,19787.994140625,33516.375
oilseedfor,0.0,0.0
oilseednes,0.01214615162461996,0.05298134
onion,18814.986328125,67399.58
orange,32.115901947021484,102.50885
papaya,3.1155014038085938,7.356072
peachetc,33.9028434753418,82.65782
pear,103.31253051757812,251.12094
pea,13044.62890625,46654.46
pepper,0.7023248672485352,1.9620667
persimmon,30.923114776611328,75.17729
pigeonpea,134166.578125,439778.78
pimento,21533.33203125,77652.305
pineapple,58.356842041015625,149.31708
pistachio,0.7509580850601196,2.1135194
plantain,27911.51171875,97788.99
plum,87.33820343017578,212.17221
popcorn,0.0,0.0
potato,8444.630859375,30833.146
pulsenes,84.43184661865234,294.81644
pumpkinetc,19.944332122802734,45.452293
quince,0.6461476683616638,1.5094377
ramie,6.690788269042969,19.677748
rapeseed,167.10073852539062,1095.3809
rice,1654705.875,6214957.0
rootnes,6.645863056182861,14.583937
rubber,85384.109375,298566.9
ryefor,0.0,0.0
rye,27.845252990722656,53.637463
safflower,1.090195894241333,2.970085
sesame,384198.625,1366018.4
sisal,0.3008456826210022,0.90162706
sorghumfor,0.0,0.0
sorghum,16990.68359375,147696.89
soybean,41004.42578125,138703.94
spicenes,1016.0685424804688,3716.6448
spinach,15.727433204650879,32.962845
stonefruitnes,0.5318836569786072,7.762951
strawberry,0.010694514960050583,0.024820326
stringbean,0.0,0.0
sugarbeet,0.45400550961494446,1.2409931
sugarcane,47958.1015625,177598.5
sugarnes,8583.1552734375,30735.168
sunflower,78926.921875,269467.03
sweetpotato,1343.1624755859375,6509.258
tangetc,72.8765640258789,195.13141
taro,10.123019218444824,24.182135
tea,26007.04296875,87386.29
tobacco,3971.152099609375,14318.713
tomato,31.024240493774414,65.60132
triticale,8.761648178100586,16.856014
tropicalnes,386.5919189453125,885.97235
tung,8.95380687713623,22.545732
turnipfor,0.0,0.0
vanilla,0.0,0.0
vegetablenes,47152.7890625,169709.58
vegfor,68998.4765625,264946.03
walnut,11.545347213745117,29.557343
watermelon,54.64898681640625,119.630394
wheat,14566.751953125,59368.254
yam,17824.607421875,64540.453
