Crop,clipped_PA_surf,total_surf
apricot,0.1546318531036377,0.23526043
avocado,41.36839294433594,67.29243
bambara,31.801164627075195,51.80003
banana,936.5751953125,1074.9879
bean,1973.9263916015625,3613.9272
cabbagefor,0.0,0.0
cabbage,26.96141815185547,120.010086
carrotfor,0.0,0.0
carrot,6524.94921875,26265.383
cashew,31398.11328125,143734.64
cassava,2002536.125,7493969.0
castor,2.841642141342163,7.992675
cerealnes,3.6333320140838623,21.937344
chickpea,0.10756057500839233,3.2171297
chilleetc,7734.09375,40990.41
citrusnes,162149.96875,797285.4
cocoa,557971.8125,1239346.9
coconut,9972.37890625,29486.277
coffee,641.4000244140625,1432.5073
cotton,57817.87890625,362895.4
cowpea,900830.25,4464414.5
cucumberetc,297.1269226074219,454.77185
date,4.087189674377441,22.159008
eggplant,0.724798321723938,1.1258857
fig,0.011010919697582722,0.01101092
fonio,7592.25537109375,63325.3
fruitnes,40591.5,174768.7
garlic,12.257808685302734,68.13446
ginger,20351.78515625,87276.07
greenbean,9.988967895507812,52.003372
greenbroadbean,1.957810401916504,11.861987
greencorn,46234.375,196848.61
greenonion,3378.14013671875,13570.849
groundnut,694927.625,3952134.0
jutelikefiber,209.12413024902344,851.0772
jute,0.3302825689315796,0.5187224
karite,85835.5625,380640.1
kolanut,59175.96484375,239117.33
legumenes,0.0,0.0
lettuce,6.0208353996276855,36.449223
maizefor,0.0,0.0
maize,1261040.75,6659437.0
mango,31942.189453125,128677.26
melonetc,13.634154319763184,22.115894
melonseed,182343.234375,839098.44
millet,306281.15625,1962610.0
nutnes,816.5640869140625,2843.929
oilpalm,1415828.625,3545414.5
oilseedfor,0.0,0.0
oilseednes,1.1689953804016113,3.3210328
okra,322333.21875,1451758.2
onion,143663.921875,571241.4
orange,4.275813102722168,13.618571
papaya,22934.755859375,89914.09
peachetc,0.12958252429962158,0.2027531
pea,2.6729328632354736,16.23952
pepper,5.172756195068359,29.769924
pimento,6447.62841796875,25632.121
pineapple,44217.8984375,175815.34
plantain,183918.890625,482821.47
plum,0.11184312403202057,0.16639176
popcorn,0.0,0.0
potato,132482.921875,317205.22
pulsenes,20171.798828125,141286.77
pumpkinetc,272.3143310546875,420.60864
rice,1147802.875,5088136.0
rootnes,10.442160606384277,16.936213
rubber,122342.6171875,306103.7
sesame,110931.4140625,573484.3
sorghumfor,0.0,0.0
sorghum,828683.3125,5075550.5
soybean,119996.578125,646405.94
spicenes,980.827880859375,3956.338
stonefruitnes,2.9127063751220703,4.639631
sugarcane,4894.638671875,83912.86
sweetpotato,367800.78125,1506011.9
taro,213207.046875,705589.8
tea,68.4766845703125,68.476685
tobacco,2187.152099609375,8196.618
tomato,65013.8046875,254529.8
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,71996.171875,354833.56
vegfor,251193.109375,814884.56
watermelon,3.073772430419922,4.9648256
wheat,7142.05615234375,50259.1
yam,1650881.875,6162480.5
