Crop,clipped_PA_surf,total_surf
abaca,31569.177734375,135677.88
agave,996.7579956054688,4000.4485
asparagus,35.08500671386719,174.75136
avocado,1279.477783203125,5145.4424
banana,38139.58984375,190407.52
bean,6967.17529296875,40549.35
cabbagefor,0.0,0.0
cabbage,1956.591796875,7861.7935
cashew,7176.99267578125,28467.346
cassava,40923.45703125,212196.22
castor,5.238533973693848,52.28437
chilleetc,1280.6849365234375,5129.743
cocoa,5498.5673828125,29186.56
coconut,507898.78125,3473673.8
coffee,14725.4228515625,112055.05
cotton,1.6068105697631836,7.472148
cowpea,28.134668350219727,240.03424
cucumberetc,477.8903503417969,1913.1514
eggplant,5307.89697265625,21285.098
fibrenes,226.43017578125,912.34314
fornes,16515.431640625,70206.63
fruitnes,41217.57421875,159629.89
garlic,613.5596313476562,2536.978
ginger,960.6043090820312,3848.8525
grapefruitetc,1275.3253173828125,5101.159
grape,88.41027069091797,360.83075
greenbean,726.5599365234375,2924.102
greenpea,396.9647216796875,1729.8307
groundnut,5637.78173828125,23146.676
legumenes,0.0,0.0
lemonlime,122.71675109863281,603.89417
maizefor,0.0,0.0
maize,479050.59375,2524434.8
mango,43111.03125,186398.19
melonetc,246.7262420654297,997.0585
nutnes,568.4786987304688,2463.5671
oilpalm,15348.150390625,64149.324
oilseedfor,0.0,0.0
oilseednes,4029.460693359375,16294.077
onion,4449.36083984375,17649.701
orange,317.70166015625,1342.1139
papaya,1895.8543701171875,7595.6826
pigeonpea,54.29691696166992,438.22552
pineapple,16042.7041015625,64392.652
popcorn,0.0,0.0
potato,4906.59130859375,7244.0664
pulsenes,8843.3271484375,35792.125
pumpkinetc,4759.580078125,18741.031
ramie,568.388671875,2290.1484
rice,681812.0,4596485.5
rootnes,1596.80517578125,6645.5977
rubber,52298.94140625,216513.56
sorghumfor,0.0,0.0
sorghum,19.618045806884766,110.1109
soybean,69.59429168701172,390.37204
sugarcane,77951.3125,391498.06
sweetpotato,11174.521484375,81674.414
tangetc,2097.947265625,8533.562
taro,3668.339599609375,14861.745
tobacco,1414.673095703125,27087.385
tomato,4014.858154296875,16155.931
tropicalnes,78543.3125,351642.34
vegetablenes,29856.84375,136890.9
vegfor,123780.8125,570487.25
watermelon,2092.353515625,8285.265
yam,323.5285949707031,2412.33
