Crop,clipped_PA_surf,total_surf
alfalfa,57095.046875,223571.12
almond,12904.6083984375,48902.914
aniseetc,18189.279296875,69171.08
apple,43046.07421875,165768.61
apricot,33198.6328125,128572.96
artichoke,764.541015625,2964.5056
asparagus,79.952392578125,117.176926
avocado,287.5057373046875,1101.6213
banana,7218.88330078125,10053.041
barley,717084.5625,3032463.0
bean,29576.70703125,102035.18
beetfor,721.5796508789062,2810.1003
berrynes,850.7249145507812,3298.1045
broadbean,931.74658203125,3589.9407
buckwheat,0.06195422261953354,0.09577639
cabbagefor,0.0,0.0
cabbage,7022.603515625,27026.863
canaryseed,1056.1502685546875,4261.0264
carob,240.40542602539062,933.8969
carrotfor,0.0,0.0
carrot,2535.17724609375,9823.971
cauliflower,3442.62060546875,13280.692
cerealnes,76.12403869628906,103.49713
cherry,20408.60546875,78687.46
chestnut,3566.275390625,13833.378
chickpea,148114.5,504037.66
chilleetc,23259.3515625,90361.15
citrusnes,50.29296112060547,122.28203
clover,1.1365485191345215,2.2155123
cotton,114966.625,335690.7
cowpea,0.5089771151542664,0.7759516
cranberry,197.7815399169922,197.78154
cucumberetc,9876.81640625,38161.867
currant,0.09826228022575378,0.09826228
date,912.6494140625,3392.4434
eggplant,6035.3212890625,23408.982
fig,13747.408203125,53288.39
flax,2.0204732418060303,3.1658735
fornes,631.8684692382812,969.6356
fruitnes,7043.10888671875,23896.012
garlic,822.4931030273438,3173.513
grapefruitetc,1268.7642822265625,4947.224
grape,98569.546875,396352.94
grassnes,597.3759765625,971.1444
greenbean,10140.857421875,39365.848
greenbroadbean,1466.83740234375,5657.594
greenonion,2097.40185546875,8130.36
greenpea,2778.399169921875,10760.563
groundnut,25539.875,52516.97
hazelnut,179409.140625,713320.25
hempseed,2.853790521621704,8.672885
hop,0.6527112126350403,0.7324855
kiwi,817.6524658203125,3168.9014
legumenes,54206.3203125,212283.9
lemonlime,11659.892578125,45065.1
lentil,71517.453125,240609.23
lettuce,6057.791015625,23520.854
linseed,52.51957321166992,217.08527
lupin,0.7100785970687866,1.1504307
maizefor,6853.3271484375,26350.543
maize,202779.15625,652585.5
mango,0.5093934535980225,0.63698936
melonetc,19622.234375,76216.22
melonseed,3.049323558807373,4.7593966
millet,444.9730224609375,1815.6447
mixedgrain,2312.520263671875,8998.69
mixedgrass,31.03458023071289,31.03458
mustard,4.490854263305664,4.544345
nutnes,249.84214782714844,879.8665
oats,28942.015625,112169.25
oilseedfor,0.0,0.0
oilseednes,6.382107734680176,6.446553
okra,1987.2418212890625,7684.7974
olive,257837.03125,837302.5
onion,17439.458984375,70007.12
orange,11678.84375,44824.21
peachetc,11784.548828125,45079.18
pear,6719.3681640625,25939.975
pea,138.85313415527344,545.90875
persimmon,0.0,0.0
pimento,1805.5574951171875,7027.2246
pistachio,91230.15625,353260.56
plum,5482.14111328125,21109.664
popcorn,0.0,0.0
poppy,9059.51171875,35220.375
potato,36269.12109375,145383.64
pulsenes,896.9425659179688,3459.1887
pumpkinetc,28751.73828125,111231.64
quince,1992.2138671875,7737.1606
rapeseed,16585.880859375,32724.72
rasberry,1.795548439025879,1.8157551
rice,32308.251953125,118704.84
ryefor,0.0,0.0
rye,22297.1796875,104080.93
safflower,3168.43701171875,12836.517
sesame,6646.92822265625,25750.145
sorghumfor,1.321085810661316,2.065063
sorghum,0.1887834370136261,0.2613275
sourcherry,5226.76806640625,20272.105
soybean,13343.84375,34325.844
spicenes,12362.6337890625,48043.68
spinach,4738.17919921875,18421.715
stonefruitnes,66.7053451538086,264.93326
strawberry,4515.7763671875,17556.41
stringbean,2395.421142578125,9334.414
sugarbeet,77872.6328125,333789.72
sugarcane,13.04980182647705,17.76426
sunflower,144263.515625,700322.8
sweetpotato,0.19055339694023132,0.3127464
tangetc,14960.595703125,58091.953
tea,37176.984375,81917.1
tobacco,18006.296875,74454.35
tomato,46290.63671875,180726.17
triticale,24109.619140625,24643.812
tropicalnes,2097.67822265625,8156.5273
turnipfor,0.0,0.0
vegetablenes,3964.47216796875,14994.987
vegfor,8256.5947265625,31613.531
vetch,457.5396728515625,1621.7001
walnut,35413.5234375,137429.05
watermelon,20259.9765625,78585.6
wheat,1662261.875,6854157.5
