Crop,clipped_PA_surf,total_surf
alfalfa,14236.02734375,50328.5
almond,28.52484893798828,37.098797
aniseetc,0.06281200051307678,0.16682321
apple,8906.26171875,24136.938
apricot,885.3350219726562,2641.2563
asparagus,0.0,0.06598104
avocado,8279.3505859375,18860.715
banana,2288.692138671875,6523.13
barley,81288.515625,138163.1
bean,10641.9189453125,48856.5
berrynes,70.77655792236328,252.93466
buckwheat,197.02279663085938,591.03723
cabbagefor,0.0,0.0
cabbage,991.1143188476562,2948.166
carrotfor,0.0,0.0
carrot,1536.847412109375,7456.603
cashew,27.55857276916504,29.776402
cassava,41.012939453125,43.63411
castor,2962.377197265625,8858.663
cauliflower,243.65478515625,812.9504
cerealnes,6180.08642578125,26350.36
cherry,62.52295684814453,209.55824
chickpea,0.14803269505500793,0.21057671
chicory,577.9505004882812,1722.3607
citrusnes,88.04057312011719,276.05344
coconut,0.7275381684303284,0.8226942
coffee,0.02250514179468155,0.022505142
cotton,13271.912109375,41169.64
cowpea,3051.1728515625,11196.361
cucumberetc,562.998779296875,1676.942
date,2.501969337463379,3.2232354
fibrenes,1013.6400146484375,3023.3005
fig,197.55001831054688,593.8731
fruitnes,1811.2554931640625,5962.195
grapefruitetc,4578.712890625,13436.566
grape,25575.482421875,109972.06
greenbean,1337.8306884765625,4006.1956
greencorn,12178.4853515625,36452.586
greenpea,623.722412109375,1865.1887
groundnut,5220.07177734375,37848.55
hop,121.79878997802734,378.9052
jutelikefiber,348.9586486816406,1033.308
jute,2.7443532943725586,5.6580424
legumenes,0.0,0.0
lemonlime,9446.65625,28260.328
lettuce,712.0580444335938,2122.4934
lupin,3343.253173828125,10000.009
maizefor,0.0,0.0
maize,438885.25,2589117.0
mango,2199.89404296875,4857.0083
melonetc,592.7709350585938,1766.7449
millet,5945.8330078125,12877.87
mixedgrass,111223.109375,353824.62
nutnes,4996.2177734375,14935.098
oats,10748.0966796875,26844.676
oilseedfor,0.0,0.0
oilseednes,2558.43994140625,5630.9873
onion,9698.4052734375,29025.787
orange,15733.0546875,37512.945
papaya,440.40875244140625,1309.3398
peachetc,2697.591064453125,9832.126
pear,4762.49951171875,11931.708
pea,185.606201171875,645.5874
pepper,1.0209585428237915,2.2866006
pimento,2377.385986328125,7103.461
pineapple,3044.7744140625,9065.984
plum,2160.927978515625,6848.1074
popcorn,0.0,0.0
potato,17577.611328125,67519.05
pulsenes,269.46661376953125,759.27496
pumpkinetc,10360.4072265625,31007.904
rapeseed,52536.3125,73904.64
rice,357.10174560546875,1101.5762
rootnes,275.2157897949219,536.2464
ryefor,0.0,0.0
rye,702.04150390625,2089.1677
sesame,3.430175304412842,3.7062435
sisal,652.951904296875,1943.8502
sorghumfor,0.0,0.0
sorghum,9262.8642578125,40597.89
soybean,163480.59375,699718.0
spicenes,0.39204150438308716,0.9012946
strawberry,282.2975769042969,847.7449
sugarcane,136247.78125,282300.78
sunflower,65672.5703125,502443.84
sweetpotato,10385.033203125,30007.432
tangetc,2031.75439453125,6067.4985
tea,610.35986328125,1056.2563
tobacco,2006.102783203125,4904.7334
tomato,4107.83056640625,8629.167
tropicalnes,1.1068696975708008,1.2750632
turnipfor,0.0,0.0
vegetablenes,6270.78271484375,18670.95
vegfor,4569.5751953125,14763.8955
watermelon,1636.6568603515625,4890.3604
wheat,184500.390625,506802.94
yam,193.10940551757812,629.6864
