Crop,clipped_PA_surf,total_surf
almond,4.00985860824585,4.765264
bambara,225.81138610839844,229.59312
banana,854.014892578125,4201.8
bean,22563.35546875,149669.47
cabbagefor,0.0,0.0
cabbage,7.178859710693359,8.669661
carrotfor,0.0,0.0
carrot,4.261727333068848,24.913939
cashew,110063.8125,461266.8
cassava,99277.625,362279.0
castor,265.99468994140625,952.05664
cerealnes,7.620608329772949,65.21176
chickpea,4.927124977111816,29.854836
chilleetc,9673.033203125,39932.9
citrusnes,180.3878173828125,861.607
cocoa,272.20166015625,2179.3828
coconut,2960.651123046875,16682.55
coffee,79.28260040283203,571.8981
cotton,111793.015625,618153.94
cowpea,2036.662109375,6410.577
date,157.0510711669922,557.55164
fonio,2693.49609375,11629.547
fruitnes,9070.703125,36139.934
garlic,0.5273840427398682,0.6188755
ginger,12.616512298583984,94.943954
greenbean,4.54408073425293,5.3258457
greenbroadbean,0.6237237453460693,0.6912617
greencorn,25.527633666992188,181.04991
greenonion,2.9412589073181152,13.317829
groundnut,34219.09765625,180997.02
jutelikefiber,0.06217746436595917,0.5454588
karite,2492.47607421875,8717.533
kolanut,624.597412109375,2334.0918
legumenes,0.0,0.0
lettuce,3.9519147872924805,4.5918083
maizefor,0.0,0.0
maize,255344.234375,1293779.8
mango,1769.609130859375,4503.1133
melonseed,115.89079284667969,734.9423
millet,9145.1083984375,30727.041
nutnes,1466.31201171875,5240.8267
oilpalm,14292.5478515625,40116.37
oilseedfor,0.0,0.0
oilseednes,4993.041015625,5785.07
okra,3831.9306640625,17365.48
onion,3136.829833984375,6288.463
orange,1662.252685546875,6078.546
papaya,19.00011444091797,82.446365
pea,1.1126006841659546,1.2617726
pepper,173.82254028320312,623.43475
pimento,3143.3369140625,12256.551
pineapple,1824.3135986328125,6753.024
plantain,2.5466814041137695,23.233198
popcorn,0.0,0.0
potato,2.9852311611175537,76.826904
pulsenes,9733.7080078125,38490.805
rice,16939.45703125,112533.25
rootnes,0.8210453987121582,8.409181
rubber,350.7854309082031,1727.3079
sesame,3833.9208984375,13794.47
sorghumfor,0.0,0.0
sorghum,27587.849609375,142934.73
soybean,28632.796875,203146.62
spicenes,6.324741840362549,12.787561
sugarcane,635.1669311523438,907.18445
sweetpotato,4775.42041015625,10368.072
taro,384.77880859375,1768.9421
tobacco,14.164166450500488,54.926468
tomato,17726.66015625,77002.31
tropicalnes,1.3667494058609009,1.621192
turnipfor,0.0,0.0
vegetablenes,3303.97802734375,13210.235
vegfor,7898.86083984375,27969.244
wheat,0.0,0.83667904
yam,21007.85546875,239519.22
