Crop,clipped_PA_surf,total_surf
alfalfa,8885.9716796875,55601.88
apple,1006.0985717773438,7483.524
apricot,250.99923706054688,1563.1685
asparagus,4.729779243469238,11.414282
barley,28701.51171875,325030.75
bean,10.742560386657715,36.384064
beetfor,998.2925415039062,7623.629
berrynes,394.04254150390625,1301.9622
blueberry,33.8961181640625,42.658913
broadbean,1302.3248291015625,4954.378
buckwheat,12.16567611694336,64.682884
cabbagefor,0.0,0.0
cabbage,193.27777099609375,1431.7593
carrotfor,0.0,0.0
carrot,119.72564697265625,922.0968
cauliflower,55.87421417236328,397.13068
cerealnes,6992.05908203125,24895.268
cherry,121.06708526611328,877.4613
chickpea,0.08473416417837143,0.09535603
chilleetc,272.51434326171875,1065.486
clover,8271.998046875,53311.355
cucumberetc,57.8681755065918,422.82745
currant,116.67082977294922,850.98474
flax,648.1502685546875,4632.579
fornes,210.58604431152344,618.86304
fruitnes,473.8343505859375,3586.9658
garlic,205.097412109375,1014.8745
gooseberry,181.55287170410156,1367.6509
grape,1846.835693359375,14550.611
grassnes,58.374717712402344,224.76505
greenbean,46.7237434387207,287.04657
greenbroadbean,2.664486885070801,32.99919
greencorn,226.72459411621094,803.2822
greenpea,562.525634765625,2723.3013
hemp,38.839202880859375,246.96121
hop,648.1917724609375,5051.606
legumenes,156.33546447753906,773.7274
lentil,0.0725276917219162,0.07252769
lettuce,148.7687225341797,826.41595
linseed,90.30691528320312,1263.6969
lupin,210.59872436523438,1725.2294
maizefor,11855.626953125,63411.59
maize,12609.296875,87466.586
millet,199.2742919921875,1059.1744
mixedgrain,571.7188720703125,2867.3118
mixedgrass,12203.23046875,64025.11
mustard,3990.108642578125,30672.664
oats,4632.60498046875,37399.97
oilseedfor,592.215576171875,1078.3389
oilseednes,4772.60546875,27574.129
onion,251.44590759277344,1917.8767
peachetc,89.80382537841797,536.0238
pear,102.48796081542969,732.29785
pea,4214.9052734375,32435.816
pimento,602.5170288085938,4645.02
plum,234.9443359375,1667.2134
popcorn,0.0,0.0
poppy,4031.868408203125,30995.387
potato,2379.40380859375,23563.178
pulsenes,4208.5732421875,8670.842
rapeseed,31694.333984375,377474.2
rasberry,5.785369873046875,41.687096
rice,0.03287395089864731,0.22600621
ryefor,0.0,0.0
rye,5466.41015625,30265.79
sorghumfor,0.0,0.0
sorghum,1.7280476093292236,12.212187
sourcherry,172.26132202148438,1330.0222
soybean,884.884765625,12959.685
spinach,67.99931335449219,425.70013
stonefruitnes,0.8368221521377563,4.6165247
strawberry,84.69447326660156,564.339
sugarbeet,4070.728271484375,61997.36
sunflower,1270.275146484375,11042.287
tobacco,0.011860823258757591,0.5219261
tomato,43.361915588378906,311.92392
triticale,6279.373046875,32669.795
tropicalnes,0.0,0.0
turnipfor,118.02363586425781,913.4203
vegetablenes,836.847900390625,6282.333
vegfor,1747.795166015625,10047.249
vetch,24.790252685546875,188.6351
walnut,196.96444702148438,824.09326
watermelon,0.21949663758277893,0.23409636
wheat,96762.3125,806286.75
