Crop,clipped_PA_surf,total_surf
aniseetc,1768.62255859375,5431.1304
avocado,9351.869140625,28610.273
banana,26084.53515625,95212.65
barley,306403.875,898590.44
bean,95879.0703125,313165.06
broadbean,138567.734375,483075.3
cabbagefor,0.0,0.0
cabbage,13939.4345703125,42468.098
carrotfor,0.0,0.0
carrot,3227.84912109375,7057.19
cashew,12.176839828491211,19.50283
cassava,5.276791572570801,17.002005
castor,1833.633544921875,5575.917
cerealnes,895039.3125,2838453.5
chickpea,47575.20703125,221274.36
chilleetc,7231.794921875,9630.788
citrusnes,146.00289916992188,445.10358
clove,1.3116679191589355,2.0786242
coconut,3.042872190475464,9.202592
coffee,197954.859375,836691.2
cotton,19646.623046875,81888.734
cowpea,54.091217041015625,285.34915
cucumberetc,51.959293365478516,70.39011
date,18.797103881835938,30.85187
eggplant,6.7861328125,10.787537
fibrenes,98454.34375,310507.84
fornes,53.463226318359375,93.049774
fruitnes,4596.1650390625,13993.524
garlic,4942.3603515625,15116.565
ginger,1067.36962890625,3277.5083
grapefruitetc,8.402724266052246,12.755296
grape,775.227783203125,2371.2798
greenbean,546.6392211914062,1646.0325
greenbroadbean,107.63184356689453,342.94162
greenonion,953.1109619140625,2915.231
greenpea,153.99462890625,494.63452
groundnut,30597.435546875,112527.49
jutelikefiber,456.9453125,1397.189
legumenes,0.0,0.0
lemonlime,491.60980224609375,1456.5912
lentil,15298.705078125,85075.3
lettuce,390.3658752441406,1200.641
linseed,29804.796875,78454.71
maizefor,0.0,0.0
maize,671779.3125,2363070.2
mango,7148.62109375,21762.127
melonetc,0.612314760684967,0.8642666
millet,81468.171875,475972.22
mustard,1367.881591796875,4184.9644
nutmeg,120.74907684326172,390.58615
nutnes,19023.494140625,58209.355
oats,7137.4365234375,20232.992
oilseedfor,0.0,0.0
oilseednes,64723.68359375,186736.92
okra,1.0215400457382202,1.5973287
onion,12158.1103515625,37016.906
orange,1631.26220703125,4945.0195
papaya,1713.1201171875,5227.7617
peachetc,14.216861724853516,19.356245
pear,0.10965698212385178,0.13689578
pea,60018.6796875,214347.16
pepper,2061.594482421875,6327.1753
pigeonpea,0.7015812993049622,2.3802845
pimento,68545.1015625,216004.39
pineapple,561.798095703125,734.70386
plantain,0.31129997968673706,1.775099
plum,0.09946751594543457,0.13410163
popcorn,0.0,0.0
potato,35214.58984375,85142.23
pulsenes,32324.1796875,97664.91
pumpkinetc,1.3485130071640015,2.4345572
pyrethrum,3.3194093704223633,4.8063107
rapeseed,3272.0576171875,8370.6875
rice,18634.619140625,61888.586
rootnes,85685.5390625,267470.25
safflower,2741.25048828125,8335.792
sesame,113046.9765625,342065.53
sisal,321.693115234375,957.3994
sorghumfor,0.0,0.0
sorghum,388087.78125,1812753.8
soybean,19999.458984375,81333.016
spicenes,77261.921875,257517.0
spinach,5.706579208374023,9.048372
sugarcane,12416.71875,28853.06
sunflower,1383.677490234375,5413.258
sweetpotato,17099.75,63444.01
tangetc,1255.1370849609375,3595.0457
tea,5622.01171875,9845.856
tobacco,735.3623657226562,3324.6924
tomato,2123.31689453125,6408.7344
tropicalnes,1997.719482421875,6103.438
turnipfor,0.0,0.0
vegetablenes,43724.88671875,136618.27
vegfor,65076.4296875,210735.31
vetch,41042.6015625,137930.12
watermelon,18.41847038269043,28.707838
wheat,668594.5625,1823664.2
yam,1283.4742431640625,5763.412
