Crop,clipped_PA_surf,total_surf
apple,69.86778259277344,653.7635
apricot,0.0,0.20797503
barley,38300.703125,398013.22
beetfor,0.0,0.0
berrynes,35.3526611328125,338.29117
broadbean,0.0,3138.6116
cabbagefor,0.0,0.0
cabbage,88.8758316040039,817.88135
carrotfor,0.0,0.0
carrot,187.12474060058594,1712.1287
cauliflower,58.93678283691406,550.6152
cerealnes,0.020049959421157837,545.17847
cherry,0.0,0.24933766
cucumberetc,24.291080474853516,235.86848
currant,207.7269744873047,1900.4755
fornes,0.7263209819793701,22.818455
fruitnes,0.0,0.34795967
garlic,0.0,29.68077
gooseberry,0.5222089886665344,15.161213
grape,0.03217414394021034,1.0989467
greenbean,0.6913468837738037,29.007036
greenpea,539.9213256835938,4935.171
jutelikefiber,0.011461122892796993,0.22832759
legumenes,0.0,0.0
linseed,0.42579415440559387,321.56476
maizefor,1.7231254577636719,54.1361
maize,64002.7734375,345534.66
mixedgrain,1759.8956298828125,16256.281
mixedgrass,7973.7998046875,62849.65
mustard,0.08175428956747055,2.1416464
oats,21743.3828125,292840.8
onion,131.4054412841797,1204.7948
peachetc,0.0,0.06099537
pear,0.0,27.958405
pea,2010.3726806640625,18375.271
plum,0.01906714402139187,0.7398747
popcorn,0.0,0.0
potato,1776.5084228515625,20922.709
rapeseed,1485.116455078125,24736.05
rasberry,38.125518798828125,360.60587
rice,9.302425384521484,13.027851
ryefor,0.0,0.0
rye,1127.5909423828125,14368.47
sorghumfor,0.0,0.0
sorghum,0.0,0.040235568
sourcherry,0.018396053463220596,0.7660288
soybean,253.34523010253906,595.9455
strawberry,487.5997009277344,4458.344
sugarbeet,176.7060089111328,10743.901
sunflower,239.87860107421875,970.33044
swedefor,2611.349853515625,24398.15
tomato,8.704312324523926,100.15939
triticale,0.667262077331543,52.137047
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,197.31793212890625,1804.8666
vegfor,187.35183715820312,9510.727
vetch,0.0,0.14036264
walnut,0.0,0.11740649
watermelon,0.0,0.37597618
wheat,8437.1591796875,200564.77
