Crop,clipped_PA_surf,total_surf
banana,0.0,18.100712
cashew,438.059326171875,1702.0504
cassava,2558.9931640625,4554.2827
cerealnes,602.1202392578125,2719.0728
coconut,2.584925413131714,12.2640705
cotton,462.9079284667969,2057.5234
cowpea,297.9848937988281,576.79803
fruitnes,1596.3333740234375,2590.6667
greenbean,8.820645332336426,18.55692
groundnut,41685.1875,139479.38
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,13190.1318359375,46339.914
mango,231.4759521484375,437.6853
melonseed,69.14248657226562,146.73811
millet,39407.57421875,120266.27
nutnes,16.476547241210938,35.88794
oilpalm,1147.1673583984375,4020.3896
onion,75.98603820800781,142.17795
orange,30.67892837524414,54.90666
pimento,29.8720760345459,70.211655
popcorn,0.0,0.0
potato,0.6823998689651489,3.0895438
pulsenes,3060.977294921875,11377.7295
rice,23320.51171875,87867.97
sesame,855.3765869140625,2566.4634
sorghumfor,0.0,0.0
sorghum,4126.03515625,39782.188
sugarcane,6.413095474243164,31.359058
sweetpotato,9.733865737915039,12.979838
tomato,2.337416410446167,10.768258
tropicalnes,9.10896110534668,16.053648
vegetablenes,573.1538696289062,1377.0109
vegfor,967.1942138671875,2659.9663
