Crop,clipped_PA_surf,total_surf
alfalfa,210.06787109375,537.89746
almond,6996.818359375,23963.527
aniseetc,149.14642333984375,458.01944
apple,4312.29052734375,13959.976
apricot,3580.015625,11284.257
artichoke,332.8177490234375,1055.9015
asparagus,616.5326538085938,1993.7655
avocado,323.0986328125,1029.5718
banana,32.97043991088867,98.60785
barley,38812.59765625,133023.84
bean,2710.82177734375,9041.051
beetfor,2.6044845581054688,5.1186776
berrynes,11.814920425415039,43.269905
broadbean,559.7351684570312,2433.5789
cabbagefor,0.0,0.0
cabbage,935.0515747070312,2981.88
carob,3260.517822265625,10477.109
carrotfor,0.0,0.0
carrot,301.89056396484375,952.2926
cauliflower,838.3355102539062,2659.6294
cerealnes,42.78448486328125,71.326256
cherry,5975.88427734375,18978.66
chestnut,3090.134765625,9805.636
chickpea,658.3671264648438,2504.8843
chilleetc,1059.9351806640625,3315.7852
citrusnes,268.71405029296875,851.3733
clover,6.220619201660156,10.602116
cotton,67235.1171875,250185.4
cowpea,4.923874855041504,11.335385
cucumberetc,607.5888061523438,1911.1614
currant,16.400245666503906,28.798704
date,0.23797979950904846,1.2540262
eggplant,487.181640625,1542.1338
fig,1414.18994140625,4599.923
flax,50.73487091064453,162.46469
fruitnes,1305.87353515625,4169.9805
garlic,306.21551513671875,962.44586
grapefruitetc,51.753822326660156,165.80846
grape,28714.96484375,95085.19
grassnes,16494.20703125,53860.71
greenbean,1247.842041015625,3937.0354
greenbroadbean,330.55126953125,1043.8036
greencorn,10233.984375,40067.15
greenonion,310.803466796875,981.21136
greenpea,418.3919677734375,1318.4137
groundnut,109.92395782470703,719.9469
hazelnut,252.53143310546875,883.5746
hempseed,0.0,0.024628358
hemp,0.0,0.0
hop,3.8599514961242676,7.3591595
kiwi,3222.02734375,10158.847
legumenes,16303.001953125,53387.85
lemonlime,1296.586181640625,4195.7783
lentil,853.28173828125,3211.3828
lettuce,1171.750732421875,3702.9502
linseed,4.594682693481445,27.025867
lupin,2446.3271484375,12824.877
maizefor,1906.60205078125,5968.906
maize,34077.5546875,108029.19
melonetc,1128.6328125,3607.688
melonseed,449.77545166015625,1419.8539
millet,13.104565620422363,40.169254
mixedgrain,355.7369079589844,1124.4346
mustard,1.82145357131958,3.0497656
nutnes,737.9100341796875,1406.6794
oats,7429.6357421875,38929.688
oilseedfor,0.0,0.0
oilseednes,173.6025848388672,289.41046
okra,0.5484832525253296,2.7715278
olive,232344.390625,728328.9
onion,1522.9793701171875,4829.492
orange,8807.9033203125,30075.506
peachetc,12818.2890625,43832.15
pear,1710.23828125,5454.111
pea,2714.89404296875,12378.986
pimento,18.265113830566406,63.531303
pistachio,1509.588623046875,4851.21
plum,637.2813720703125,1878.0032
popcorn,0.0,0.0
poppy,3.2388217449188232,15.351983
potato,6783.14111328125,10766.37
pulsenes,25068.1875,78319.88
pumpkinetc,739.5260009765625,2364.8193
quince,238.99151611328125,752.796
rapeseed,1993.478515625,5814.556
rasberry,0.6203487515449524,1.0289304
rice,6720.0126953125,36535.527
ryefor,0.0,0.0
rye,2289.491943359375,4859.001
sesame,40.06977462768555,133.26675
sorghumfor,194.60293579101562,614.8269
sorghum,463.3889465332031,1689.074
sourcherry,48.37914276123047,150.20227
soybean,155.69192504882812,335.22266
spicenes,7.865883827209473,25.617538
spinach,2035.638671875,6418.67
stonefruitnes,267.2972412109375,843.5468
strawberry,488.6072998046875,1530.8433
stringbean,0.6715884208679199,3.2931585
sugarbeet,717.3093872070312,1409.0938
sunflower,24415.96484375,97269.26
sweetpotato,53.90637969970703,155.2763
tangetc,2989.171875,9465.396
tea,0.0,3.929241
tobacco,4741.89794921875,12285.674
tomato,4737.6806640625,16181.713
triticale,638.4401245117188,638.4401
tropicalnes,0.5855917930603027,3.0536494
turnipfor,0.0,0.0
vegetablenes,949.5579833984375,2980.3525
vegfor,347.8521728515625,1150.7545
vetch,1522.4942626953125,4762.95
walnut,5989.2802734375,19449.947
watermelon,2707.939208984375,8860.787
wheat,97210.3125,355420.28
