Crop,clipped_PA_surf,total_surf
almond,0.37989506125450134,7.2587414
aniseetc,284748.71875,1427700.1
apple,108277.0546875,279349.3
apricot,915.9694213867188,4894.041
areca,171508.171875,497479.5
asparagus,0.615118682384491,1.0284303
banana,356830.65625,861131.56
barley,75393.90625,606017.56
bean,1186049.25,12638898.0
beetfor,0.0,0.0
berrynes,40.832698822021484,106.723114
broadbean,12.146289825439453,18.815786
buckwheat,198.27430725097656,279.3784
cabbagefor,0.0,0.0
cabbage,89123.6953125,363752.1
carrotfor,0.0,0.0
carrot,8875.8076171875,33850.64
cashew,229120.984375,1080958.5
cassava,60137.9375,163731.64
castor,57999.48046875,795801.3
cauliflower,91097.6484375,402233.78
cerealnes,86.31999206542969,114.74256
cherry,579.104248046875,3344.0652
chestnut,0.1864311397075653,0.33605576
chickpea,1125619.25,10538620.0
chilleetc,2372.4267578125,8186.1343
cinnamon,0.04282251000404358,0.077546895
citrusnes,12480.1513671875,61405.344
cocoa,30600.248046875,95352.43
coconut,1125697.75,2104207.8
coffee,143034.375,451742.8
cotton,1088908.75,12405987.0
cowpea,5.8035125732421875,13.830528
cucumberetc,6924.79052734375,26198.957
date,2.824584722518921,115.213585
eggplant,178480.28125,703528.9
fibrenes,13.673439979553223,38.806156
fig,1016.2875366210938,5507.5083
flax,0.1753537654876709,0.3060552
fornes,445269.09375,2255265.8
fruitnes,233708.40625,1222306.8
garlic,84059.9140625,337662.06
ginger,83453.375,160522.69
grapefruitetc,1052.720947265625,5748.6973
grape,26287.228515625,132368.5
grassnes,203.39144897460938,402.36145
greenbean,57410.34765625,217822.6
greenpea,139978.96875,533771.75
groundnut,855581.8125,5973791.0
hempseed,0.0,0.0
hop,0.0,0.0
jutelikefiber,23101.408203125,98143.62
jute,124633.6875,593881.44
legumenes,0.0,0.0
lemonlime,84036.8984375,295623.0
lentil,164099.34375,1318166.8
lettuce,44620.58984375,169220.44
linseed,15096.73828125,191411.19
maizefor,0.0,0.0
maize,1952399.375,9133705.0
mango,482023.03125,2473222.8
melonetc,14819.6904296875,55364.723
melonseed,0.033692050725221634,0.061029688
millet,1838714.25,9055092.0
mustard,3107.443359375,6767.49
nutmeg,18890.0234375,99794.87
nutnes,1.8848179578781128,11.450619
oats,3.0865542888641357,5.217335
oilpalm,8632.5810546875,18793.463
oilseedfor,0.0,0.0
oilseednes,27128.3203125,141956.02
okra,100694.953125,497399.44
onion,279692.28125,1347884.1
orange,130209.6015625,615846.5
papaya,49153.86328125,135729.19
peachetc,7205.0791015625,36612.875
pear,8076.10498046875,41006.754
pea,134934.9375,584701.06
pepper,56670.4609375,129581.766
pigeonpea,487589.59375,4851414.0
pimento,150755.734375,830514.75
pineapple,50369.28125,101652.11
pistachio,0.0,0.0
plantain,9.131845474243164,29.109093
plum,5376.97412109375,27147.871
popcorn,0.0,0.0
potato,428486.1875,2041073.5
pulsenes,390195.40625,2174613.0
pumpkinetc,130935.9140625,508637.6
ramie,0.17668427526950836,0.30837816
rapeseed,1185413.5,7116437.5
rice,8858080.0,43341132.0
rootnes,486.100341796875,1035.3425
rubber,201358.71875,414226.22
ryefor,0.0,0.0
rye,4.263463973999023,7.217512
safflower,6138.4599609375,82692.18
sesame,150271.34375,1427624.4
sisal,0.0,0.0
sorghumfor,0.0,0.0
sorghum,868717.875,5213853.0
soybean,2026679.875,10755364.0
spicenes,132864.109375,741592.9
spinach,38.900333404541016,120.97014
sugarbeet,0.2280338555574417,4.337049
sugarcane,1072077.5,4688395.0
sugarnes,113.90599060058594,313.98492
sunflower,78358.6328125,313704.84
sweetpotato,31768.248046875,113235.195
tangetc,30.84381866455078,162.44019
taro,0.1342853307723999,0.2491123
tea,348439.59375,603297.56
tobacco,98359.4453125,439841.34
tomato,213246.734375,648220.1
triticale,1.3256138563156128,2.2513664
tropicalnes,90200.5390625,436868.78
tung,0.2476436197757721,0.4368259
turnipfor,0.0,0.0
vegetablenes,278774.46875,1303612.5
vegfor,627026.5625,2761393.8
walnut,5377.4296875,28243.596
watermelon,27632.140625,100542.47
wheat,2093029.0,28332858.0
yam,524.7069091796875,1032.2808
