Crop,clipped_PA_surf,total_surf
avocado,122.03807067871094,377.3981
banana,2604.186279296875,7520.753
bean,31.837791442871094,113.180176
broadbean,63.98063659667969,197.84552
cabbagefor,0.0,0.0
cabbage,660.97509765625,2023.3188
carrotfor,0.0,0.0
carrot,554.189453125,1689.4772
cassava,397.0185852050781,1450.9901
cauliflower,54.971160888671875,169.93948
chilleetc,403.64642333984375,1247.8142
cocoa,239.58987426757812,1007.9159
coconut,3804.39599609375,14513.304
coffee,2321.50537109375,10089.688
cowpea,76.91292572021484,278.78333
cucumberetc,352.42547607421875,1088.577
eggplant,9.923662185668945,30.696335
fruitnes,0.0,0.0
ginger,84.11492919921875,260.04544
grapefruitetc,607.9188232421875,1753.2825
greencorn,16.57991600036621,51.958702
greenonion,204.5233154296875,627.6908
groundnut,467.72857666015625,1703.6442
legumenes,0.0,0.0
lemonlime,556.23291015625,1622.8584
lettuce,325.711181640625,1006.8133
maizefor,0.0,0.0
maize,515.746826171875,1807.7019
mango,167.96389770507812,519.39844
onion,44.50587844848633,137.60593
orange,2660.748779296875,6921.0957
papaya,158.01129150390625,488.55457
pea,276.70782470703125,827.65137
pigeonpea,121.54564666748047,441.74707
pimento,558.5035400390625,1653.8976
pineapple,674.2987060546875,2080.3306
plantain,680.6903076171875,2227.338
popcorn,0.0,0.0
potato,554.7900390625,943.1555
pumpkinetc,1009.4860229492188,3009.3154
rice,2.3494181632995605,9.989586
rootnes,460.5910339355469,1419.558
sisal,187.19944763183594,578.8417
spicenes,51.768310546875,160.08154
spinach,321.0542907714844,963.8764
stringbean,183.82986450195312,568.3668
sugarcane,3754.3134765625,11540.609
sweetpotato,795.292724609375,2852.5894
tangetc,365.0832214355469,1109.5259
tobacco,223.54287719726562,764.5147
tomato,440.6221618652344,1360.0591
tropicalnes,962.0955810546875,2576.791
turnipfor,0.0,0.0
vegetablenes,410.4287414550781,1255.9407
vegfor,662.4954833984375,1811.8684
watermelon,220.29544067382812,680.9464
yam,2564.9296875,9470.732
