Crop,clipped_PA_surf,total_surf
almond,28.213899612426758,78.42038
aniseetc,20.24955177307129,101.53998
apple,10710.462890625,37227.086
apricot,1399.480224609375,4382.835
areca,1.9650654792785645,7.0514417
artichoke,1.9099476337432861,11.322788
asparagus,1.3627732992172241,5.205801
barley,485892.6875,2377061.2
bean,19633.4609375,116474.39
beetfor,0.0,0.0
berrynes,321.63934326171875,1188.0758
blueberry,0.026178237050771713,0.1304224
broadbean,14.243541717529297,49.24111
buckwheat,11352.884765625,56879.227
cabbagefor,0.0,0.0
cabbage,5977.27490234375,21245.975
carrotfor,0.0,0.0
carrot,5955.58056640625,20739.105
cashew,0.0,0.15375163
cassava,9.443075180053711,31.656828
castor,10.2913818359375,34.742516
cauliflower,6.839596271514893,24.538635
cerealnes,42655.828125,216890.23
cherry,288.4088134765625,948.5718
chestnut,6.609935760498047,27.78823
chickpea,1719.3489990234375,12643.947
chilleetc,2662.556884765625,9137.716
cinnamon,1.314619779586792,5.0470877
citrusnes,6.941007137298584,24.684803
coconut,0.751221239566803,2.8862717
coffee,0.088846854865551,0.8096151
cotton,15512.0244140625,132237.23
cucumberetc,6386.8583984375,22237.148
currant,6.450122833251953,36.041496
eggplant,1407.43408203125,4862.917
fig,0.031219499185681343,0.15247215
flax,48.88808059692383,1167.6234
fornes,1065.1337890625,4667.425
fruitnes,80.58457946777344,1314.6255
garlic,476.8949890136719,1450.1045
ginger,0.6547021269798279,2.96713
gooseberry,0.7316522598266602,5.004802
grapefruitetc,1.635001540184021,6.431668
grape,4431.61279296875,14002.913
greenbean,349.9469299316406,1190.8147
greenbroadbean,164.07725524902344,539.1902
greenonion,0.0,26.626183
greenpea,52.30388259887695,363.9241
groundnut,1.5727136135101318,18.217485
hazelnut,15.341617584228516,44.717022
hempseed,1.8814637660980225,10.344592
hemp,2.724034070968628,13.761952
hop,0.1623620092868805,1.1664064
jutelikefiber,11.322907447814941,56.24786
jute,1.6441636085510254,5.103367
legumenes,0.0,0.0
lemonlime,1.7647578716278076,7.239164
lentil,3724.9296875,33616.137
lettuce,0.4464329481124878,2.114584
linseed,167107.140625,818608.44
lupin,19.651470184326172,87.53865
maizefor,20700.8984375,106267.28
maize,28271.205078125,167121.7
mango,0.04232585057616234,0.37315887
melonetc,7630.375,39486.08
melonseed,0.9677069783210754,3.7280731
millet,12058.3369140625,47991.016
mixedgrass,97752.640625,535720.1
mushroom,0.0,0.0
mustard,3326.077392578125,16875.46
nutnes,59.840911865234375,364.42816
oats,43919.640625,231841.47
oilpalm,1.6492724418640137,5.7831755
oilseedfor,0.0,0.0
oilseednes,9120.4150390625,31737.81
olive,0.034357018768787384,0.19395876
onion,9592.1279296875,33952.63
orange,11.52087688446045,41.167274
peachetc,307.9230651855469,910.4661
pear,677.5748291015625,2117.8975
pea,18870.546875,95658.82
pepper,0.6823165416717529,3.0772808
persimmon,0.07116611301898956,0.6626293
pimento,6.871811866760254,42.751907
pineapple,0.0,0.0
pistachio,2.4267945289611816,8.954727
plum,628.0442504882812,1963.367
popcorn,0.0,0.0
potato,37304.30859375,195608.14
pulsenes,128.8773956298828,377.76703
pumpkinetc,0.8449909687042236,3.0197449
quince,55.014461517333984,191.14299
ramie,3.9464111328125,13.514604
rapeseed,42965.53125,119027.5
rasberry,4.107552528381348,17.612877
rice,10562.4208984375,99532.625
rubber,17.68610382080078,64.14673
ryefor,0.0,0.0
rye,5513.52587890625,27290.027
safflower,61032.50390625,308500.3
sesame,11.816492080688477,38.969303
sisal,0.069576196372509,0.69610554
sorghumfor,0.0,0.0
sorghum,981.814453125,5195.0464
sourcherry,12.30621337890625,54.944332
soybean,36221.46875,115371.695
spicenes,1.0798178911209106,4.2692385
spinach,0.6345463395118713,2.675036
strawberry,414.87237548828125,1148.6898
sugarbeet,2976.748779296875,14360.498
sunflower,179649.203125,768372.1
sweetpotato,11.573869705200195,24.740467
tangetc,40.7788200378418,145.45508
taro,3.5485551357269287,12.607604
tea,36.05230712890625,116.20516
tobacco,197.72442626953125,367.2805
tomato,8528.2666015625,30111.082
triticale,1.0481690168380737,3.5820513
tropicalnes,0.07656220346689224,0.7511875
tung,5.509253025054932,19.557154
turnipfor,0.0,0.0
vegetablenes,2431.264892578125,8629.029
vegfor,3104.885986328125,16975.777
vetch,84.855224609375,383.31653
walnut,143.4853057861328,796.3434
watermelon,14125.87109375,49765.6
wheat,1606343.0,12340869.0
