Crop,clipped_PA_surf,total_surf
agave,2580.89013671875,15547.312
alfalfa,21644.876953125,142308.12
almond,0.2621194124221802,33.732777
aniseetc,108.9041748046875,6588.3096
apple,8502.595703125,54794.92
apricot,20.617855072021484,204.37183
artichoke,54.855262756347656,265.1281
asparagus,3537.790771484375,30486.09
avocado,45560.91015625,208775.61
banana,20732.81640625,74328.22
barley,55643.4375,274018.28
bean,292830.09375,1535233.9
beetfor,0.0,0.0
berrynes,2654.701904296875,8270.063
blueberry,355.1863098144531,4552.3984
broadbean,4821.14111328125,23118.025
buckwheat,0.16394996643066406,1.0814381
cabbagefor,0.0,0.0
cabbage,997.9302978515625,7348.4653
canaryseed,0.5153450965881348,1.8506852
carob,0.8976147174835205,84.45462
carrotfor,0.0,0.0
carrot,2083.149169921875,12088.0205
cashew,181.07899475097656,1568.918
cassava,331.07769775390625,1965.8965
castor,248.7291717529297,986.4682
cauliflower,3330.56005859375,33830.523
cherry,1.3647152185440063,48.179115
chickpea,8068.89453125,62775.367
chilleetc,36344.91015625,153837.64
citrusnes,16967.412109375,65446.758
clover,10.935944557189941,44.66332
cocoa,6460.18408203125,59581.31
coconut,57642.98046875,120900.22
coffee,278546.125,633409.2
cotton,10182.244140625,145285.52
cowpea,3.653775930404663,70.92129
cranberry,0.032112814486026764,0.15053354
cucumberetc,4386.421875,15719.761
date,198.7632598876953,2961.7085
eggplant,211.3209686279297,1712.4928
fig,272.9307556152344,1808.4271
fornes,5656.73193359375,21722.498
fruitnes,13727.8505859375,69787.445
garlic,390.32867431640625,6804.7915
grapefruitetc,3445.57177734375,19691.432
grape,2243.126220703125,33754.047
grassnes,72018.2890625,288476.25
greenbean,1346.2000732421875,10354.882
greenbroadbean,2639.39208984375,8284.992
greencorn,14002.16015625,67874.84
greenonion,2378.03369140625,9135.852
greenpea,3375.65771484375,12950.031
groundnut,12803.978515625,57608.54
jutelikefiber,0.3742600381374359,1.5762564
legumenes,0.0,0.0
lemonlime,41458.82421875,177680.83
lentil,845.9778442382812,9021.493
lettuce,3862.15771484375,25650.148
linseed,0.0,7.785681
maizefor,19749.40234375,141926.86
maize,1583315.875,6081975.5
mango,51003.890625,202280.03
melonetc,2556.84765625,18923.67
melonseed,14.521646499633789,24.52069
millet,4.730550765991211,23.52745
mixedgrass,757.9154663085938,3863.784
nutmeg,55.47880554199219,213.51038
nutnes,16721.22265625,64317.14
oats,4855.18603515625,29578.12
oilpalm,34042.5703125,100202.46
okra,204.78921508789062,4214.689
olive,436.0970458984375,8030.5654
onion,5593.27294921875,48527.137
orange,47051.859375,302299.22
papaya,4040.8447265625,18785.031
peachetc,4673.30615234375,26136.064
pear,766.9857788085938,3676.293
pea,453.0428771972656,1812.0198
pepper,949.2376708984375,3676.3264
persimmon,0.3936208188533783,13.981123
pimento,280.46734619140625,2823.851
pineapple,5182.7763671875,24430.486
pistachio,17.117490768432617,275.14774
plantain,47.426544189453125,231.85626
plum,2854.45458984375,15985.013
popcorn,0.0,0.0
potato,23707.302734375,60159.883
pulsenes,56.161197662353516,227.77742
pumpkinetc,5125.0595703125,33808.453
quince,79.04496765136719,677.44196
rapeseed,155.7916717529297,3062.2148
rasberry,702.4407958984375,7731.123
rice,12390.2109375,46887.51
rootnes,2014.457275390625,7746.4873
rubber,6585.96630859375,31312.361
ryefor,2880.64013671875,15952.744
rye,2.709491014480591,34.09126
safflower,3636.63232421875,46918.098
sesame,16936.130859375,76492.05
sisal,2330.4267578125,9025.565
sorghumfor,14326.6865234375,91757.836
sorghum,237557.359375,1488349.8
soybean,85639.9765625,152033.42
spicenes,127.48123931884766,553.058
spinach,507.8665771484375,3100.8428
strawberry,3267.853759765625,12929.109
stringbean,3126.659423828125,11987.148
sugarbeet,94.18989562988281,190.32085
sugarcane,177249.71875,699336.06
sunflower,834.3418579101562,6078.5107
sweetpotato,862.4016723632812,3742.47
tangetc,5063.20849609375,34952.504
tea,1.6828458309173584,2.4334424
tobacco,4761.77001953125,6462.9937
tomato,13939.24609375,81730.766
triticale,4495.58203125,8603.3545
tropicalnes,7446.5439453125,42851.016
turnipfor,51.747013092041016,655.66284
vanilla,484.5705871582031,1051.2999
vegetablenes,12155.134765625,46704.95
vegfor,23689.787109375,102111.016
vetch,2330.914306640625,8941.661
walnut,20687.189453125,92518.86
watermelon,5686.13525390625,38642.29
wheat,45135.03125,551091.4
yam,2267.5830078125,7684.694
yautia,97.2246322631836,525.03845
