Crop,clipped_PA_surf,total_surf
abaca,0.0,0.028751902
areca,7.154481887817383,20.348022
asparagus,0.3449251651763916,0.6704722
avocado,8.020976066589355,22.350412
banana,3941.468017578125,21865.969
barley,0.6916019320487976,0.91260254
bean,33.30498504638672,44.43243
cabbagefor,0.0,0.0
cabbage,670.0439453125,2949.3765
canaryseed,19.828933715820312,38.873886
carrotfor,0.0,0.0
carrot,3.751757860183716,10.700633
cashew,1636.087890625,7293.9077
cassava,262.49224853515625,2647.6636
castor,5.822195053100586,12.370073
cauliflower,0.7273227572441101,1.1494896
cerealnes,20.152080535888672,39.583763
chilleetc,344.1261291503906,940.56024
cinnamon,14.928829193115234,41.8337
citrusnes,181.23960876464844,807.59515
clove,179.8958740234375,718.3336
cocoa,1162.4732666015625,6272.1836
coconut,12105.6396484375,74773.06
coffee,351.1247253417969,1883.871
cotton,0.7693659663200378,2.4413512
cucumberetc,1051.8314208984375,4655.09
eggplant,8.788910865783691,23.03219
fibrenes,0.2066192924976349,0.38283658
fornes,8.96422290802002,16.25245
fruitnes,3068.207275390625,13674.735
garlic,6.620285987854004,13.824336
ginger,191.9203338623047,857.0611
grapefruitetc,195.6232147216797,876.23267
grape,1.1307965517044067,2.1487823
greenbean,39.564605712890625,77.18312
greencorn,26.843090057373047,65.18456
greenpea,0.22206547856330872,0.30229166
groundnut,14.152273178100586,109.2947
jutelikefiber,9.600828170776367,18.54941
jute,0.2651192545890808,0.34037367
kapokfiber,91.15237426757812,214.03323
kapokseed,68.23072052001953,166.7832
legumenes,0.0,0.0
lemonlime,428.8735046386719,1896.7253
lettuce,1107.3372802734375,1422.3447
maizefor,0.0,0.0
maize,1370.770751953125,8465.798
mango,1488.8577880859375,6447.5444
nutmeg,2.360581398010254,22.729683
nutnes,21.70028305053711,57.463425
oilpalm,532705.375,5193456.0
oilseedfor,0.0,0.0
oilseednes,35181.66015625,153478.39
onion,18.752519607543945,50.428303
orange,263.13525390625,1159.7603
papaya,523.6495971679688,2388.1016
pepper,1789.3466796875,8119.49
pimento,368.9358825683594,1648.0652
pineapple,689.9764404296875,10290.656
popcorn,0.0,0.0
pulsenes,25.749574661254883,48.913937
pumpkinetc,353.2521667480469,1553.2036
rice,106031.3203125,642653.06
rootnes,161.56480407714844,715.0619
rubber,216619.015625,940106.5
sesame,14.709607124328613,25.91219
sorghumfor,0.0,0.0
sorghum,7.57587194442749,9.969321
soybean,2.1648616790771484,5.550289
spicenes,9.92495059967041,24.17073
spinach,600.572509765625,1637.8691
sugarcane,798.9131469726562,2820.584
sugarnes,14.556775093078613,40.447598
sunflower,2.380452871322632,3.1325784
sweetpotato,207.51742553710938,2889.06
tangetc,6.377941608428955,10.622608
taro,2.5045318603515625,4.752212
tea,1579.7100830078125,1882.6272
tobacco,202.30108642578125,1291.2289
tomato,419.25091552734375,1830.5663
tropicalnes,3798.4091796875,16914.832
turnipfor,0.0,0.0
vanilla,1.4696983098983765,4.4647293
vegetablenes,3865.055908203125,17288.62
vegfor,6248.291015625,28432.441
watermelon,2035.95166015625,12489.461
wheat,0.06358245015144348,0.09063346
yam,69.17945861816406,173.67691
