Crop,clipped_PA_surf,total_surf
alfalfa,2085.46484375,23971.8
apple,964.07568359375,10508.572
apricot,49.503379821777344,567.58795
asparagus,112.34603118896484,1286.5421
avocado,230.86517333984375,2642.35
barley,3240.386474609375,31329.178
beetfor,1628.052734375,17860.486
berrynes,19.46415138244629,224.64006
blueberry,33.73218536376953,387.32037
cabbagefor,1492.44775390625,16275.67
cabbage,81.3907470703125,933.3067
carrotfor,0.0,0.0
carrot,155.31044006347656,1776.5548
cauliflower,146.33058166503906,1675.7527
cerealnes,251.3275604248047,2872.621
cherry,52.077537536621094,597.3068
chilleetc,7.602081775665283,87.721886
citrusnes,69.49852752685547,796.7669
currant,66.44329071044922,761.70355
fibrenes,530.6107788085938,5909.421
fornes,2152.403564453125,24853.695
fruitnes,86.42173767089844,990.87744
garlic,20.49908447265625,236.7563
grapefruitetc,5.051638603210449,58.00501
grape,1297.7305908203125,14158.251
greenbean,72.54495239257812,831.63324
greenbroadbean,10.449418067932129,120.7282
greencorn,458.34100341796875,5058.007
greenonion,493.5112609863281,5485.4927
greenpea,648.49560546875,7078.425
hop,29.636972427368164,340.28714
kiwi,1000.7299194335938,10922.407
legumenes,0.0,0.0
lemonlime,26.8743953704834,308.88095
lentil,355.7566223144531,943.19324
lettuce,119.43601989746094,1367.6461
linseed,63.95572280883789,733.0658
maizefor,463.4776306152344,5169.191
maize,2043.278076171875,14221.592
melonetc,10.279423713684082,118.785126
mushroom,1.1161012649536133,12.917865
oats,553.8411254882812,6068.7153
orange,55.161102294921875,632.7021
peachetc,89.75700378417969,1028.3446
pear,60.290313720703125,691.05505
pea,911.8167724609375,9926.03
persimmon,21.344192504882812,246.64478
plum,30.870319366455078,354.39713
popcorn,0.0,0.0
potato,1892.971923828125,9414.676
pumpkinetc,580.6839599609375,6414.2295
quince,6.087307929992676,70.273994
rapeseed,197.7318115234375,1367.7041
rasberry,14.787164688110352,171.02075
sorghumfor,9.855701446533203,113.71224
sorghum,0.0,0.0
spinach,34.50619125366211,395.98172
stonefruitnes,7.937620639801025,91.58778
strawberry,21.393875122070312,247.25052
sugarbeet,0.0,0.0
swedefor,1591.2459716796875,17411.578
sweetpotato,105.25248718261719,798.95154
tangetc,64.57765197753906,740.2175
tomato,65.17852783203125,747.107
tropicalnes,45.18199157714844,518.3859
turnipfor,2264.41064453125,26313.02
vegetablenes,392.6141357421875,4420.903
vegfor,823.5884399414062,8283.613
watermelon,19.808446884155273,228.71075
wheat,3118.260009765625,30190.152
