Crop,clipped_PA_surf,total_surf
abaca,19.644994735717773,31.170288
agave,2.4216411113739014,4.0218935
alfalfa,18513.099609375,82712.57
almond,0.25369197130203247,0.81107545
aniseetc,11.528491020202637,18.698381
apple,960.9815673828125,7948.6934
apricot,17.545751571655273,70.629
artichoke,697.5307006835938,3166.1982
asparagus,7230.0615234375,32077.137
avocado,10267.7353515625,45520.395
banana,13862.646484375,99524.23
barley,24316.62890625,116829.586
bean,11091.9130859375,68066.45
beetfor,0.0,0.0
berrynes,3.0747931003570557,4.8785367
brazil,2265.969970703125,10100.465
broadbean,11719.00390625,52655.777
buckwheat,0.0,0.34264687
cabbagefor,0.03195647522807121,0.067757376
cabbage,512.9721069335938,2278.4524
carrotfor,0.0,0.0
carrot,1836.82666015625,8128.678
cashewapple,0.0,4.545642
cashew,129.4773712158203,592.7583
cassava,22940.001953125,105926.06
castor,5.327714443206787,8.693611
cauliflower,1042.37841796875,4623.8823
cerealnes,2110.16064453125,9357.461
cherry,0.1515214741230011,0.4277757
chestnut,25.46424102783203,120.09953
chickpea,176.851318359375,456.9026
chilleetc,1978.4398193359375,8985.942
citrusnes,762.8238525390625,3373.5945
clover,0.13475783169269562,0.43345934
cocoa,26238.80859375,155381.05
coconut,277.1524658203125,2420.5505
coffee,79865.78125,395001.12
cotton,1125.3504638671875,7823.095
cowpea,3647.875244140625,12255.858
cucumberetc,545.6619262695312,2437.6206
date,27.032352447509766,120.91725
eggplant,0.0,0.0
fig,105.71635437011719,477.7258
flax,0.09282884746789932,0.28013864
fornes,0.3648957908153534,1.1770375
fruitnes,3228.94384765625,14185.48
garlic,1549.9228515625,7586.0474
grapefruitetc,169.96951293945312,775.6105
grape,7349.02099609375,32597.188
grassnes,21.491321563720703,86.78393
greenbean,969.3225708007812,4277.701
greenbroadbean,2937.3603515625,12996.162
greencorn,9614.5810546875,43375.477
greenonion,14.970295906066895,24.616486
greenpea,7701.57861328125,34276.566
groundnut,778.9486694335938,3006.2246
hempseed,0.04856591671705246,0.12902316
hemp,0.18695701658725739,0.59919184
jutelikefiber,0.44045397639274597,1.4194112
jute,30.19292449951172,152.77255
legumenes,0.0,0.0
lemonlime,4653.1875,25822.715
lentil,330.4714660644531,2816.101
lettuce,1302.4892578125,5785.5483
linseed,237.3200225830078,1074.2524
lupin,2489.07666015625,11020.51
maizefor,0.8658246397972107,2.783905
maize,103725.03125,429988.97
mango,7104.32861328125,31449.568
melonetc,258.78802490234375,1161.7319
mixedgrass,4.375766754150391,25.592812
nutnes,171.16830444335938,777.203
oats,3472.21923828125,15391.622
oilpalm,10819.7822265625,69355.375
olive,4522.23828125,20071.59
onion,3409.435791015625,15115.31
orange,5400.80126953125,29035.107
papaya,2783.760986328125,12329.454
peachetc,1108.4432373046875,4910.7295
pear,85.47533416748047,386.83203
pea,9305.9560546875,41747.637
pepper,20.823974609375,34.09132
pimento,471.48358154296875,2101.7354
pineapple,3320.008056640625,14722.741
plantain,23429.44140625,151619.72
plum,176.7274627685547,791.79315
popcorn,0.0,0.0
potato,88308.671875,328004.44
pulsenes,264.59619140625,1186.6674
pumpkinetc,1742.5743408203125,7725.6636
pyrethrum,0.024559471756219864,0.06271047
quince,144.10281372070312,656.1559
quinoa,14290.359375,63813.383
rapeseed,0.692715048789978,2.3893933
rice,121683.7734375,411318.1
rootnes,9183.3701171875,41480.2
rubber,5.143870830535889,8.065221
ryefor,0.0,0.0
rye,6.865880966186523,27.502663
sesame,59.48714828491211,346.89493
sorghumfor,0.0,0.0
sorghum,1.2711281776428223,14.0609255
soybean,141.0800323486328,612.44727
spicenes,198.2105712890625,899.91437
spinach,318.1107482910156,1436.8491
strawberry,274.27410888671875,1229.492
stringbean,2031.4805908203125,9011.42
sugarbeet,0.2952486574649811,0.49400666
sugarcane,16743.220703125,78101.15
sunflower,0.0,0.063374825
sweetpotato,4103.23046875,14187.32
tangetc,3837.88916015625,16971.31
tea,427.8196716308594,2058.2734
tobacco,43.87556457519531,199.66042
tomato,1358.3092041015625,4830.603
tropicalnes,5657.765625,25022.408
turnipfor,0.0,0.0
vegetablenes,582.791259765625,2587.0464
vegfor,881.8379516601562,3849.7986
walnut,9.982952117919922,45.145348
watermelon,922.7101440429688,4103.359
wheat,23147.046875,106585.91
yam,8.306779861450195,8.730503
yautia,67.23222351074219,306.36926
