Crop,clipped_PA_surf,total_surf
avocado,65.51378631591797,104.26074
bambara,0.0,0.0
banana,35323.54296875,164858.4
barley,0.5216794013977051,0.688615
bean,95749.0546875,599044.1
cabbagefor,0.0,0.0
cabbage,771.8671264648438,1113.3376
carrotfor,0.0,0.0
carrot,649.8009643554688,910.83215
cashew,39.726253509521484,163.7861
cassava,40289.921875,182112.16
castor,1.5375515222549438,6.6516676
cerealnes,4.175166606903076,16.687227
chickpea,5.5601959228515625,30.884464
citrusnes,1.4197758436203003,5.698615
clove,1.7360934019088745,7.0984507
cocoa,0.9786181449890137,2.9708183
coconut,25.03669548034668,130.08772
coffee,2304.78369140625,18660.455
cotton,0.29300060868263245,0.2930006
cowpea,4.512752532958984,8.633475
fruitnes,2023.0625,10581.682
garlic,0.036744534969329834,0.33453596
grapefruitetc,0.10626807063817978,0.17077747
grape,0.31999585032463074,1.3944138
greenbean,144.92340087890625,465.37277
greenbroadbean,0.0,0.054843433
greencorn,1.377565860748291,5.529994
greenpea,0.1758808195590973,1.0723312
groundnut,14465.8515625,31585.316
jutelikefiber,1.5278624296188354,2.6259418
legumenes,0.0,0.0
lemonlime,279.86029052734375,477.3129
lettuce,0.07226788997650146,0.12160693
maizefor,0.0,0.0
maize,77457.078125,286656.8
mango,34.31519317626953,126.59818
melonseed,15.893200874328613,27.235952
millet,476.793701171875,10929.186
nutmeg,0.3370574116706848,1.4734657
nutnes,0.9706223011016846,3.9316206
oilpalm,2238.44140625,3974.4585
oilseedfor,0.0,0.0
oilseednes,5.946313858032227,23.803623
onion,623.1637573242188,2285.8845
orange,471.85028076171875,744.3828
papaya,24.58121109008789,40.704384
pea,4133.9775390625,16527.799
pepper,98.70767974853516,327.64276
pigeonpea,0.020280661061406136,0.4122373
pimento,3.439786911010742,10.813936
pineapple,588.9110107421875,2028.0985
plantain,18100.814453125,38231.215
popcorn,0.0,0.0
potato,47913.6796875,103844.39
pulsenes,11.768630981445312,42.285347
pumpkinetc,10172.939453125,46302.152
pyrethrum,866.3489990234375,4598.118
rice,4418.3203125,24700.617
rootnes,1.5809340476989746,2.7171614
rubber,5.825763702392578,9.983307
safflower,2.5650250911712646,10.2294855
sesame,50.5031852722168,203.47723
sisal,7.440194129943848,29.84496
sorghumfor,0.0,0.0
sorghum,23475.19921875,162087.52
soybean,3202.430908203125,47870.9
spicenes,10.81169319152832,61.012054
sugarcane,721.700439453125,7645.4585
sunflower,166.64581298828125,405.06296
sweetpotato,48250.8359375,176133.58
taro,6818.13623046875,26686.047
tea,8909.609375,21246.578
tobacco,320.46807861328125,4115.8906
tomato,1875.6953125,7899.7954
tropicalnes,361.43353271484375,1919.3564
turnipfor,0.0,0.0
vegetablenes,1288.984375,6653.8027
vegfor,4995.3115234375,12018.27
wheat,6377.830078125,11972.234
yam,1358.9759521484375,5949.34
