Crop,clipped_PA_surf,total_surf
aniseetc,0.07114331424236298,0.071143314
avocado,3.5430760383605957,3.6765919
banana,19683.3984375,35671.664
barley,0.9676746129989624,1.0329696
bean,400.9856262207031,1194.387
broadbean,18865.146484375,34940.523
cabbagefor,0.0,0.0
cabbage,110.79085540771484,115.068474
carrotfor,0.0,0.0
carrot,1874.8507080078125,1936.5597
cassava,228.8571014404297,317.0984
castor,1028.4290771484375,1899.1478
cerealnes,529.8677978515625,721.1798
chickpea,10408.0048828125,19096.19
chilleetc,3546.012451171875,6532.865
citrusnes,0.09306650608778,0.093066506
coffee,1.0685155391693115,1.1949736
cotton,105023.375,177926.02
cowpea,82229.140625,169958.4
cucumberetc,9626.05078125,17756.275
date,18948.2734375,35104.3
eggplant,7276.93359375,13477.804
fibrenes,129.18399047851562,134.8396
fornes,44432.06640625,84722.625
fruitnes,26815.0625,49868.195
garlic,1677.121337890625,3091.4053
ginger,0.10540863871574402,0.10540864
grapefruitetc,10451.1767578125,19253.035
grape,0.7918421030044556,0.7918421
greenbean,15.259010314941406,15.676084
greenbroadbean,0.09653772413730621,0.096537724
greenonion,1.0550203323364258,1.0665363
greenpea,0.0,0.0
groundnut,1235959.75,2976442.8
jutelikefiber,1.51251220703125,1.7969273
legumenes,0.0,0.0
lemonlime,14978.4052734375,27566.293
lentil,16.207355499267578,17.50533
lettuce,0.2535836100578308,0.2535836
linseed,42.25858688354492,44.48568
maizefor,0.0,0.0
maize,4758.06103515625,7928.9004
mango,15450.2509765625,28487.746
melonetc,851.4825439453125,1581.9412
melonseed,56476.125,104166.62
millet,745743.375,2387902.8
mustard,1.4321925640106201,1.470831
nutmeg,0.0667119100689888,0.06671191
nutnes,38.47730255126953,39.96764
oats,19.61330795288086,20.717243
oilpalm,5.846467018127441,8.173033
oilseedfor,0.0,0.0
oilseednes,251.84426879882812,302.66284
onion,47484.78125,87164.94
orange,9415.974609375,17296.854
papaya,5.4248247146606445,5.624587
pea,145.5423126220703,159.12257
pepper,0.0699038952589035,0.069903895
pimento,2681.27978515625,4868.693
pineapple,454.7692565917969,849.57935
plantain,0.0,0.0
popcorn,0.0,0.0
potato,5654.5869140625,9998.768
pulsenes,52014.6796875,96400.24
pumpkinetc,1125.40576171875,2096.6882
rice,4556.6162109375,10905.092
rootnes,400.2342529296875,457.0398
rubber,0.09932085871696472,0.09932086
safflower,44.548851013183594,46.273514
sesame,1942206.25,4263548.5
sisal,1.768438696861267,2.280927
sorghumfor,0.0,0.0
sorghum,1478335.5,5573050.0
soybean,10.989165306091309,14.886728
spicenes,10.05299186706543,11.698721
sugarcane,32345.0703125,65834.016
sunflower,69277.890625,196127.61
sweetpotato,7072.76904296875,13350.737
tangetc,61.3936653137207,121.81656
taro,6.021230220794678,8.947447
tea,2.234693765640259,2.305295
tobacco,1.3500523567199707,4.438989
tomato,28252.40234375,52383.844
tropicalnes,1810.2799072265625,3366.947
turnipfor,0.0,0.0
vegetablenes,22257.806640625,41324.88
vegfor,7722.2236328125,8007.3164
vetch,87.93885803222656,101.23575
watermelon,12630.7294921875,23260.504
wheat,174262.078125,303351.97
yam,31112.8125,72944.35
