Crop,clipped_PA_surf,total_surf
apple,180.21783447265625,1420.7437
barley,38787.0859375,286944.06
bean,94.95339965820312,579.9407
beetfor,0.0,0.0
berrynes,10.45782470703125,88.17377
blueberry,4.505744934082031,40.91779
cabbagefor,0.09932850301265717,0.0993285
cabbage,95.65158081054688,756.9218
carrotfor,0.0,0.0
carrot,225.63742065429688,1781.807
cauliflower,89.77348327636719,711.66724
cherry,22.128158569335938,177.63875
cucumberetc,28.325286865234375,227.02623
currant,34.62208938598633,275.59277
fornes,5.305664539337158,5.542281
gooseberry,0.022341322153806686,0.022341322
greenbean,17.189023971557617,17.822191
greenonion,0.25340813398361206,0.25340813
greenpea,623.3147583007812,4933.886
legumenes,0.0,0.0
lettuce,245.89247131347656,1945.3826
linseed,307.2081298828125,2429.7473
maizefor,0.0,0.0
maize,744.6452026367188,2463.8481
mixedgrain,1710.1451416015625,13539.624
mixedgrass,9737.39453125,65531.613
oats,14062.826171875,158850.61
onion,173.98760986328125,1378.6425
pear,13.59165096282959,110.537186
pea,2790.7529296875,21971.756
plum,4.482750415802002,40.342163
popcorn,0.0,0.0
potato,5054.1298828125,23670.441
rapeseed,14752.8251953125,95423.6
rasberry,14.108712196350098,116.58273
rice,121.2025146484375,196.61421
ryefor,6.620052337646484,6.91487
rye,3308.49951171875,28176.5
soybean,432.961181640625,762.0371
strawberry,261.9671630859375,2067.751
sugarbeet,5634.44970703125,28408.97
sunflower,11461.6435546875,34752.06
tomato,5.273362159729004,48.359665
triticale,1687.4586181640625,16452.12
turnipfor,0.18812938034534454,0.18812938
vegetablenes,163.4712677001953,1291.5498
vegfor,21.35477638244629,139.52965
wheat,57938.66796875,391217.25
