Crop,clipped_PA_surf,total_surf
agave,9.559978485107422,10.915221
alfalfa,1506458.375,8447945.0
almond,177631.5625,513451.88
aniseetc,49.081092834472656,87.13668
apple,34834.90234375,121671.56
apricot,1712.4017333984375,3164.7207
artichoke,687.2235717773438,2132.022
asparagus,3542.598388671875,7181.5845
avocado,13686.6318359375,21415.936
banana,242.7240447998047,325.191
barley,153650.078125,866431.75
bean,84939.3515625,673587.0
beetfor,0.0,0.0
berrynes,510.2876281738281,3356.131
blueberry,9042.388671875,38194.777
broadbean,8.463632583618164,18.587727
buckwheat,24744.51171875,72749.92
cabbagefor,0.0,0.0
cabbage,6167.5576171875,22588.828
canaryseed,0.05297726392745972,16.232231
carrotfor,0.0,0.0
carrot,11850.51171875,27780.34
cashew,3.435818672180176,3.8198047
castor,2.1109724044799805,2.3452895
cauliflower,26605.34375,52877.164
cherry,10601.68359375,35884.004
chickpea,2729.8212890625,108251.14
chilleetc,7112.1396484375,19074.164
citrusnes,295.507568359375,336.13947
clover,20209.505859375,65840.11
coffee,1916.899658203125,2685.2913
cotton,648473.9375,3570191.8
cowpea,2527.273193359375,7736.6763
cranberry,6588.99560546875,13581.357
cucumberetc,6155.47509765625,36521.06
date,3318.837158203125,5616.238
eggplant,621.1290283203125,2403.7395
fibrenes,13.747257232666016,112.06277
fig,747.4058227539062,2031.697
fornes,22.561458587646484,25.971132
garlic,6518.60009765625,10044.998
grapefruitetc,2296.778076171875,17181.783
grape,146060.390625,374375.97
grassnes,348.9277038574219,402.21085
greenbean,4132.755859375,9983.33
greencorn,39123.96484375,154450.56
greenonion,59.70399856567383,438.46707
greenpea,10095.74609375,53677.684
groundnut,153982.671875,654107.9
hazelnut,7109.86181640625,24002.998
hop,9965.1611328125,23950.924
kiwi,739.876220703125,1689.6879
legumenes,0.0,0.0
lemonlime,10136.208984375,20046.97
lentil,5092.15185546875,211356.44
lettuce,79432.546875,93213.06
linseed,3750.2294921875,119947.91
maizefor,72939.0390625,458385.53
maize,3125037.25,33542168.0
mango,8.533873558044434,43.105946
melonetc,12916.419921875,18705.754
millet,33584.375,192789.14
mixedgrain,47.53899002075195,383.4972
mixedgrass,652116.375,3125882.2
mustard,2622.224853515625,36876.99
nutnes,28246.169921875,166369.33
oats,72382.2109375,413998.78
oilseedfor,0.0,0.0
oilseednes,0.0,0.0
okra,471.97064208984375,1279.6523
olive,2573.04931640625,14911.661
onion,20725.779296875,53693.117
orange,75855.1953125,206627.58
papaya,4.8417887687683105,226.27907
peachetc,7112.08349609375,29499.637
pear,6960.0966796875,17723.705
pea,26709.513671875,395749.9
peppermint,4840.70703125,24799.553
pepper,1.606434941291809,1.741052
persimmon,64.02442169189453,202.60214
pimento,0.47679534554481506,3.6765013
pistachio,67756.8203125,153345.28
plum,6650.77392578125,21801.168
popcorn,4622.146484375,76310.02
potato,111307.1796875,370312.66
pumpkinetc,10542.31640625,43421.8
quince,4.359614372253418,9.703113
rapeseed,24987.802734375,732436.25
rasberry,1206.126953125,6460.914
rice,360347.5,1202831.1
rootnes,2.9687793254852295,3.293819
rubber,12.578736305236816,14.408564
ryefor,20812.984375,173946.36
rye,16686.98828125,137405.38
safflower,6942.71240234375,51990.94
sisal,48.94719696044922,56.383953
sorghumfor,34733.48046875,274515.3
sorghum,448525.96875,2030554.0
sourcherry,2353.163818359375,12435.957
soybean,3298181.0,33396038.0
spicenes,0.129634290933609,0.12963429
spinach,9607.953125,21463.188
strawberry,4941.3642578125,15581.43
stringbean,7779.68603515625,49839.414
sugarbeet,48210.328125,462455.38
sugarcane,109106.875,385489.66
sunflower,61525.68359375,663155.56
sweetpotato,3401.979736328125,62973.438
tangetc,3793.594482421875,20889.885
tobacco,5238.10791015625,78526.5
tomato,57697.6796875,110411.805
triticale,62409.640625,329714.4
turnipfor,10.95923137664795,330.6013
vegetablenes,2867.6220703125,16943.516
vegfor,3260.363525390625,13564.117
vetch,584.7115478515625,2059.9553
walnut,49803.39453125,155572.8
watermelon,13897.1787109375,37553.38
wheat,1678550.0,14988982.0
yam,2.6304092407226562,2.9516206
