Crop,clipped_PA_surf,total_surf
agave,6.37425422668457,48.03791
apple,0.06597421318292618,0.24859308
asparagus,0.09355098754167557,0.43383294
avocado,5224.9384765625,10834.3545
banana,34573.32421875,48818.984
barley,0.0,0.021185344
bean,41400.23828125,85061.3
beetfor,0.0,0.0
broadbean,0.22249920666217804,0.24734248
cabbagefor,0.0,0.0
cabbage,1382.3992919921875,3791.2793
carrotfor,0.0,0.0
carrot,3322.385009765625,9075.409
cashewapple,0.05301336944103241,0.05301337
cassava,13315.1474609375,35702.133
cauliflower,385.0249328613281,1054.0051
cherry,0.01184883527457714,0.011848835
chilleetc,3619.653564453125,9895.807
citrusnes,0.135346919298172,0.15366761
cocoa,36729.921875,50159.133
coconut,9127.2060546875,15411.597
coffee,112988.2578125,161684.42
cotton,804.9852294921875,2079.8782
cowpea,0.5374308824539185,0.5374309
cucumberetc,363.48321533203125,993.32263
eggplant,496.1240539550781,1356.6984
fruitnes,1989.471435546875,5440.5156
garlic,486.7021179199219,1331.358
grapefruitetc,360.35595703125,984.4288
grape,442.6156005859375,1111.7313
greenbean,0.3047398626804352,0.33885658
greenonion,377.6958312988281,426.25363
greenpea,9.078306198120117,30.134535
groundnut,495.5877685546875,935.555
legumenes,0.0,0.0
lemonlime,2456.15869140625,6712.061
lentil,1.196934700012207,3.9899988
lettuce,1007.6390380859375,2756.4534
maizefor,0.0,0.0
maize,152419.28125,405709.6
mango,2480.51513671875,6782.418
melonetc,2933.30322265625,8016.4697
oats,0.6863774061203003,2.309961
oilpalm,18717.802734375,41584.625
okra,0.2655773460865021,0.2952781
onion,3180.178955078125,8687.977
orange,15945.103515625,27818.139
papaya,1508.14208984375,4123.0874
peachetc,424.2509765625,1160.7393
pear,0.12891560792922974,0.5959348
pea,38.62071228027344,109.60817
pigeonpea,1137.3712158203125,2597.9973
pineapple,8691.0556640625,21846.152
plantain,38687.2421875,59919.824
plum,0.24426138401031494,1.0189736
popcorn,0.0,0.0
potato,23276.220703125,25141.713
pumpkinetc,724.3513793945312,1998.8434
rice,38714.1640625,112446.305
rootnes,1590.4443359375,4345.6724
sesame,14547.357421875,39508.137
sisal,274.45166015625,750.55817
sorghumfor,0.0,0.0
sorghum,4839.48974609375,15574.189
soybean,4187.7265625,7340.5625
spinach,14.504414558410645,48.694283
strawberry,255.46682739257812,547.0609
stringbean,54.064735412597656,150.5823
sugarbeet,303.9649658203125,1163.195
sugarcane,19641.3125,49911.727
sunflower,1815.5491943359375,4237.2627
sweetpotato,1083.19970703125,1960.6316
tangetc,3289.306884765625,8981.508
taro,0.24584266543388367,0.27331814
tobacco,675.586181640625,1812.208
tomato,3374.3251953125,9217.522
tropicalnes,1737.4041748046875,4771.996
turnipfor,0.0,0.0
vegetablenes,2729.5166015625,7453.593
vegfor,2992.956787109375,6830.7954
watermelon,2700.968994140625,7375.112
wheat,86.05626678466797,237.92276
yam,1922.4556884765625,5156.8604
yautia,2713.2333984375,7410.4365
