Crop,clipped_PA_surf,total_surf
alfalfa,7.047872066497803,19.139751
aniseetc,30.1989803314209,115.77427
apple,193.9342803955078,741.27356
apricot,2.9896345138549805,7.6639876
artichoke,7.20066499710083,11.40208
asparagus,18.397125244140625,63.742332
avocado,128.51060485839844,461.8515
banana,16081.025390625,22685.37
barley,1433.52294921875,10024.236
bean,3778.550048828125,22450.186
berrynes,0.0,0.0
buckwheat,0.22367794811725616,0.60865796
cabbagefor,0.0,0.0
cabbage,5.422667980194092,12.399423
carrotfor,0.0,0.0
carrot,0.7021443247795105,3.3815877
cashew,66.46620178222656,117.134705
cassava,19341.041015625,53260.918
castor,3.070289134979248,7.033827
cerealnes,331.7141418457031,1030.2726
cherry,0.0,0.062453598
chickpea,38.79758834838867,236.75638
chicory,0.9853650331497192,2.5483055
citrusnes,24.624710083007812,87.84507
coconut,0.12181972712278366,0.43314716
coffee,1396.4215087890625,2081.8457
cotton,12805.654296875,108814.91
cowpea,450.3045654296875,855.73224
cucumberetc,24.823734283447266,77.78309
fibrenes,0.5964307188987732,1.5812181
fig,0.09203347563743591,0.34808207
fruitnes,141.00674438476562,464.8558
grapefruitetc,232.93943786621094,884.1123
grape,101.57359313964844,387.03055
greenbean,93.1841812133789,241.92531
greencorn,435.8919982910156,1650.4211
greenpea,50.73078155517578,131.5397
groundnut,23440.935546875,153873.88
hop,0.03988005220890045,0.18742609
jutelikefiber,8.183575630187988,14.499995
jute,1078.3125,4100.4614
legumenes,0.0,0.0
lemonlime,672.618896484375,2554.175
lettuce,5.1280131340026855,11.409771
lupin,3.505645751953125,9.088709
maizefor,0.0,0.0
maize,172703.765625,1016413.4
mango,166.7083740234375,585.637
melonetc,4.1964111328125,9.536621
millet,37243.94921875,145407.89
mixedgrass,145.12437438964844,219.1164
nutnes,791.2437133789062,3013.7246
oats,64.75741577148438,242.53613
oilseedfor,0.0,0.0
oilseednes,5907.1826171875,22054.406
onion,50.68275451660156,178.18716
orange,3447.786376953125,13045.324
papaya,2.4751574993133545,4.610303
peachetc,45.21780014038086,169.09872
pear,26.99363899230957,101.157745
pea,0.10956677794456482,0.3819129
pepper,371.3776550292969,1415.0305
pimento,2578.7392578125,9797.817
pineapple,3.122232437133789,6.6561947
plum,17.968524932861328,55.57277
popcorn,0.0,0.0
potato,598.462890625,2395.4116
pulsenes,1382.9647216796875,4563.867
pumpkinetc,4.473347187042236,11.420201
rasberry,12.817681312561035,39.782055
rice,446.4951171875,3028.6912
rootnes,24.94827651977539,69.9478
ryefor,0.0,0.0
rye,5.645837306976318,14.652891
sesame,8.465805053710938,14.750002
sisal,4.4265971183776855,8.31665
sorghumfor,0.0,0.0
sorghum,43749.18359375,216436.3
soybean,2212.48828125,33037.63
spicenes,147.87118530273438,563.5809
stonefruitnes,0.0,5.8152547
strawberry,13.089340209960938,40.435997
sugarcane,6851.7421875,46513.863
sunflower,3775.808837890625,23805.166
sweetpotato,1573.6468505859375,6842.3267
tangetc,432.626708984375,1647.5841
tea,1677.0577392578125,2679.155
tobacco,12003.736328125,103943.81
tomato,832.1873779296875,3128.9785
tropicalnes,44.70609664916992,137.68848
turnipfor,0.0,0.0
vanilla,7.55026388168335,18.865503
vegetablenes,4558.9423828125,17213.371
vegfor,5938.44580078125,25211.416
watermelon,1.04869544506073,2.7136118
wheat,8251.4765625,71846.69
yam,1.8288545608520508,72.45836
