Crop,clipped_PA_surf,total_surf
alfalfa,122.84049987792969,174.08534
almond,4299.19091796875,6001.171
aniseetc,426.0671691894531,1172.7765
apple,6345.8154296875,9298.334
apricot,4109.08203125,5826.899
artichoke,0.17832188308238983,0.23620692
asparagus,0.1583477407693863,0.21006258
banana,16.80793571472168,17.712723
barley,24269.298828125,96544.5
bean,172.85308837890625,325.16797
beetfor,3.5174036026000977,4.4703245
berrynes,469.47650146484375,828.3183
broadbean,1.3231202363967896,3.6360507
buckwheat,1.124093770980835,1.4306772
cabbagefor,0.0,0.0
cabbage,51.90401077270508,83.74726
carrotfor,0.0,0.0
carrot,88.30987548828125,122.267815
castor,0.36805880069732666,0.50409776
cauliflower,4.038303852081299,7.919676
cerealnes,1.2713282108306885,3.7664943
cherry,7.940733909606934,14.866257
chickpea,18.335947036743164,44.082577
chilleetc,1.312150478363037,2.0471659
citrusnes,18.154691696166992,42.17724
cotton,18982.65234375,70721.81
cucumberetc,79.1535415649414,113.18953
date,49.471527099609375,69.43313
eggplant,5.796842098236084,9.852764
fig,205.5120849609375,366.3661
fornes,477.9244079589844,617.05707
fruitnes,2352.48974609375,3265.7988
garlic,6.517704963684082,11.621388
grapefruitetc,0.7788588404655457,1.0840821
grape,19434.8359375,28846.172
grassnes,314.9901123046875,398.69583
greenbean,26.41275405883789,34.060677
greenbroadbean,0.19238312542438507,0.30553976
greenpea,9.84274959564209,20.96961
groundnut,71.25110626220703,120.65146
hazelnut,12.01279067993164,16.834112
jutelikefiber,0.8914507031440735,1.6728994
jute,0.5264489054679871,1.604837
kiwi,1.4557913541793823,2.1277158
legumenes,0.0,0.0
lemonlime,16.377552032470703,24.849228
lentil,63.402931213378906,91.38467
lettuce,2.2714591026306152,3.3364172
linseed,5640.1298828125,8397.591
maizefor,267.882568359375,488.28308
maize,28361.310546875,143388.0
mango,10.14709758758545,14.784206
melonetc,9325.234375,14374.831
millet,1386.974609375,3112.7178
mixedgrass,356.2986755371094,959.82526
nutnes,395.96588134765625,552.1099
oats,1.2443647384643555,1.5589007
oilseedfor,0.0,0.0
oilseednes,0.10802453756332397,0.33563802
okra,8.242985725402832,17.45304
olive,454.2926025390625,2190.9854
onion,5163.0908203125,7601.439
orange,241.6738739013672,380.91556
papaya,0.44658583402633667,0.90679085
peachetc,1759.9232177734375,2480.3652
pear,256.29766845703125,459.91068
pea,805.2496337890625,2942.671
pepper,7.061035633087158,9.011294
pimento,25.827295303344727,52.368107
pistachio,31.38253402709961,317.62036
plum,903.1952514648438,1292.3502
popcorn,0.0,0.0
potato,8433.7431640625,51687.855
pulsenes,14028.8349609375,57149.54
pumpkinetc,17.5672664642334,30.543783
quince,2.11238431930542,4.2317743
rapeseed,391.5066223144531,537.83105
rice,27559.44140625,151391.34
rootnes,8.253063201904297,16.484615
ryefor,0.0,0.0
rye,2.133228302001953,3.3570914
safflower,28.189979553222656,43.109974
sesame,14622.58203125,21947.246
sorghumfor,0.0,0.0
sorghum,8.936570167541504,15.0637865
sourcherry,5.173447608947754,8.916769
soybean,33.46485900878906,37.140472
spicenes,712.2513427734375,1035.6982
spinach,3.0386440753936768,5.659625
stonefruitnes,179.71835327148438,458.76437
strawberry,1.0080909729003906,1.6314101
sugarbeet,190.9740447998047,649.2134
sugarcane,584.9561157226562,1681.9014
sunflower,328.89947509765625,506.71582
sweetpotato,3.206427574157715,3.4691129
tangetc,25.001169204711914,46.311134
tea,2.2906599044799805,2.9489262
tobacco,0.2863686978816986,0.96663916
tomato,112.93144226074219,203.6352
tropicalnes,23.62907600402832,48.22566
turnipfor,0.0,0.0
vegetablenes,88.36387634277344,156.2694
vegfor,29169.9609375,156152.44
walnut,398.9779052734375,745.4596
watermelon,13601.4228515625,22069.822
wheat,548144.1875,2661830.2
yam,9.888773918151855,14.840271
