Crop,clipped_PA_surf,total_surf
alfalfa,135.15325927734375,167.22205
almond,64.9101791381836,125.86382
aniseetc,24.68952751159668,32.615746
apple,4126.974609375,10722.057
apricot,4133.5595703125,10274.291
artichoke,1.077889323234558,1.4089556
asparagus,0.03588847443461418,0.035888474
banana,0.1687965989112854,0.21265037
barley,18371.287109375,51233.64
bean,515.9441528320312,1355.911
beetfor,146.02316284179688,220.0151
berrynes,622.9054565429688,1576.5109
broadbean,16.398880004882812,24.65654
buckwheat,0.0338359996676445,0.13118024
cabbagefor,0.0,0.0
cabbage,1265.25537109375,2892.3953
carob,0.5440657734870911,0.6955318
carrotfor,0.0,0.0
carrot,388.3554382324219,878.406
cauliflower,242.7317657470703,442.8293
cerealnes,1917.2362060546875,4804.881
cherry,739.7393798828125,1780.0017
chestnut,7.62714147567749,11.404049
chickpea,31.72317886352539,53.80571
chilleetc,887.757080078125,2027.9166
citrusnes,2.8100554943084717,6.2876415
cotton,0.2578754425048828,0.25787544
cranberry,211.4341583251953,223.28845
cucumberetc,799.9202270507812,1882.5242
currant,0.5999267101287842,2.0188012
date,17.844158172607422,18.264606
eggplant,741.4559326171875,1720.1895
fig,169.23797607421875,229.87955
fornes,5319.662109375,14285.909
fruitnes,581.6327514648438,1087.9711
garlic,431.9261474609375,995.4826
grapefruitetc,1.963089108467102,2.509344
grape,7577.0703125,11701.782
grassnes,14.77749252319336,71.46187
greenbean,548.73046875,1256.9198
greenbroadbean,2.197556972503662,2.9461932
greenonion,4.295092582702637,5.845541
greenpea,124.11257934570312,185.23177
groundnut,3.1448960304260254,4.1418223
hazelnut,344.6614990234375,627.0773
hempseed,0.05824611335992813,0.058246113
hop,0.058276452124118805,0.23418146
kiwi,1.4339137077331543,1.7746962
legumenes,84.52452087402344,114.823326
lemonlime,20.736446380615234,25.951612
lentil,71.17121887207031,158.04367
lettuce,8.947534561157227,11.916519
linseed,104.71061706542969,120.48227
maizefor,213.62158203125,366.57532
maize,940.5130615234375,2115.5293
mango,0.19799616932868958,0.19799617
melonetc,1642.9329833984375,3885.6277
millet,0.3984721899032593,1.0859048
mixedgrain,3.46543025970459,4.6647744
mixedgrass,344.83123779296875,1065.5156
nutnes,12.704804420471191,34.914036
oats,1394.540283203125,3259.7246
oilseedfor,0.0,0.0
oilseednes,17.410831451416016,52.554043
okra,2.781843423843384,3.7451415
olive,54.91870880126953,79.4096
onion,697.6849365234375,1615.5444
orange,39.06642150878906,80.237076
peachetc,1985.904541015625,4871.035
pear,1095.61962890625,2748.857
pea,60.238189697265625,144.28073
pimento,2.8183422088623047,3.7557917
pistachio,106.29338836669922,143.95906
plum,1040.464599609375,2605.8308
popcorn,0.0,0.0
poppy,15.271740913391113,20.786419
potato,12271.76171875,22347.75
pulsenes,148.06265258789062,360.02362
pumpkinetc,41.668701171875,55.842506
quince,180.94068908691406,356.81927
rapeseed,0.4290744364261627,0.42907444
rasberry,3.272442579269409,9.954554
ryefor,0.0,0.0
rye,80.09258270263672,174.15488
safflower,6.115812301635742,6.5792646
sesame,15.822993278503418,20.321932
sorghumfor,0.0,0.0
sorghum,0.0,2.169737
sourcherry,316.3724670410156,806.5931
soybean,1.4915629625320435,3.4008408
spicenes,20.702667236328125,39.31642
spinach,7.362961769104004,9.964375
stonefruitnes,232.7628173828125,581.1771
strawberry,6.719145774841309,10.321745
stringbean,3.225590467453003,4.3324795
sugarbeet,1239.001708984375,3691.0437
sugarcane,1.8398317098617554,1.8398317
sunflower,28.116064071655273,148.35596
tangetc,26.003868103027344,35.80761
tea,29.94124984741211,86.580185
tobacco,131.5902099609375,339.4073
tomato,2254.3955078125,5305.9883
tropicalnes,8202.3896484375,8562.272
turnipfor,0.0,0.0
vegetablenes,1675.183349609375,4213.5654
vegfor,2812.479248046875,8128.1763
vetch,48.13803482055664,95.48445
walnut,1032.5845947265625,1571.8579
watermelon,1686.4779052734375,4281.816
wheat,26782.3984375,66808.58
