Crop,clipped_PA_surf,total_surf
abaca,11.969882011413574,17.236065
agave,7157.8720703125,17771.07
alfalfa,4.589783191680908,7.352265
apple,304.50811767578125,583.5713
artichoke,0.14566171169281006,0.14566171
asparagus,318.2711181640625,917.2907
avocado,17484.93359375,74652.06
banana,25702.85546875,95697.19
barley,2110.625,3020.7063
bean,44056.71875,92852.53
beetfor,0.0,0.0
berrynes,1.596409559249878,2.2447076
brazil,0.443816214799881,0.56143284
broadbean,732.2989501953125,1206.3685
buckwheat,0.0,0.0
cabbagefor,0.0,0.0
cabbage,863.4346313476562,2276.8616
carrotfor,0.0,0.0
carrot,4314.90283203125,8844.235
cashewapple,0.0,0.0
cashew,274.8307189941406,2324.3196
cassava,29058.134765625,108112.05
castor,1.8614453077316284,2.298118
cauliflower,1335.549560546875,2896.3503
cerealnes,18.64899444580078,180.86697
chestnut,0.0,0.0
chickpea,35.900535583496094,76.87555
chilleetc,1736.857421875,9978.641
citrusnes,14913.85546875,16177.514
cocoa,64065.1953125,183768.38
coconut,12816.0361328125,22213.756
coffee,400497.65625,843067.5
cotton,1225.8560791015625,9492.087
cucumberetc,803.37890625,3099.5938
date,2.848064422607422,6.0542216
eggplant,154.70399475097656,796.8639
fig,40.79300308227539,101.32768
fruitnes,21663.1171875,62194.66
garlic,284.2627868652344,775.4497
grapefruitetc,7.34940767288208,21.982786
grape,929.5846557617188,4006.2205
greenbean,1905.0286865234375,5598.584
greenbroadbean,43.71803283691406,57.81472
greencorn,36.904869079589844,48.04037
greenonion,3830.62939453125,11194.975
greenpea,8329.0,23821.576
groundnut,149.18389892578125,2683.9424
legumenes,0.0,0.0
lemonlime,7221.4072265625,22611.523
lentil,3189.771484375,4257.9473
lettuce,4135.09814453125,7998.006
linseed,0.07145993411540985,0.09212701
lupin,2.4998207092285156,3.3515325
maizefor,0.0,0.0
maize,85446.0859375,337738.4
mango,8592.927734375,33241.168
melonetc,961.4215698242188,7230.022
nutnes,0.03619647026062012,15.64611
oats,1282.763916015625,2448.4265
oilpalm,86421.3828125,551230.3
olive,0.8749573826789856,1.1358957
onion,11538.15625,25551.121
orange,6820.04248046875,20384.324
papaya,1377.4410400390625,7290.9077
peachetc,637.9426879882812,2515.7432
pear,951.8656616210938,1795.9563
pea,12862.130859375,29418.973
pepper,0.8257474899291992,1.1942261
pigeonpea,178.91653442382812,543.35785
pimento,792.1537475585938,3401.0015
pineapple,7892.35302734375,22662.2
plantain,87863.984375,290606.56
plum,540.488037109375,1205.0854
popcorn,0.0,0.0
potato,80674.1640625,124847.13
pulsenes,0.2224091738462448,0.30170995
pumpkinetc,3648.64697265625,16711.656
pyrethrum,0.04860173538327217,0.079289496
quince,0.031057659536600113,0.03105766
quinoa,451.59307861328125,762.26794
rapeseed,2.0858869552612305,5.046639
rice,91683.46875,510486.28
rootnes,4705.49365234375,13505.272
rubber,3647.926025390625,3928.964
sesame,528.3494262695312,4384.1973
sisal,1.1683623790740967,4.261261
sorghumfor,0.0,0.0
sorghum,251.3534698486328,1604.9298
soybean,4168.833984375,45349.582
spicenes,1452.630859375,1616.2212
spinach,769.6450805664062,1492.1433
strawberry,831.143798828125,1851.0233
stringbean,0.43433061242103577,0.7418794
sugarbeet,562.1728515625,1218.8147
sugarcane,145218.46875,370718.84
sunflower,0.5300547480583191,1.7124776
sweetpotato,0.4718273878097534,2.2495484
tangetc,5984.8466796875,17281.701
tea,60.81765365600586,64.134346
tobacco,2029.6629638671875,3898.6904
tomato,3081.611083984375,9143.211
tropicalnes,20010.318359375,58528.473
turnipfor,0.0,0.0
vegetablenes,1206.643310546875,3466.1536
vegfor,6321.712890625,16934.53
watermelon,4385.77099609375,12596.717
wheat,1541.4986572265625,2785.3164
yam,11384.2509765625,34740.184
yautia,2.8536906242370605,13.263166
