Crop,clipped_PA_surf,total_surf
abaca,363.8514404296875,1079.6655
agave,0.8141492605209351,6.234153
avocado,1142.011962890625,3556.7139
banana,17583.3671875,48878.25
bean,3580.7080078125,10372.793
berrynes,17.539764404296875,54.49483
cabbagefor,0.0,0.0
cabbage,169.4824981689453,505.73407
carrotfor,0.0,0.0
carrot,63.6599235534668,350.1047
cassava,3314.1416015625,9845.069
chilleetc,14.229183197021484,83.02626
cocoa,2319.03173828125,7172.317
coconut,473.7083740234375,1965.3768
coffee,23790.66015625,66733.3
cotton,297.2169189453125,797.2986
cucumberetc,14.278250694274902,83.21886
fruitnes,17781.5,53275.227
ginger,93.1944580078125,280.02673
grapefruitetc,852.8292846679688,2529.646
groundnut,20.851627349853516,257.9299
legumenes,0.0,0.0
lemonlime,487.4879455566406,1441.8223
lettuce,15.021378517150879,87.587
maizefor,0.0,0.0
maize,2964.40087890625,8261.515
mango,1598.835693359375,5068.4673
melonetc,933.757080078125,2953.8604
nutnes,63.28873062133789,210.65901
oilpalm,13351.8203125,66621.055
onion,630.1471557617188,1711.723
orange,3357.58837890625,10058.555
papaya,294.7248840332031,874.21967
pepper,80.55813598632812,240.7446
pigeonpea,3.4175541400909424,17.12976
pineapple,11262.5654296875,34748.793
plantain,2562.5380859375,9986.268
popcorn,0.0,0.0
potato,1229.0634765625,2766.5554
pulsenes,0.8865983486175537,2.9392028
rice,12469.501953125,39406.22
rootnes,413.7335510253906,1264.5739
sesame,85.05561065673828,266.10712
sorghumfor,0.0,0.0
sorghum,5.898377418518066,29.563896
soybean,0.11976958066225052,2.619875
strawberry,50.193328857421875,151.26399
sugarcane,12572.259765625,56071.32
sweetpotato,44.63733673095703,219.78043
tea,0.6295149326324463,0.90812206
tobacco,16.365108489990234,19.530842
tomato,341.1314697265625,1023.20013
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,833.5786743164062,2509.8176
vegfor,1159.3316650390625,3221.9849
watermelon,647.6776733398438,1958.7288
yam,160.38343811035156,1021.6161
yautia,51.71686935424805,284.52722
