Crop,clipped_PA_surf,total_surf
agave,1168.6806640625,8313.602
avocado,37.085205078125,270.74475
banana,7779.0830078125,35442.906
bean,18267.99609375,74294.49
cabbagefor,0.0,0.0
cabbage,346.014404296875,2461.317
cassava,19646.23046875,96465.266
chilleetc,1054.7962646484375,7505.0635
citrusnes,65.72703552246094,471.60645
cocoa,338.99468994140625,2828.7317
coconut,1099.344482421875,7587.486
coffee,3078.857421875,23030.344
cucumberetc,964.439208984375,6853.462
fruitnes,1780.2357177734375,12665.991
garlic,249.04290771484375,1772.831
grapefruitetc,658.0740966796875,2830.195
groundnut,763.7413940429688,5387.4316
jutelikefiber,1380.783447265625,9823.398
legumenes,0.0,0.0
lemonlime,106.47673797607422,653.1997
maizefor,0.0,0.0
maize,13580.865234375,119716.484
mango,6549.7626953125,46685.207
melonetc,879.7781982421875,6258.9253
onion,915.665283203125,6515.4766
orange,883.7852783203125,4250.714
papaya,1110.19482421875,7900.9565
pineapple,622.51318359375,4431.3555
plantain,15669.5751953125,64112.066
popcorn,0.0,0.0
potato,1201.732666015625,5530.224
pumpkinetc,4170.3740234375,29488.34
rice,10512.8994140625,71867.89
sisal,113.35826873779297,808.51544
sorghumfor,0.0,0.0
sorghum,249.71607971191406,1018.56714
sugarcane,45937.16796875,284694.8
sweetpotato,6741.93505859375,34199.9
tangetc,503.5216979980469,3059.6172
tobacco,2507.687744140625,15111.467
tomato,3580.52734375,25504.557
tropicalnes,80.49586486816406,575.3434
vegetablenes,5692.36865234375,40534.086
vegfor,10261.98046875,53638.387
watermelon,563.4549560546875,4007.4333
yam,1488.888427734375,7413.158
yautia,1005.368896484375,7150.327
