Crop,clipped_PA_surf,total_surf
almond,0.6666172742843628,4.901036
avocado,645.61083984375,1900.4111
bambara,6.17015266418457,1177.8995
banana,3288.44921875,7944.5225
bean,15762.642578125,139900.52
cabbagefor,0.0,0.0
cabbage,0.305061012506485,0.5446852
cashew,42647.8203125,137829.89
cassava,268475.625,946261.9
castor,5.918373107910156,14.575955
cerealnes,31.776901245117188,80.67111
chickpea,11.887502670288086,43.017685
chilleetc,4147.173828125,14758.269
citrusnes,2.4433608055114746,5.5643377
cocoa,513666.34375,1434940.8
coconut,30524.09765625,76005.09
coffee,791.9764404296875,1197.5476
cotton,2410.0302734375,15767.947
cowpea,12392.9140625,146376.06
eggplant,1829.8175048828125,5924.7295
fonio,2.9191060066223145,14.186566
fruitnes,5302.2314453125,15706.201
ginger,26.77204704284668,97.8116
greenbean,759.3374633789062,2520.6301
greencorn,65.04943084716797,140.1572
greenonion,0.9549314975738525,3.5982378
groundnut,68730.2734375,331742.94
karite,9338.6650390625,31487.285
kolanut,22304.1953125,83880.68
legumenes,0.0,0.0
lemonlime,2389.498291015625,7017.6523
maizefor,0.0,0.0
maize,372856.875,1534812.2
mango,2243.60009765625,6568.9204
millet,14869.71875,165999.98
nutmeg,0.09966614842414856,0.1417349
nutnes,3090.83642578125,10002.828
oats,16.317331314086914,40.92487
oilpalm,114115.265625,359634.44
oilseedfor,0.0,0.0
oilseednes,1.8990581035614014,4.9183826
okra,1123.9173583984375,6082.8354
onion,2513.9091796875,8147.626
orange,5643.5478515625,18559.754
papaya,239.27334594726562,1210.7577
pepper,1668.91943359375,5405.943
pimento,4835.5302734375,15924.701
pineapple,3540.658447265625,10425.835
plantain,133583.640625,412454.3
popcorn,0.0,0.0
potato,0.07495913654565811,0.45131856
pulsenes,49480.53515625,248588.25
rice,72651.3359375,329374.25
rootnes,12.247293472290039,29.157347
rubber,16546.126953125,54548.688
sesame,51.16126251220703,151.53159
sorghumfor,0.0,0.0
sorghum,25121.765625,300190.53
soybean,12907.201171875,102555.65
spicenes,3.4567983150482178,12.703253
sugarcane,2772.8369140625,6525.287
sweetpotato,10716.6845703125,72998.8
tangetc,0.0,0.0
taro,52510.6328125,177526.05
tobacco,870.3311157226562,6002.7266
tomato,13213.318359375,45929.03
tropicalnes,2.099423885345459,9.42281
vegetablenes,177.16831970214844,584.1756
vegfor,594.2827758789062,2740.6597
yam,117111.6796875,467722.97
