Crop,clipped_PA_surf,total_surf
agave,29.074676513671875,137.32689
aniseetc,275.594482421875,972.0443
apple,1996.4212646484375,7001.801
apricot,0.0,0.012906248
avocado,3264.618896484375,11604.994
banana,37460.6328125,89529.36
barley,3.289369583129883,10.635748
bean,75693.109375,265302.06
beetfor,0.0,0.34036636
broadbean,6400.6748046875,21673.264
cabbagefor,0.0,0.0
cabbage,695.2013549804688,2492.8691
carrotfor,0.0,0.0
carrot,978.1928100585938,3433.1821
cashew,7.247443199157715,62.799892
cassava,1836.177001953125,4346.914
castor,0.4535661041736603,0.81234694
cauliflower,1898.1605224609375,6674.7246
chilleetc,734.9732666015625,2590.4233
citrusnes,3357.42919921875,11567.91
cocoa,2368.664794921875,4756.7
coconut,772.54931640625,2280.1858
coffee,98649.234375,346856.94
cotton,873.3336791992188,952.018
cucumberetc,1.3053797483444214,14.818565
eggplant,0.08936711400747299,2.0538702
fornes,10.143341064453125,17.38168
fruitnes,5384.625,18392.064
garlic,866.561767578125,3031.6338
grapefruitetc,16.882986068725586,22.291273
grape,733.099853515625,2583.4377
grassnes,144.6297607421875,247.01935
greenbean,1499.02783203125,2374.359
greenbroadbean,214.6929931640625,760.23236
greenonion,8.516670227050781,13.980827
greenpea,1772.212158203125,2807.8745
groundnut,686.9523315429688,2183.993
jutelikefiber,101.742431640625,406.26657
legumenes,0.0,0.0
lemonlime,1591.3212890625,5675.083
lettuce,890.86376953125,3129.437
maizefor,0.0,0.0
maize,285486.8125,866073.75
mango,2657.68408203125,9443.257
melonetc,7242.97705078125,25380.883
mixedgrass,0.9174304008483887,1.5936539
nutmeg,22741.916015625,70237.25
nutnes,1767.937255859375,6143.611
oilpalm,90531.5625,204854.19
okra,284.9306335449219,1003.8259
olive,6.47880744934082,73.558716
onion,1436.1199951171875,5076.2407
orange,1393.8428955078125,4840.8413
papaya,845.7393798828125,2966.52
peachetc,1882.7408447265625,2005.5591
pea,0.3152865171432495,0.5057585
pepper,349.9362487792969,1225.7997
pimento,4.416238784790039,8.826669
pineapple,3414.081787109375,11954.219
plantain,4899.26611328125,15517.613
plum,0.05094932019710541,13.878919
popcorn,0.0,0.0
potato,12629.0146484375,22821.672
pulsenes,1193.45703125,3973.3647
pumpkinetc,4.727228164672852,10.491226
quince,0.08542563021183014,0.16222356
rapeseed,0.7608329057693481,1.1964067
rice,3570.98388671875,10925.62
rootnes,3.1070661544799805,7.7572
rubber,31651.51171875,100052.375
sesame,11668.205078125,35947.47
sisal,8.885631561279297,14.630884
sorghumfor,0.0,0.99791867
sorghum,6845.369140625,20952.46
soybean,4478.24560546875,15822.609
spicenes,168.46397399902344,589.03687
strawberry,201.93899536132812,712.5502
stringbean,5.194189071655273,8.967225
sugarbeet,0.0,0.0
sugarcane,29182.734375,247435.64
sunflower,0.03549567982554436,0.09789625
sweetpotato,2.097780704498291,14.808923
tangetc,0.42651134729385376,5.2611184
tea,361.7215270996094,1132.6361
tobacco,3310.087158203125,14806.946
tomato,2353.47412109375,8302.003
tropicalnes,0.0,0.0
turnipfor,0.013442948460578918,0.04538754
vegetablenes,3824.81103515625,13124.071
vegfor,6094.654296875,19422.225
vetch,3.933363676071167,6.7946463
watermelon,760.070068359375,2732.269
wheat,230.38951110839844,446.34677
yam,3599.54052734375,10759.84
yautia,4.273462295532227,42.978943
