Crop,clipped_PA_surf,total_surf
alfalfa,100425.5390625,284902.56
almond,29964.376953125,77041.016
aniseetc,2741.63818359375,6962.896
apple,45942.43359375,121351.71
apricot,23073.82421875,58781.562
artichoke,375.5664978027344,948.33093
asparagus,332.2771911621094,837.2217
banana,1591.0096435546875,4043.6047
barley,742949.4375,2037886.1
bean,19160.794921875,82974.35
beetfor,0.7901226878166199,0.91239023
berrynes,2423.900390625,6216.9175
broadbean,1502.5416259765625,2613.2856
cabbagefor,0.0,0.0
cabbage,2932.087890625,7433.5293
carob,0.27147817611694336,0.28733075
carrotfor,0.0,0.0
carrot,4579.79833984375,11562.975
castor,1.0613298416137695,1.1959423
cauliflower,770.695068359375,1996.0156
cerealnes,1.411885380744934,1.4118854
cherry,9479.701171875,24070.658
chestnut,7.3064961433410645,9.734745
chickpea,204145.875,515673.0
chilleetc,2798.73779296875,7278.304
citrusnes,9286.435546875,23572.193
cotton,19636.048828125,55910.992
cowpea,0.0,0.12815155
cranberry,40.63291931152344,43.28146
cucumberetc,18803.466796875,49207.832
currant,1.1439534425735474,2.0710201
date,64408.609375,174265.31
eggplant,8096.76513671875,21211.43
fig,6420.49755859375,16395.664
fornes,75106.890625,203800.69
fruitnes,54975.21484375,139913.2
garlic,2053.440673828125,5226.4004
grapefruitetc,1453.64990234375,3691.2417
grape,61537.74609375,168225.78
greenbean,3091.747314453125,7821.5083
greenbroadbean,277.989990234375,700.6665
greenonion,3.086156129837036,3.6080556
greenpea,1005.7669677734375,2529.4443
groundnut,807.1781005859375,2307.1116
hazelnut,9105.9921875,22530.305
hempseed,87.26809692382812,114.863464
jutelikefiber,0.02863062359392643,0.028630624
kiwi,3536.369140625,8957.814
legumenes,61.73332977294922,72.33713
lemonlime,12038.498046875,30685.113
lentil,48900.4453125,130589.09
lettuce,5590.72998046875,14379.859
linseed,51.727500915527344,148.58662
maizefor,120.76519012451172,154.24731
maize,63439.21484375,206241.31
mango,1530.214599609375,3879.0054
melonetc,24746.20703125,63858.133
millet,2465.27099609375,7348.0625
mixedgrain,2.674133062362671,3.1093898
mixedgrass,1213.8834228515625,2026.1068
nutnes,833.8192138671875,2043.9305
oats,6.352559566497803,8.069438
oilseedfor,0.0,0.0
oilseednes,173.59146118164062,380.09674
okra,2.2953672409057617,2.6723974
olive,15288.11328125,38833.855
onion,20617.787109375,53809.594
orange,33275.703125,92747.73
papaya,0.2308657169342041,0.23086572
peachetc,14892.6435546875,37806.465
pear,2601.25390625,6685.617
pea,28.116432189941406,33.75724
persimmon,688.1007080078125,1711.649
pimento,518.03857421875,1312.301
pistachio,32741.80859375,150427.72
plum,7795.4736328125,19865.229
popcorn,0.0,0.0
poppy,11.471394538879395,13.364981
potato,40470.3203125,131263.53
pulsenes,9453.015625,24177.227
pumpkinetc,11941.8232421875,30316.271
quince,3272.71728515625,8325.322
rapeseed,53269.43359375,159779.56
rasberry,3.359833240509033,5.8694134
rice,199550.546875,428249.7
rootnes,0.25761958956718445,0.30558398
ryefor,0.0,0.0
rye,112.39588928222656,179.09087
safflower,1493.79248046875,3574.5908
sesame,17120.072265625,43776.0
sorghumfor,0.0,0.0
sorghum,0.08943572640419006,5.603115
sourcherry,9698.3740234375,24635.9
soybean,19674.90234375,59196.86
spicenes,13.620820045471191,15.816567
spinach,1858.806396484375,4702.8228
stonefruitnes,6996.83837890625,17912.83
strawberry,1650.71875,4189.4688
stringbean,2.549100160598755,2.9604673
sugarbeet,32205.517578125,94042.89
sugarcane,22482.291015625,89211.6
sunflower,21125.482421875,60874.35
tangetc,7790.87548828125,19831.328
tea,13379.677734375,15391.527
tobacco,3549.431396484375,9598.577
tomato,52807.30078125,138182.78
tropicalnes,13034.20703125,17016.352
turnipfor,0.0,0.0
vegetablenes,29606.2421875,75937.63
vegfor,20558.576171875,65291.69
vetch,13.182784080505371,15.68564
walnut,23586.099609375,59991.004
watermelon,37754.609375,103866.68
wheat,2581493.25,7542847.0
