Crop,clipped_PA_surf,total_surf
avocado,0.11579166352748871,0.32634607
banana,475.5527648925781,11880.126
bean,17.548717498779297,56.53618
broadbean,0.0,0.40896493
cashew,37.73272705078125,99.00342
cassava,3195.346435546875,73485.34
cerealnes,0.0,2.7963698
chilleetc,1.4217123985290527,3.910603
citrusnes,5.203678607940674,94.79724
cocoa,5016.6357421875,70747.5
coconut,95.61253356933594,2255.963
coffee,349.6582336425781,2339.8047
cotton,49.74357604980469,251.25311
eggplant,1.9802371263504028,5.483282
fruitnes,0.4109666347503662,32.4675
greencorn,570.1865234375,6029.3105
greenonion,0.24072682857513428,0.6748107
groundnut,1051.18994140625,7346.9355
karite,6.088210105895996,16.79853
kolanut,40.597835540771484,114.89958
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,468.65716552734375,2432.6716
mango,7.198362827301025,94.0319
melonetc,0.03046303242444992,0.3243014
millet,129.60986328125,555.0698
nutnes,235.33929443359375,2846.5483
oilpalm,2085.381103515625,15940.225
oilseedfor,0.0,0.0
oilseednes,0.7419202327728271,2.021183
orange,163.0200958251953,2064.225
papaya,0.013067592866718769,0.067818664
pea,0.0,0.95212936
pepper,0.01334742084145546,0.069271415
pimento,4.17510461807251,11.836729
pineapple,113.00498962402344,1429.0621
plantain,981.3526611328125,20729.457
popcorn,0.0,0.0
potato,0.0,2.0574102
pulsenes,302.21234130859375,5298.8604
rice,29979.53125,230332.83
rootnes,0.5936362743377686,1.5903871
rubber,9521.568359375,73379.89
sesame,2.116532325744629,7.3717976
sisal,0.14836695790290833,1.5816858
sorghumfor,0.0,0.0
sorghum,28.98374366760254,159.76508
soybean,375.4072265625,7752.5117
spicenes,0.33383074402809143,1.0199784
sugarcane,593.9141235351562,25722.652
sweetpotato,445.28985595703125,1916.4197
taro,261.4587707519531,2660.8096
tobacco,3.8335862159729004,10.697187
tomato,22.7718563079834,193.85176
tropicalnes,41.70895004272461,534.22943
vegetablenes,569.9122924804688,5464.915
vegfor,2439.159912109375,16232.43
yam,546.5090942382812,1850.6644
