Crop,clipped_PA_surf,total_surf
aniseetc,8.640499114990234,26.887583
apple,1190.3809814453125,4587.0547
apricot,44.62334442138672,163.75795
avocado,869.0440063476562,3352.614
banana,28185.255859375,67845.56
bean,25807.55859375,58162.996
cabbagefor,0.0,0.0
cabbage,214.1334991455078,832.7311
carrotfor,0.0,0.0
carrot,655.9705810546875,2535.457
cashewapple,7050.15625,27088.844
cashew,3977.6962890625,15318.363
cassava,110635.328125,330112.94
castor,1992.277099609375,7671.951
cauliflower,11.048677444458008,29.173927
cinnamon,517.7279663085938,2007.2976
clove,19319.2578125,73125.07
cocoa,12581.302734375,13564.466
coconut,13098.169921875,30789.207
coffee,36318.28125,77093.28
cotton,4669.81884765625,13193.12
cowpea,9584.9453125,23294.113
cucumberetc,16.194194793701172,57.174446
eggplant,102.90177154541016,395.35193
fibrenes,2486.85693359375,9574.455
fruitnes,444.11492919921875,1721.2368
garlic,99.81209564208984,380.62958
grapefruitetc,393.8551940917969,1526.6162
grape,652.6192626953125,2520.3435
greenbean,115.29148864746094,449.2293
greenonion,45.980064392089844,162.31004
greenpea,314.8970947265625,1224.446
groundnut,20505.50390625,77317.984
jutelikefiber,187.83447265625,730.38293
legumenes,0.0,0.0
lemonlime,331.4343566894531,1284.2926
lentil,568.5942993164062,1246.1993
lettuce,43.3143196105957,158.50272
maizefor,0.0,0.0
maize,47446.6953125,128492.01
mango,12244.662109375,47179.17
nutmeg,3.960339069366455,12.481612
oilpalm,1068.691650390625,1775.4531
onion,460.9730224609375,1789.9933
orange,3359.27880859375,12930.553
peachetc,954.7708129882812,3682.3857
pear,248.97103881835938,966.88586
pea,5805.1435546875,14484.733
pepper,3418.852783203125,7616.7686
pimento,826.2313232421875,3186.6694
pineapple,3808.9111328125,14663.699
pistachio,2824.86279296875,10929.59
plum,119.80305480957031,466.95178
popcorn,0.0,0.0
potato,18107.28125,41164.41
pulsenes,3009.662109375,11588.502
rice,694300.5,1643525.9
sisal,3612.593017578125,13907.492
sorghumfor,0.0,0.0
sorghum,969.1172485351562,2378.7812
soybean,33.5466194152832,75.44882
spicenes,55.43342208862305,156.98097
sugarcane,43742.75390625,94936.34
sweetpotato,53275.765625,131316.0
taro,9712.173828125,37267.996
tea,965.7892456054688,1640.7668
tobacco,808.3117065429688,1538.4834
tomato,1165.2713623046875,4495.2524
tropicalnes,14583.2431640625,55824.168
tung,1065.872802734375,4108.9346
turnipfor,0.0,0.0
vanilla,18210.8671875,69992.04
vegetablenes,8753.08984375,33366.957
vegfor,16149.744140625,36535.867
wheat,257.57464599609375,451.4901
yam,12275.974609375,33466.773
