Crop,clipped_PA_surf,total_surf
bambara,240.18179321289062,243.60667
banana,0.43820130825042725,0.4382013
barley,468.03045654296875,484.99338
bean,10447.66015625,10816.933
beetfor,0.0,0.0
cashew,52.285491943359375,59.8683
cassava,4.389969825744629,4.610469
cerealnes,6.316300392150879,7.218163
chilleetc,0.0,0.0
coconut,13.049640655517578,13.822772
cotton,456.02825927734375,456.02826
cowpea,21172.494140625,22051.28
date,8600.248046875,8703.186
fonio,44.297325134277344,45.85109
fruitnes,899.3300170898438,922.62897
greenbean,2.984398126602173,3.4859135
groundnut,947.409912109375,971.8127
jutelikefiber,4.721137523651123,5.0847726
karite,77.35801696777344,83.31932
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,21611.986328125,22584.54
mango,36.95500183105469,40.506187
melonseed,4288.740234375,4367.401
millet,10571.6494140625,10893.493
nutnes,9.619405746459961,10.810598
onion,29.560070037841797,34.452385
orange,13.002509117126465,14.275536
pea,25005.267578125,25489.852
pimento,23.005878448486328,25.467554
popcorn,0.0,0.0
potato,306.57965087890625,318.62943
pulsenes,31125.982421875,31673.059
rice,85875.421875,87959.414
sorghumfor,0.0,0.0
sorghum,194229.203125,202129.88
soybean,7.569703578948975,7.5697036
sugarbeet,0.6232634782791138,0.63637286
sugarcane,685.097412109375,691.83154
sweetpotato,2446.393798828125,2554.1328
tea,0.0,0.0
tomato,5.552701950073242,5.910818
tropicalnes,3.531667470932007,3.867986
vegetablenes,585.1419677734375,602.093
vegfor,2521.339111328125,2546.791
watermelon,4068.69140625,4150.208
wheat,4080.16064453125,4138.131
yam,538.8660278320312,547.1357
