Crop,clipped_PA_surf,total_surf
alfalfa,204.54507446289062,295.62863
almond,13779.7626953125,52980.36
aniseetc,1.0736608505249023,1.5889373
apple,3607.2333984375,14856.802
apricot,143.1818084716797,549.95465
artichoke,12.714881896972656,18.304104
asparagus,114.21987915039062,156.7244
avocado,2369.98095703125,9618.296
banana,333.25128173828125,1142.9966
barley,5769.2841796875,20182.527
bean,893.873046875,3500.8906
beetfor,3.017854690551758,4.3233657
berrynes,91.38419342041016,124.524765
broadbean,1227.0384521484375,3568.0225
cabbagefor,5.314148902893066,7.7136316
cabbage,1876.27880859375,7716.037
carob,2124.931640625,8681.853
carrotfor,0.028786342591047287,0.05488513
carrot,673.2932739257812,2749.7065
cauliflower,1177.976806640625,4845.504
cherry,1535.0743408203125,6362.1006
chestnut,13057.0009765625,51487.992
chickpea,284.2388610839844,1117.236
chilleetc,297.2585754394531,1162.2795
citrusnes,0.7036966681480408,1.01314
clover,1.6354488134384155,2.362247
cotton,9.75206470489502,17.410019
cucumberetc,60.8637580871582,235.21625
date,0.3557218611240387,0.5040839
eggplant,26.664188385009766,101.52496
fig,1609.6700439453125,5160.591
flax,35.41297912597656,45.156105
fornes,12791.208984375,47664.09
fruitnes,395.89990234375,1619.9854
garlic,175.24737548828125,659.4431
grapefruitetc,28.66954231262207,58.193573
grape,39546.0390625,155130.84
grassnes,276.568603515625,401.29956
greenbean,169.28736877441406,683.4537
greenbroadbean,689.9853515625,2849.799
greenonion,34.53772735595703,140.76625
greenpea,550.9094848632812,2263.0527
groundnut,3.845804214477539,14.134112
hazelnut,92.15016174316406,352.7337
hemp,1.8092042207717896,2.4759903
hop,2.8426151275634766,11.118097
kiwi,772.0206909179688,3241.3025
legumenes,85.83767700195312,124.06023
lemonlime,424.84051513671875,1658.8715
lentil,25.25695037841797,39.223564
lettuce,660.146240234375,2638.2527
linseed,2.908660650253296,3.9679995
lupin,1653.4813232421875,5468.0034
maizefor,11488.916015625,43546.5
maize,19764.86328125,72900.766
melonetc,544.45849609375,2238.9023
millet,0.24440646171569824,0.4019354
mixedgrain,36.113800048828125,52.32811
mixedgrass,12329.4150390625,46088.32
mushroom,30.01837730407715,39.384407
nutnes,23703.150390625,95877.4
oats,21267.35546875,42318.242
olive,91112.1171875,347791.75
onion,551.8384399414062,2163.3042
orange,4413.49658203125,17828.986
peachetc,1062.331298828125,4154.238
pear,2740.192626953125,11475.639
pea,157.2123260498047,164.115
pimento,2.6204285621643066,3.755877
pineapple,35.52904510498047,149.57962
plum,457.25030517578125,1875.1399
popcorn,0.0,0.0
potato,4529.841796875,18538.186
pulsenes,4436.61279296875,14749.32
pumpkinetc,1223.2177734375,5136.948
quince,45.240936279296875,188.15149
rapeseed,256.3595275878906,1054.2329
rasberry,584.79638671875,800.56635
rice,7470.74609375,26733.16
rootnes,1043.080810546875,3057.608
ryefor,35.095802307128906,50.72272
rye,4448.7197265625,12092.283
sorghumfor,3774.354736328125,15666.014
sorghum,4.266849517822266,6.184754
sourcherry,87.68629455566406,203.0675
soybean,5.9214277267456055,15.113031
spicenes,1.818668246269226,2.6127381
spinach,245.24485778808594,1001.1433
stonefruitnes,203.26522827148438,426.5304
strawberry,212.04522705078125,859.2817
sugarbeet,56.71904754638672,134.65106
sugarcane,34.19974136352539,59.46803
sunflower,2831.353515625,7429.0156
sweetpotato,671.0140380859375,2896.4443
tangetc,744.3958740234375,2832.1516
tea,5.024474143981934,24.880194
tobacco,116.89051055908203,379.13715
tomato,3714.87158203125,15329.395
triticale,5553.05615234375,10421.697
tropicalnes,1826.79345703125,2493.0696
turnipfor,7.815160751342773,11.282734
vegetablenes,6690.98291015625,27213.354
vegfor,160.37770080566406,622.2043
vetch,159.58738708496094,230.65106
walnut,1304.2012939453125,5313.0
watermelon,172.87403869628906,670.4211
wheat,10368.64453125,33963.418
yam,40.891082763671875,57.248386
